,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,Mohammad Hafeez,JEC Franklin,Shahid Afridi,4,0,4,4,4,1,1,-,1,0,,,field,New Zealand,1,Eden Park,2010-12-26,New Zealand,Pakistan,New Zealand
1,Mohammad Hafeez,JEC Franklin,Shahid Afridi,0,0,0,4,4,2,2,-,1,0,,,field,New Zealand,1,Eden Park,2010-12-26,New Zealand,Pakistan,New Zealand
2,Mohammad Hafeez,JEC Franklin,Shahid Afridi,1,0,1,5,5,3,3,-,1,0,,,field,New Zealand,1,Eden Park,2010-12-26,New Zealand,Pakistan,New Zealand
3,Shahid Afridi,JEC Franklin,Mohammad Hafeez,0,0,0,5,0,1,4,-,1,0,,,field,New Zealand,1,Eden Park,2010-12-26,New Zealand,Pakistan,New Zealand
4,Shahid Afridi,JEC Franklin,Mohammad Hafeez,0,1,1,6,0,2,5,wides,1,0,,,field,New Zealand,1,Eden Park,2010-12-26,New Zealand,Pakistan,New Zealand
5,Shahid Afridi,JEC Franklin,Mohammad Hafeez,0,0,0,6,0,3,6,-,1,0,,,field,New Zealand,1,Eden Park,2010-12-26,New Zealand,Pakistan,New Zealand
6,Shahid Afridi,JEC Franklin,Mohammad Hafeez,1,0,1,7,1,4,7,-,1,0,,,field,New Zealand,1,Eden Park,2010-12-26,New Zealand,Pakistan,New Zealand
7,Shahid Afridi,KD Mills,Mohammad Hafeez,0,0,0,7,1,5,1,-,2,0,,,field,New Zealand,1,Eden Park,2010-12-26,New Zealand,Pakistan,New Zealand
8,Shahid Afridi,KD Mills,Mohammad Hafeez,0,0,0,7,1,6,2,-,2,0,,,field,New Zealand,1,Eden Park,2010-12-26,New Zealand,Pakistan,New Zealand
9,Shahid Afridi,KD Mills,Mohammad Hafeez,6,0,6,13,7,7,3,-,2,0,,,field,New Zealand,1,Eden Park,2010-12-26,New Zealand,Pakistan,New Zealand
10,Shahid Afridi,KD Mills,Mohammad Hafeez,6,0,6,19,13,8,4,-,2,0,,,field,New Zealand,1,Eden Park,2010-12-26,New Zealand,Pakistan,New Zealand
11,Shahid Afridi,KD Mills,Mohammad Hafeez,0,0,0,19,13,9,5,-,2,0,,,field,New Zealand,1,Eden Park,2010-12-26,New Zealand,Pakistan,New Zealand
12,Shahid Afridi,KD Mills,Mohammad Hafeez,2,0,2,21,15,10,6,-,2,0,,,field,New Zealand,1,Eden Park,2010-12-26,New Zealand,Pakistan,New Zealand
13,Mohammad Hafeez,AF Milne,Shahid Afridi,4,0,4,25,9,4,1,-,3,0,,,field,New Zealand,1,Eden Park,2010-12-26,New Zealand,Pakistan,New Zealand
14,Mohammad Hafeez,AF Milne,Shahid Afridi,1,0,1,26,10,5,2,-,3,0,,,field,New Zealand,1,Eden Park,2010-12-26,New Zealand,Pakistan,New Zealand
15,Shahid Afridi,AF Milne,Mohammad Hafeez,4,0,4,30,19,11,3,-,3,0,,,field,New Zealand,1,Eden Park,2010-12-26,New Zealand,Pakistan,New Zealand
16,Shahid Afridi,AF Milne,Mohammad Hafeez,1,0,1,31,20,12,4,-,3,0,,,field,New Zealand,1,Eden Park,2010-12-26,New Zealand,Pakistan,New Zealand
17,Mohammad Hafeez,AF Milne,Shahid Afridi,0,0,0,31,10,6,5,-,3,0,,,field,New Zealand,1,Eden Park,2010-12-26,New Zealand,Pakistan,New Zealand
18,Mohammad Hafeez,AF Milne,Shahid Afridi,0,1,1,32,10,7,6,legbyes,3,0,,,field,New Zealand,1,Eden Park,2010-12-26,New Zealand,Pakistan,New Zealand
19,Mohammad Hafeez,KD Mills,Shahid Afridi,0,0,0,32,10,8,1,-,4,0,,,field,New Zealand,1,Eden Park,2010-12-26,New Zealand,Pakistan,New Zealand
20,Mohammad Hafeez,KD Mills,Shahid Afridi,4,0,4,36,14,9,2,-,4,0,,,field,New Zealand,1,Eden Park,2010-12-26,New Zealand,Pakistan,New Zealand
21,Mohammad Hafeez,KD Mills,Shahid Afridi,0,0,0,36,14,10,3,-,4,0,,,field,New Zealand,1,Eden Park,2010-12-26,New Zealand,Pakistan,New Zealand
22,Mohammad Hafeez,KD Mills,Shahid Afridi,0,0,0,36,14,11,4,-,4,0,,,field,New Zealand,1,Eden Park,2010-12-26,New Zealand,Pakistan,New Zealand
23,Mohammad Hafeez,KD Mills,Shahid Afridi,1,0,1,37,15,12,5,-,4,0,,,field,New Zealand,1,Eden Park,2010-12-26,New Zealand,Pakistan,New Zealand
24,Shahid Afridi,KD Mills,Mohammad Hafeez,0,0,0,37,20,13,6,-,4,caught,Shahid Afridi,TG Southee,field,New Zealand,1,Eden Park,2010-12-26,New Zealand,Pakistan,New Zealand
25,Ahmed Shehzad,AF Milne,Mohammad Hafeez,0,0,0,37,0,1,1,-,5,0,,,field,New Zealand,1,Eden Park,2010-12-26,New Zealand,Pakistan,New Zealand
26,Ahmed Shehzad,AF Milne,Mohammad Hafeez,4,0,4,41,4,2,2,-,5,0,,,field,New Zealand,1,Eden Park,2010-12-26,New Zealand,Pakistan,New Zealand
27,Ahmed Shehzad,AF Milne,Mohammad Hafeez,4,0,4,45,8,3,3,-,5,0,,,field,New Zealand,1,Eden Park,2010-12-26,New Zealand,Pakistan,New Zealand
28,Ahmed Shehzad,AF Milne,Mohammad Hafeez,6,0,6,51,14,4,4,-,5,0,,,field,New Zealand,1,Eden Park,2010-12-26,New Zealand,Pakistan,New Zealand
29,Ahmed Shehzad,AF Milne,Mohammad Hafeez,0,0,0,51,14,5,5,-,5,0,,,field,New Zealand,1,Eden Park,2010-12-26,New Zealand,Pakistan,New Zealand
30,Ahmed Shehzad,AF Milne,Mohammad Hafeez,0,0,0,51,14,6,6,-,5,0,,,field,New Zealand,1,Eden Park,2010-12-26,New Zealand,Pakistan,New Zealand
31,Mohammad Hafeez,TG Southee,Ahmed Shehzad,0,0,0,51,15,13,1,-,6,0,,,field,New Zealand,1,Eden Park,2010-12-26,New Zealand,Pakistan,New Zealand
32,Mohammad Hafeez,TG Southee,Ahmed Shehzad,2,0,2,53,17,14,2,-,6,0,,,field,New Zealand,1,Eden Park,2010-12-26,New Zealand,Pakistan,New Zealand
33,Mohammad Hafeez,TG Southee,Ahmed Shehzad,0,0,0,53,17,15,3,-,6,0,,,field,New Zealand,1,Eden Park,2010-12-26,New Zealand,Pakistan,New Zealand
34,Mohammad Hafeez,TG Southee,Ahmed Shehzad,4,0,4,57,21,16,4,-,6,0,,,field,New Zealand,1,Eden Park,2010-12-26,New Zealand,Pakistan,New Zealand
35,Mohammad Hafeez,TG Southee,Ahmed Shehzad,1,0,1,58,22,17,5,-,6,0,,,field,New Zealand,1,Eden Park,2010-12-26,New Zealand,Pakistan,New Zealand
36,Ahmed Shehzad,TG Southee,Mohammad Hafeez,0,0,0,58,14,7,6,-,6,caught,Ahmed Shehzad,PD McGlashan,field,New Zealand,1,Eden Park,2010-12-26,New Zealand,Pakistan,New Zealand
37,Mohammad Hafeez,SB Styris,Younis Khan,1,0,1,59,23,18,1,-,7,0,,,field,New Zealand,1,Eden Park,2010-12-26,New Zealand,Pakistan,New Zealand
38,Younis Khan,SB Styris,Mohammad Hafeez,0,0,0,59,0,1,2,-,7,0,,,field,New Zealand,1,Eden Park,2010-12-26,New Zealand,Pakistan,New Zealand
39,Younis Khan,SB Styris,Mohammad Hafeez,1,0,1,60,1,2,3,-,7,0,,,field,New Zealand,1,Eden Park,2010-12-26,New Zealand,Pakistan,New Zealand
