,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,JD Ryder,Abdul Razzaq,MJ Guptill,0,0,0,0,183,0,1,0,1,-,0,,,1,bat,Pakistan,2,AMI Stadium,2010,12,New Zealand_Pakistan_2010-12-30,Pakistan,New Zealand,Pakistan,80
1,JD Ryder,Abdul Razzaq,MJ Guptill,0,1,1,1,182,0,2,0,2,legbyes,0,,,1,bat,Pakistan,2,AMI Stadium,2010,12,New Zealand_Pakistan_2010-12-30,Pakistan,New Zealand,Pakistan,80
2,MJ Guptill,Abdul Razzaq,JD Ryder,0,0,0,1,182,0,1,0,3,-,0,,,1,bat,Pakistan,2,AMI Stadium,2010,12,New Zealand_Pakistan_2010-12-30,Pakistan,New Zealand,Pakistan,80
3,MJ Guptill,Abdul Razzaq,JD Ryder,0,0,0,1,182,0,2,1,4,-,caught,MJ Guptill,Ahmed Shehzad,1,bat,Pakistan,2,AMI Stadium,2010,12,New Zealand_Pakistan_2010-12-30,Pakistan,New Zealand,Pakistan,80
4,DG Brownlie,Abdul Razzaq,JD Ryder,0,0,0,1,182,0,1,1,5,-,0,,,1,bat,Pakistan,2,AMI Stadium,2010,12,New Zealand_Pakistan_2010-12-30,Pakistan,New Zealand,Pakistan,80
5,DG Brownlie,Abdul Razzaq,JD Ryder,0,0,0,1,182,0,2,1,6,-,0,,,1,bat,Pakistan,2,AMI Stadium,2010,12,New Zealand_Pakistan_2010-12-30,Pakistan,New Zealand,Pakistan,80
6,JD Ryder,Tanvir Ahmed,DG Brownlie,0,0,0,1,182,0,3,1,1,-,0,,,2,bat,Pakistan,2,AMI Stadium,2010,12,New Zealand_Pakistan_2010-12-30,Pakistan,New Zealand,Pakistan,80
7,JD Ryder,Tanvir Ahmed,DG Brownlie,0,1,1,2,181,0,4,1,2,wides,0,,,2,bat,Pakistan,2,AMI Stadium,2010,12,New Zealand_Pakistan_2010-12-30,Pakistan,New Zealand,Pakistan,80
8,JD Ryder,Tanvir Ahmed,DG Brownlie,0,0,0,2,181,0,5,1,3,-,0,,,2,bat,Pakistan,2,AMI Stadium,2010,12,New Zealand_Pakistan_2010-12-30,Pakistan,New Zealand,Pakistan,80
9,JD Ryder,Tanvir Ahmed,DG Brownlie,0,0,0,2,181,0,6,2,4,-,caught,JD Ryder,Ahmed Shehzad,2,bat,Pakistan,2,AMI Stadium,2010,12,New Zealand_Pakistan_2010-12-30,Pakistan,New Zealand,Pakistan,80
10,DG Brownlie,Tanvir Ahmed,LRPL Taylor,0,0,0,2,181,0,3,2,5,-,0,,,2,bat,Pakistan,2,AMI Stadium,2010,12,New Zealand_Pakistan_2010-12-30,Pakistan,New Zealand,Pakistan,80
11,DG Brownlie,Tanvir Ahmed,LRPL Taylor,0,0,0,2,181,0,4,2,6,-,0,,,2,bat,Pakistan,2,AMI Stadium,2010,12,New Zealand_Pakistan_2010-12-30,Pakistan,New Zealand,Pakistan,80
12,DG Brownlie,Tanvir Ahmed,LRPL Taylor,0,0,0,2,181,0,5,3,7,-,run out,DG Brownlie,Shahid Afridi,2,bat,Pakistan,2,AMI Stadium,2010,12,New Zealand_Pakistan_2010-12-30,Pakistan,New Zealand,Pakistan,80
13,JEC Franklin,Abdul Razzaq,LRPL Taylor,0,0,0,2,181,0,1,3,1,-,0,,,3,bat,Pakistan,2,AMI Stadium,2010,12,New Zealand_Pakistan_2010-12-30,Pakistan,New Zealand,Pakistan,80
14,JEC Franklin,Abdul Razzaq,LRPL Taylor,1,0,1,3,180,1,2,3,2,-,0,,,3,bat,Pakistan,2,AMI Stadium,2010,12,New Zealand_Pakistan_2010-12-30,Pakistan,New Zealand,Pakistan,80
15,LRPL Taylor,Abdul Razzaq,JEC Franklin,0,0,0,3,180,0,1,3,3,-,0,,,3,bat,Pakistan,2,AMI Stadium,2010,12,New Zealand_Pakistan_2010-12-30,Pakistan,New Zealand,Pakistan,80
16,LRPL Taylor,Abdul Razzaq,JEC Franklin,0,0,0,3,180,0,2,3,4,-,0,,,3,bat,Pakistan,2,AMI Stadium,2010,12,New Zealand_Pakistan_2010-12-30,Pakistan,New Zealand,Pakistan,80
