,batter,bowler,extras,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,DPMD Jayawardene,CR Woakes,{'wides': 1},ST Jayasuriya,0,1,1,1,0,1,1,wides,1,0,,,field,Sri Lanka,2,County Ground,2011-06-25,Sri Lanka,England
1,DPMD Jayawardene,CR Woakes,,ST Jayasuriya,0,0,0,1,0,2,2,-,1,0,,,field,Sri Lanka,2,County Ground,2011-06-25,Sri Lanka,England
2,DPMD Jayawardene,CR Woakes,,ST Jayasuriya,0,0,0,1,0,3,3,-,1,0,,,field,Sri Lanka,2,County Ground,2011-06-25,Sri Lanka,England
3,DPMD Jayawardene,CR Woakes,,ST Jayasuriya,0,0,0,1,0,4,4,-,1,0,,,field,Sri Lanka,2,County Ground,2011-06-25,Sri Lanka,England
4,DPMD Jayawardene,CR Woakes,,ST Jayasuriya,4,0,4,5,4,5,5,-,1,0,,,field,Sri Lanka,2,County Ground,2011-06-25,Sri Lanka,England
5,DPMD Jayawardene,CR Woakes,,ST Jayasuriya,0,0,0,5,4,6,6,-,1,0,,,field,Sri Lanka,2,County Ground,2011-06-25,Sri Lanka,England
6,DPMD Jayawardene,CR Woakes,,ST Jayasuriya,1,0,1,6,5,7,7,-,1,0,,,field,Sri Lanka,2,County Ground,2011-06-25,Sri Lanka,England
7,DPMD Jayawardene,JW Dernbach,{'wides': 1},ST Jayasuriya,0,1,1,7,5,8,1,wides,2,0,,,field,Sri Lanka,2,County Ground,2011-06-25,Sri Lanka,England
8,DPMD Jayawardene,JW Dernbach,,ST Jayasuriya,2,0,2,9,7,9,2,-,2,0,,,field,Sri Lanka,2,County Ground,2011-06-25,Sri Lanka,England
9,DPMD Jayawardene,JW Dernbach,,ST Jayasuriya,0,0,0,9,7,10,3,-,2,0,,,field,Sri Lanka,2,County Ground,2011-06-25,Sri Lanka,England
10,DPMD Jayawardene,JW Dernbach,,ST Jayasuriya,0,0,0,9,7,11,4,-,2,0,,,field,Sri Lanka,2,County Ground,2011-06-25,Sri Lanka,England
11,DPMD Jayawardene,JW Dernbach,,ST Jayasuriya,4,0,4,13,11,12,5,-,2,0,,,field,Sri Lanka,2,County Ground,2011-06-25,Sri Lanka,England
12,DPMD Jayawardene,JW Dernbach,,ST Jayasuriya,1,0,1,14,12,13,6,-,2,0,,,field,Sri Lanka,2,County Ground,2011-06-25,Sri Lanka,England
13,ST Jayasuriya,JW Dernbach,,DPMD Jayawardene,0,0,0,14,0,1,7,-,2,0,,,field,Sri Lanka,2,County Ground,2011-06-25,Sri Lanka,England
14,DPMD Jayawardene,CR Woakes,,ST Jayasuriya,4,0,4,18,16,14,1,-,3,0,,,field,Sri Lanka,2,County Ground,2011-06-25,Sri Lanka,England
15,DPMD Jayawardene,CR Woakes,,ST Jayasuriya,6,0,6,24,22,15,2,-,3,0,,,field,Sri Lanka,2,County Ground,2011-06-25,Sri Lanka,England
16,DPMD Jayawardene,CR Woakes,,ST Jayasuriya,4,0,4,28,26,16,3,-,3,0,,,field,Sri Lanka,2,County Ground,2011-06-25,Sri Lanka,England
17,DPMD Jayawardene,CR Woakes,,ST Jayasuriya,1,0,1,29,27,17,4,-,3,0,,,field,Sri Lanka,2,County Ground,2011-06-25,Sri Lanka,England
18,ST Jayasuriya,CR Woakes,,DPMD Jayawardene,2,0,2,31,2,2,5,-,3,0,,,field,Sri Lanka,2,County Ground,2011-06-25,Sri Lanka,England
19,ST Jayasuriya,CR Woakes,,DPMD Jayawardene,0,0,0,31,2,3,6,-,3,0,,,field,Sri Lanka,2,County Ground,2011-06-25,Sri Lanka,England
20,DPMD Jayawardene,SCJ Broad,,ST Jayasuriya,1,0,1,32,28,18,1,-,4,0,,,field,Sri Lanka,2,County Ground,2011-06-25,Sri Lanka,England
21,ST Jayasuriya,SCJ Broad,,DPMD Jayawardene,4,0,4,36,6,4,2,-,4,0,,,field,Sri Lanka,2,County Ground,2011-06-25,Sri Lanka,England
22,ST Jayasuriya,SCJ Broad,,DPMD Jayawardene,0,0,0,36,6,5,3,-,4,0,,,field,Sri Lanka,2,County Ground,2011-06-25,Sri Lanka,England
23,ST Jayasuriya,SCJ Broad,,DPMD Jayawardene,1,0,1,37,7,6,4,-,4,0,,,field,Sri Lanka,2,County Ground,2011-06-25,Sri Lanka,England
24,DPMD Jayawardene,SCJ Broad,,ST Jayasuriya,1,0,1,38,29,19,5,-,4,0,,,field,Sri Lanka,2,County Ground,2011-06-25,Sri Lanka,England
25,ST Jayasuriya,SCJ Broad,,DPMD Jayawardene,1,0,1,39,8,7,6,-,4,0,,,field,Sri Lanka,2,County Ground,2011-06-25,Sri Lanka,England
