,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extras,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,SR Watson,KMDN Kulasekara,DA Warner,1,0,1,1,1,1,1,1,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
1,DA Warner,KMDN Kulasekara,SR Watson,1,0,1,2,1,1,2,1,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
2,SR Watson,KMDN Kulasekara,DA Warner,0,0,0,2,1,2,3,1,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
3,SR Watson,KMDN Kulasekara,DA Warner,0,0,0,2,1,3,4,1,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
4,SR Watson,KMDN Kulasekara,DA Warner,1,0,1,3,2,4,5,1,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
5,DA Warner,KMDN Kulasekara,SR Watson,0,0,0,3,1,2,6,1,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
6,SR Watson,RAS Lakmal,DA Warner,1,0,1,4,3,5,1,2,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
7,DA Warner,RAS Lakmal,SR Watson,0,0,0,4,1,3,2,2,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
8,DA Warner,RAS Lakmal,SR Watson,0,1,1,5,1,4,3,2,{'wides': 1},wides,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
9,DA Warner,RAS Lakmal,SR Watson,1,0,1,6,2,5,4,2,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
10,SR Watson,RAS Lakmal,DA Warner,0,0,0,6,3,6,5,2,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
11,SR Watson,RAS Lakmal,DA Warner,1,0,1,7,4,7,6,2,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
12,DA Warner,RAS Lakmal,SR Watson,4,0,4,11,6,6,7,2,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
