,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,RJ Nicol,RJ Peterson,MJ Guptill,0,0,0,0,165,0,1,0,1,1,-,0,,,field,New Zealand,2,Eden Park,2012,02,New Zealand_South Africa_2012-02-22,South Africa,New Zealand,South Africa,162
1,RJ Nicol,RJ Peterson,MJ Guptill,1,0,1,1,164,1,2,0,2,1,-,0,,,field,New Zealand,2,Eden Park,2012,02,New Zealand_South Africa_2012-02-22,South Africa,New Zealand,South Africa,162
2,MJ Guptill,RJ Peterson,RJ Nicol,0,0,0,1,164,0,1,0,3,1,-,0,,,field,New Zealand,2,Eden Park,2012,02,New Zealand_South Africa_2012-02-22,South Africa,New Zealand,South Africa,162
3,MJ Guptill,RJ Peterson,RJ Nicol,1,0,1,2,163,1,2,0,4,1,-,0,,,field,New Zealand,2,Eden Park,2012,02,New Zealand_South Africa_2012-02-22,South Africa,New Zealand,South Africa,162
4,RJ Nicol,RJ Peterson,MJ Guptill,1,0,1,3,162,2,3,0,5,1,-,0,,,field,New Zealand,2,Eden Park,2012,02,New Zealand_South Africa_2012-02-22,South Africa,New Zealand,South Africa,162
5,MJ Guptill,RJ Peterson,RJ Nicol,1,0,1,4,161,2,3,0,6,1,-,0,,,field,New Zealand,2,Eden Park,2012,02,New Zealand_South Africa_2012-02-22,South Africa,New Zealand,South Africa,162
6,MJ Guptill,M de Lange,RJ Nicol,0,0,0,4,161,2,4,0,1,2,-,0,,,field,New Zealand,2,Eden Park,2012,02,New Zealand_South Africa_2012-02-22,South Africa,New Zealand,South Africa,162
7,MJ Guptill,M de Lange,RJ Nicol,0,0,0,4,161,2,5,0,2,2,-,0,,,field,New Zealand,2,Eden Park,2012,02,New Zealand_South Africa_2012-02-22,South Africa,New Zealand,South Africa,162
8,MJ Guptill,M de Lange,RJ Nicol,4,0,4,8,157,6,6,0,3,2,-,0,,,field,New Zealand,2,Eden Park,2012,02,New Zealand_South Africa_2012-02-22,South Africa,New Zealand,South Africa,162
9,MJ Guptill,M de Lange,RJ Nicol,4,0,4,12,153,10,7,0,4,2,-,0,,,field,New Zealand,2,Eden Park,2012,02,New Zealand_South Africa_2012-02-22,South Africa,New Zealand,South Africa,162
10,MJ Guptill,M de Lange,RJ Nicol,1,0,1,13,152,11,8,0,5,2,-,0,,,field,New Zealand,2,Eden Park,2012,02,New Zealand_South Africa_2012-02-22,South Africa,New Zealand,South Africa,162
11,RJ Nicol,M de Lange,MJ Guptill,0,2,2,15,150,2,4,0,6,2,wides,0,,,field,New Zealand,2,Eden Park,2012,02,New Zealand_South Africa_2012-02-22,South Africa,New Zealand,South Africa,162
12,MJ Guptill,M de Lange,RJ Nicol,0,0,0,15,150,11,9,0,7,2,-,0,,,field,New Zealand,2,Eden Park,2012,02,New Zealand_South Africa_2012-02-22,South Africa,New Zealand,South Africa,162
13,RJ Nicol,RJ Peterson,MJ Guptill,0,0,0,15,150,2,5,0,1,3,-,0,,,field,New Zealand,2,Eden Park,2012,02,New Zealand_South Africa_2012-02-22,South Africa,New Zealand,South Africa,162
14,RJ Nicol,RJ Peterson,MJ Guptill,4,0,4,19,146,6,6,0,2,3,-,0,,,field,New Zealand,2,Eden Park,2012,02,New Zealand_South Africa_2012-02-22,South Africa,New Zealand,South Africa,162
15,RJ Nicol,RJ Peterson,MJ Guptill,4,0,4,23,142,10,7,0,3,3,-,0,,,field,New Zealand,2,Eden Park,2012,02,New Zealand_South Africa_2012-02-22,South Africa,New Zealand,South Africa,162
16,RJ Nicol,RJ Peterson,MJ Guptill,1,0,1,24,141,11,8,0,4,3,-,0,,,field,New Zealand,2,Eden Park,2012,02,New Zealand_South Africa_2012-02-22,South Africa,New Zealand,South Africa,162
17,MJ Guptill,RJ Peterson,RJ Nicol,1,0,1,25,140,12,10,0,5,3,-,0,,,field,New Zealand,2,Eden Park,2012,02,New Zealand_South Africa_2012-02-22,South Africa,New Zealand,South Africa,162
18,RJ Nicol,RJ Peterson,MJ Guptill,1,0,1,26,139,12,9,0,6,3,-,0,,,field,New Zealand,2,Eden Park,2012,02,New Zealand_South Africa_2012-02-22,South Africa,New Zealand,South Africa,162
19,RJ Nicol,M de Lange,MJ Guptill,4,0,4,30,135,16,10,0,1,4,-,0,,,field,New Zealand,2,Eden Park,2012,02,New Zealand_South Africa_2012-02-22,South Africa,New Zealand,South Africa,162
20,RJ Nicol,M de Lange,MJ Guptill,0,0,0,30,135,16,11,0,2,4,-,0,,,field,New Zealand,2,Eden Park,2012,02,New Zealand_South Africa_2012-02-22,South Africa,New Zealand,South Africa,162
21,RJ Nicol,M de Lange,MJ Guptill,0,0,0,30,135,16,12,0,3,4,-,0,,,field,New Zealand,2,Eden Park,2012,02,New Zealand_South Africa_2012-02-22,South Africa,New Zealand,South Africa,162
22,RJ Nicol,M de Lange,MJ Guptill,4,0,4,34,131,20,13,0,4,4,-,0,,,field,New Zealand,2,Eden Park,2012,02,New Zealand_South Africa_2012-02-22,South Africa,New Zealand,South Africa,162
23,RJ Nicol,M de Lange,MJ Guptill,0,0,0,34,131,20,14,0,5,4,-,0,,,field,New Zealand,2,Eden Park,2012,02,New Zealand_South Africa_2012-02-22,South Africa,New Zealand,South Africa,162
24,RJ Nicol,M de Lange,MJ Guptill,4,0,4,38,127,24,15,0,6,4,-,0,,,field,New Zealand,2,Eden Park,2012,02,New Zealand_South Africa_2012-02-22,South Africa,New Zealand,South Africa,162
25,MJ Guptill,JA Morkel,RJ Nicol,1,0,1,39,126,13,11,0,1,5,-,0,,,field,New Zealand,2,Eden Park,2012,02,New Zealand_South Africa_2012-02-22,South Africa,New Zealand,South Africa,162
26,RJ Nicol,JA Morkel,MJ Guptill,1,0,1,40,125,25,16,0,2,5,-,0,,,field,New Zealand,2,Eden Park,2012,02,New Zealand_South Africa_2012-02-22,South Africa,New Zealand,South Africa,162
27,MJ Guptill,JA Morkel,RJ Nicol,0,4,4,44,121,13,12,0,3,5,legbyes,0,,,field,New Zealand,2,Eden Park,2012,02,New Zealand_South Africa_2012-02-22,South Africa,New Zealand,South Africa,162
28,MJ Guptill,JA Morkel,RJ Nicol,6,0,6,50,115,19,13,0,4,5,-,0,,,field,New Zealand,2,Eden Park,2012,02,New Zealand_South Africa_2012-02-22,South Africa,New Zealand,South Africa,162
29,MJ Guptill,JA Morkel,RJ Nicol,0,1,1,51,114,19,14,0,5,5,wides,0,,,field,New Zealand,2,Eden Park,2012,02,New Zealand_South Africa_2012-02-22,South Africa,New Zealand,South Africa,162
30,MJ Guptill,JA Morkel,RJ Nicol,4,0,4,55,110,23,15,0,6,5,-,0,,,field,New Zealand,2,Eden Park,2012,02,New Zealand_South Africa_2012-02-22,South Africa,New Zealand,South Africa,162
31,MJ Guptill,JA Morkel,RJ Nicol,0,0,0,55,110,23,16,0,7,5,-,0,,,field,New Zealand,2,Eden Park,2012,02,New Zealand_South Africa_2012-02-22,South Africa,New Zealand,South Africa,162
32,RJ Nicol,M Morkel,MJ Guptill,6,0,6,61,104,31,17,0,1,6,-,0,,,field,New Zealand,2,Eden Park,2012,02,New Zealand_South Africa_2012-02-22,South Africa,New Zealand,South Africa,162
33,RJ Nicol,M Morkel,MJ Guptill,1,0,1,62,103,32,18,0,2,6,-,0,,,field,New Zealand,2,Eden Park,2012,02,New Zealand_South Africa_2012-02-22,South Africa,New Zealand,South Africa,162
34,MJ Guptill,M Morkel,RJ Nicol,1,0,1,63,102,24,17,0,3,6,-,0,,,field,New Zealand,2,Eden Park,2012,02,New Zealand_South Africa_2012-02-22,South Africa,New Zealand,South Africa,162
