,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extras,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,J Charles,TT Bresnan,DR Smith,0,0,0,0,0,1,1,1,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
1,J Charles,TT Bresnan,DR Smith,1,0,1,1,1,2,2,1,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
2,DR Smith,TT Bresnan,J Charles,0,0,0,1,0,1,3,1,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
3,DR Smith,TT Bresnan,J Charles,0,0,0,1,0,2,4,1,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
4,DR Smith,TT Bresnan,J Charles,2,0,2,3,2,3,5,1,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
5,DR Smith,TT Bresnan,J Charles,1,0,1,4,3,4,6,1,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
6,DR Smith,ST Finn,J Charles,0,0,0,4,3,5,1,2,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
7,DR Smith,ST Finn,J Charles,0,0,0,4,3,6,2,2,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
8,DR Smith,ST Finn,J Charles,1,0,1,5,4,7,3,2,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
9,J Charles,ST Finn,DR Smith,0,0,0,5,1,3,4,2,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
10,J Charles,ST Finn,DR Smith,0,0,0,5,1,4,5,2,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
11,J Charles,ST Finn,DR Smith,0,0,0,5,1,5,6,2,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
12,DR Smith,TT Bresnan,J Charles,4,0,4,9,8,8,1,3,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
13,DR Smith,TT Bresnan,J Charles,0,1,1,10,8,9,2,3,{'wides': 1},wides,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
14,DR Smith,TT Bresnan,J Charles,6,0,6,16,14,10,3,3,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
15,DR Smith,TT Bresnan,J Charles,4,0,4,20,18,11,4,3,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
16,DR Smith,TT Bresnan,J Charles,0,0,0,20,18,12,5,3,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
17,DR Smith,TT Bresnan,J Charles,6,0,6,26,24,13,6,3,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
18,DR Smith,TT Bresnan,J Charles,1,0,1,27,25,14,7,3,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
19,DR Smith,ST Finn,J Charles,1,0,1,28,26,15,1,4,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
20,J Charles,ST Finn,DR Smith,0,0,0,28,1,6,2,4,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
21,J Charles,ST Finn,DR Smith,4,0,4,32,5,7,3,4,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
22,J Charles,ST Finn,DR Smith,2,0,2,34,7,8,4,4,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
23,J Charles,ST Finn,DR Smith,4,0,4,38,11,9,5,4,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
24,J Charles,ST Finn,DR Smith,4,0,4,42,15,10,6,4,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
25,DR Smith,JW Dernbach,J Charles,0,0,0,42,26,16,1,5,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
26,DR Smith,JW Dernbach,J Charles,0,0,0,42,26,17,2,5,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
27,DR Smith,JW Dernbach,J Charles,1,0,1,43,27,18,3,5,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
28,J Charles,JW Dernbach,DR Smith,0,0,0,43,15,11,4,5,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
29,J Charles,JW Dernbach,DR Smith,0,0,0,43,15,12,5,5,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
30,J Charles,JW Dernbach,DR Smith,1,0,1,44,16,13,6,5,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
31,J Charles,SR Patel,DR Smith,0,0,0,44,16,14,1,6,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
32,J Charles,SR Patel,DR Smith,1,0,1,45,17,15,2,6,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
33,DR Smith,SR Patel,J Charles,2,0,2,47,29,19,3,6,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
34,DR Smith,SR Patel,J Charles,4,0,4,51,33,20,4,6,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
35,DR Smith,SR Patel,J Charles,0,0,0,51,33,21,5,6,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
36,DR Smith,SR Patel,J Charles,0,0,0,51,33,22,6,6,,-,bowled,DR Smith,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
37,J Charles,GP Swann,MN Samuels,0,0,0,51,17,16,1,7,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
38,J Charles,GP Swann,MN Samuels,1,0,1,52,18,17,2,7,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
39,MN Samuels,GP Swann,J Charles,1,0,1,53,1,1,3,7,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
40,J Charles,GP Swann,MN Samuels,0,0,0,53,18,18,4,7,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
41,J Charles,GP Swann,MN Samuels,2,0,2,55,20,19,5,7,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
42,J Charles,GP Swann,MN Samuels,0,0,0,55,20,20,6,7,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
43,MN Samuels,SR Patel,J Charles,0,0,0,55,1,2,1,8,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
44,MN Samuels,SR Patel,J Charles,1,0,1,56,2,3,2,8,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
45,J Charles,SR Patel,MN Samuels,0,0,0,56,20,21,3,8,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
46,J Charles,SR Patel,MN Samuels,0,0,0,56,20,22,4,8,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
47,J Charles,SR Patel,MN Samuels,0,0,0,56,20,23,5,8,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
48,J Charles,SR Patel,MN Samuels,2,0,2,58,22,24,6,8,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
49,MN Samuels,GP Swann,J Charles,0,0,0,58,2,4,1,9,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
50,MN Samuels,GP Swann,J Charles,1,0,1,59,3,5,2,9,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
51,J Charles,GP Swann,MN Samuels,1,0,1,60,23,25,3,9,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
52,MN Samuels,GP Swann,J Charles,1,0,1,61,4,6,4,9,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
53,J Charles,GP Swann,MN Samuels,1,0,1,62,24,26,5,9,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
54,MN Samuels,GP Swann,J Charles,0,0,0,62,4,7,6,9,,-,bowled,MN Samuels,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
55,J Charles,SR Patel,DP Hyatt,1,0,1,63,25,27,1,10,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
56,DP Hyatt,SR Patel,J Charles,0,0,0,63,0,1,2,10,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
57,DP Hyatt,SR Patel,J Charles,1,0,1,64,1,2,3,10,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
58,J Charles,SR Patel,DP Hyatt,1,0,1,65,26,28,4,10,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
59,DP Hyatt,SR Patel,J Charles,0,0,0,65,1,3,5,10,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
60,DP Hyatt,SR Patel,J Charles,1,0,1,66,2,4,6,10,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
61,DP Hyatt,GP Swann,J Charles,0,0,0,66,2,5,1,11,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
62,DP Hyatt,GP Swann,J Charles,1,0,1,67,3,6,2,11,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
63,J Charles,GP Swann,DP Hyatt,1,0,1,68,27,29,3,11,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
64,DP Hyatt,GP Swann,J Charles,1,0,1,69,4,7,4,11,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
65,J Charles,GP Swann,DP Hyatt,1,0,1,70,28,30,5,11,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
66,DP Hyatt,GP Swann,J Charles,1,0,1,71,5,8,6,11,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
67,DP Hyatt,RS Bopara,J Charles,1,0,1,72,6,9,1,12,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
68,J Charles,RS Bopara,DP Hyatt,0,0,0,72,28,31,2,12,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
69,J Charles,RS Bopara,DP Hyatt,0,0,0,72,28,32,3,12,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
70,J Charles,RS Bopara,DP Hyatt,0,0,0,72,28,33,4,12,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
71,J Charles,RS Bopara,DP Hyatt,0,0,0,72,28,34,5,12,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
72,J Charles,RS Bopara,DP Hyatt,0,0,0,72,28,35,6,12,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
73,DP Hyatt,GP Swann,J Charles,6,0,6,78,12,10,1,13,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
74,DP Hyatt,GP Swann,J Charles,0,1,1,79,12,11,2,13,{'wides': 1},wides,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
75,DP Hyatt,GP Swann,J Charles,0,0,0,79,12,12,3,13,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
76,DP Hyatt,GP Swann,J Charles,0,0,0,79,12,13,4,13,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
77,DP Hyatt,GP Swann,J Charles,6,0,6,85,18,14,5,13,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
78,DP Hyatt,GP Swann,J Charles,0,0,0,85,18,15,6,13,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
79,DP Hyatt,GP Swann,J Charles,4,0,4,89,22,16,7,13,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
80,J Charles,SR Patel,DP Hyatt,2,0,2,91,30,36,1,14,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
81,J Charles,SR Patel,DP Hyatt,0,0,0,91,30,37,2,14,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
82,J Charles,SR Patel,DP Hyatt,6,0,6,97,36,38,3,14,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
83,J Charles,SR Patel,DP Hyatt,0,0,0,97,36,39,4,14,,-,caught,J Charles,ST Finn,field,England,1,Kennington Oval,2011-09-23,West Indies,England
84,DP Hyatt,SR Patel,NE Bonner,1,0,1,98,23,17,5,14,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
85,NE Bonner,SR Patel,DP Hyatt,0,0,0,98,0,1,6,14,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
86,DP Hyatt,JW Dernbach,NE Bonner,1,0,1,99,24,18,1,15,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
87,NE Bonner,JW Dernbach,DP Hyatt,0,0,0,99,0,2,2,15,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
88,NE Bonner,JW Dernbach,DP Hyatt,3,0,3,102,3,3,3,15,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
89,DP Hyatt,JW Dernbach,NE Bonner,0,0,0,102,24,19,4,15,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
90,DP Hyatt,JW Dernbach,NE Bonner,1,0,1,103,25,20,5,15,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
91,NE Bonner,JW Dernbach,DP Hyatt,0,0,0,103,3,4,6,15,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
92,DP Hyatt,RS Bopara,NE Bonner,1,0,1,104,26,21,1,16,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
93,NE Bonner,RS Bopara,DP Hyatt,0,0,0,104,3,5,2,16,,-,bowled,NE Bonner,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
94,CD Barnwell,RS Bopara,DP Hyatt,0,0,0,104,0,1,3,16,,-,caught,CD Barnwell,C Kieswetter,field,England,1,Kennington Oval,2011-09-23,West Indies,England
95,AD Russell,RS Bopara,DP Hyatt,0,0,0,104,0,1,4,16,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
96,AD Russell,RS Bopara,DP Hyatt,1,0,1,105,1,2,5,16,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
97,DP Hyatt,RS Bopara,AD Russell,0,0,0,105,26,22,6,16,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
98,AD Russell,JW Dernbach,DP Hyatt,1,0,1,106,2,3,1,17,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
99,DP Hyatt,JW Dernbach,AD Russell,0,0,0,106,26,23,2,17,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
100,DP Hyatt,JW Dernbach,AD Russell,1,0,1,107,27,24,3,17,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
101,AD Russell,JW Dernbach,DP Hyatt,4,0,4,111,6,4,4,17,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
102,AD Russell,JW Dernbach,DP Hyatt,0,0,0,111,6,5,5,17,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
103,AD Russell,JW Dernbach,DP Hyatt,0,0,0,111,6,6,6,17,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
104,DP Hyatt,RS Bopara,AD Russell,0,0,0,111,27,25,1,18,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
105,DP Hyatt,RS Bopara,AD Russell,1,0,1,112,28,26,2,18,,-,run out,AD Russell,BA Stokes;RS Bopara,field,England,1,Kennington Oval,2011-09-23,West Indies,England
106,DP Hyatt,RS Bopara,DO Christian,0,0,0,112,28,27,3,18,,-,bowled,DP Hyatt,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
107,DJG Sammy,RS Bopara,DO Christian,0,0,0,112,0,1,4,18,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
108,DJG Sammy,RS Bopara,DO Christian,2,0,2,114,2,2,5,18,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
109,DJG Sammy,RS Bopara,DO Christian,2,0,2,116,4,3,6,18,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
110,DO Christian,JW Dernbach,DJG Sammy,0,0,0,116,0,1,1,19,,-,0,,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
111,DO Christian,JW Dernbach,DJG Sammy,0,0,0,116,0,2,2,19,,-,bowled,DO Christian,,field,England,1,Kennington Oval,2011-09-23,West Indies,England
