,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,H Masakadza,KD Mills,CJ Chibhabha,0,0,0,0,,0,1,0,-,1.0,0,0,,,field,New Zealand,1,Harare Sports Club,2011,10,Zimbabwe_New Zealand_2011-10-15,New Zealand,Zimbabwe,New Zealand,False,123
1,H Masakadza,KD Mills,CJ Chibhabha,1,0,1,1,,1,2,0,-,2.0,0,0,,,field,New Zealand,1,Harare Sports Club,2011,10,Zimbabwe_New Zealand_2011-10-15,New Zealand,Zimbabwe,New Zealand,False,123
2,CJ Chibhabha,KD Mills,H Masakadza,0,0,0,1,,0,1,0,-,3.0,0,0,,,field,New Zealand,1,Harare Sports Club,2011,10,Zimbabwe_New Zealand_2011-10-15,New Zealand,Zimbabwe,New Zealand,False,123
3,CJ Chibhabha,KD Mills,H Masakadza,0,0,0,1,,0,2,0,-,4.0,0,0,,,field,New Zealand,1,Harare Sports Club,2011,10,Zimbabwe_New Zealand_2011-10-15,New Zealand,Zimbabwe,New Zealand,False,123
4,CJ Chibhabha,KD Mills,H Masakadza,0,0,0,1,,0,3,0,-,5.0,0,0,,,field,New Zealand,1,Harare Sports Club,2011,10,Zimbabwe_New Zealand_2011-10-15,New Zealand,Zimbabwe,New Zealand,False,123
5,CJ Chibhabha,KD Mills,H Masakadza,0,0,0,1,,0,4,0,-,6.0,0,0,,,field,New Zealand,1,Harare Sports Club,2011,10,Zimbabwe_New Zealand_2011-10-15,New Zealand,Zimbabwe,New Zealand,False,123
6,H Masakadza,DAJ Bracewell,CJ Chibhabha,1,0,1,2,,2,3,0,-,1.0,1,0,,,field,New Zealand,1,Harare Sports Club,2011,10,Zimbabwe_New Zealand_2011-10-15,New Zealand,Zimbabwe,New Zealand,False,123
7,CJ Chibhabha,DAJ Bracewell,H Masakadza,0,0,0,2,,0,5,0,-,2.0,1,0,,,field,New Zealand,1,Harare Sports Club,2011,10,Zimbabwe_New Zealand_2011-10-15,New Zealand,Zimbabwe,New Zealand,False,123
8,CJ Chibhabha,DAJ Bracewell,H Masakadza,1,0,1,3,,1,6,0,-,3.0,1,0,,,field,New Zealand,1,Harare Sports Club,2011,10,Zimbabwe_New Zealand_2011-10-15,New Zealand,Zimbabwe,New Zealand,False,123
9,H Masakadza,DAJ Bracewell,CJ Chibhabha,6,0,6,9,,8,4,0,-,4.0,1,0,,,field,New Zealand,1,Harare Sports Club,2011,10,Zimbabwe_New Zealand_2011-10-15,New Zealand,Zimbabwe,New Zealand,False,123
