,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,Awais Zia,ST Finn,Mohammad Hafeez,2,0,2,2,127,2,1,0,-,1.0,0,0,,,bat,England,2,Sheikh Zayed Stadium,2012,02,England_Pakistan_2012-02-27,England,Pakistan,England,False,124
1,Awais Zia,ST Finn,Mohammad Hafeez,0,0,0,2,127,2,2,0,-,2.0,0,0,,,bat,England,2,Sheikh Zayed Stadium,2012,02,England_Pakistan_2012-02-27,England,Pakistan,England,False,124
2,Awais Zia,ST Finn,Mohammad Hafeez,0,0,0,2,127,2,3,0,-,3.0,0,0,,,bat,England,2,Sheikh Zayed Stadium,2012,02,England_Pakistan_2012-02-27,England,Pakistan,England,False,124
3,Awais Zia,ST Finn,Mohammad Hafeez,0,4,4,6,123,2,4,0,legbyes,4.0,0,0,,,bat,England,2,Sheikh Zayed Stadium,2012,02,England_Pakistan_2012-02-27,England,Pakistan,England,False,124
4,Awais Zia,ST Finn,Mohammad Hafeez,0,0,0,6,123,2,5,0,-,5.0,0,0,,,bat,England,2,Sheikh Zayed Stadium,2012,02,England_Pakistan_2012-02-27,England,Pakistan,England,False,124
5,Awais Zia,ST Finn,Mohammad Hafeez,2,0,2,8,121,4,6,0,-,6.0,0,0,,,bat,England,2,Sheikh Zayed Stadium,2012,02,England_Pakistan_2012-02-27,England,Pakistan,England,False,124
6,Mohammad Hafeez,JW Dernbach,Awais Zia,0,0,0,8,121,0,1,1,-,1.0,1,caught and bowled,Mohammad Hafeez,,bat,England,2,Sheikh Zayed Stadium,2012,02,England_Pakistan_2012-02-27,England,Pakistan,England,False,124
7,Asad Shafiq,JW Dernbach,Awais Zia,0,0,0,8,121,0,1,1,-,2.0,1,0,,,bat,England,2,Sheikh Zayed Stadium,2012,02,England_Pakistan_2012-02-27,England,Pakistan,England,False,124
8,Asad Shafiq,JW Dernbach,Awais Zia,1,0,1,9,120,1,2,1,-,3.0,1,0,,,bat,England,2,Sheikh Zayed Stadium,2012,02,England_Pakistan_2012-02-27,England,Pakistan,England,False,124
9,Awais Zia,JW Dernbach,Asad Shafiq,1,0,1,10,119,5,7,1,-,4.0,1,0,,,bat,England,2,Sheikh Zayed Stadium,2012,02,England_Pakistan_2012-02-27,England,Pakistan,England,False,124
10,Asad Shafiq,JW Dernbach,Awais Zia,1,0,1,11,118,2,3,1,-,5.0,1,0,,,bat,England,2,Sheikh Zayed Stadium,2012,02,England_Pakistan_2012-02-27,England,Pakistan,England,False,124
11,Awais Zia,JW Dernbach,Asad Shafiq,0,1,1,12,117,5,8,1,legbyes,6.0,1,0,,,bat,England,2,Sheikh Zayed Stadium,2012,02,England_Pakistan_2012-02-27,England,Pakistan,England,False,124
12,Awais Zia,ST Finn,Asad Shafiq,6,0,6,18,111,11,9,1,-,1.0,2,0,,,bat,England,2,Sheikh Zayed Stadium,2012,02,England_Pakistan_2012-02-27,England,Pakistan,England,False,124
13,Awais Zia,ST Finn,Asad Shafiq,1,0,1,19,110,12,10,1,-,2.0,2,0,,,bat,England,2,Sheikh Zayed Stadium,2012,02,England_Pakistan_2012-02-27,England,Pakistan,England,False,124
14,Asad Shafiq,ST Finn,Awais Zia,1,0,1,20,109,3,4,1,-,3.0,2,0,,,bat,England,2,Sheikh Zayed Stadium,2012,02,England_Pakistan_2012-02-27,England,Pakistan,England,False,124
15,Awais Zia,ST Finn,Asad Shafiq,0,1,1,21,108,12,11,1,legbyes,4.0,2,0,,,bat,England,2,Sheikh Zayed Stadium,2012,02,England_Pakistan_2012-02-27,England,Pakistan,England,False,124
16,Asad Shafiq,ST Finn,Awais Zia,0,0,0,21,108,3,5,1,-,5.0,2,0,,,bat,England,2,Sheikh Zayed Stadium,2012,02,England_Pakistan_2012-02-27,England,Pakistan,England,False,124
17,Asad Shafiq,ST Finn,Awais Zia,0,1,1,22,107,3,6,1,legbyes,6.0,2,0,,,bat,England,2,Sheikh Zayed Stadium,2012,02,England_Pakistan_2012-02-27,England,Pakistan,England,False,124
18,Asad Shafiq,JW Dernbach,Awais Zia,1,0,1,23,106,4,7,1,-,1.0,3,0,,,bat,England,2,Sheikh Zayed Stadium,2012,02,England_Pakistan_2012-02-27,England,Pakistan,England,False,124
19,Awais Zia,JW Dernbach,Asad Shafiq,1,0,1,24,105,13,12,1,-,2.0,3,0,,,bat,England,2,Sheikh Zayed Stadium,2012,02,England_Pakistan_2012-02-27,England,Pakistan,England,False,124
