,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,DR Smith,SR Watson,CH Gayle,1,0,1,1,1,1,1,-,1,0,,,bat,West Indies,1,R Premadasa Stadium,2012-09-22,West Indies,Australia
1,CH Gayle,SR Watson,DR Smith,0,0,0,1,0,1,2,-,1,0,,,bat,West Indies,1,R Premadasa Stadium,2012-09-22,West Indies,Australia
2,CH Gayle,SR Watson,DR Smith,0,4,4,5,0,2,3,legbyes,1,0,,,bat,West Indies,1,R Premadasa Stadium,2012-09-22,West Indies,Australia
3,CH Gayle,SR Watson,DR Smith,0,1,1,6,0,3,4,wides,1,0,,,bat,West Indies,1,R Premadasa Stadium,2012-09-22,West Indies,Australia
4,CH Gayle,SR Watson,DR Smith,1,0,1,7,1,4,5,-,1,0,,,bat,West Indies,1,R Premadasa Stadium,2012-09-22,West Indies,Australia
5,DR Smith,SR Watson,CH Gayle,1,0,1,8,2,2,6,-,1,0,,,bat,West Indies,1,R Premadasa Stadium,2012-09-22,West Indies,Australia
6,CH Gayle,SR Watson,DR Smith,0,0,0,8,1,5,7,-,1,0,,,bat,West Indies,1,R Premadasa Stadium,2012-09-22,West Indies,Australia
7,DR Smith,MA Starc,CH Gayle,0,0,0,8,2,3,1,-,2,0,,,bat,West Indies,1,R Premadasa Stadium,2012-09-22,West Indies,Australia
8,DR Smith,MA Starc,CH Gayle,0,0,0,8,2,4,2,-,2,0,,,bat,West Indies,1,R Premadasa Stadium,2012-09-22,West Indies,Australia
9,DR Smith,MA Starc,CH Gayle,0,0,0,8,2,5,3,-,2,bowled,DR Smith,,bat,West Indies,1,R Premadasa Stadium,2012-09-22,West Indies,Australia
10,J Charles,MA Starc,CH Gayle,1,0,1,9,1,1,4,-,2,0,,,bat,West Indies,1,R Premadasa Stadium,2012-09-22,West Indies,Australia
11,CH Gayle,MA Starc,J Charles,1,0,1,10,2,6,5,-,2,0,,,bat,West Indies,1,R Premadasa Stadium,2012-09-22,West Indies,Australia
12,J Charles,MA Starc,CH Gayle,1,0,1,11,2,2,6,-,2,0,,,bat,West Indies,1,R Premadasa Stadium,2012-09-22,West Indies,Australia
13,J Charles,PJ Cummins,CH Gayle,0,0,0,11,2,3,1,-,3,0,,,bat,West Indies,1,R Premadasa Stadium,2012-09-22,West Indies,Australia
14,J Charles,PJ Cummins,CH Gayle,0,0,0,11,2,4,2,-,3,0,,,bat,West Indies,1,R Premadasa Stadium,2012-09-22,West Indies,Australia
15,J Charles,PJ Cummins,CH Gayle,0,0,0,11,2,5,3,-,3,0,,,bat,West Indies,1,R Premadasa Stadium,2012-09-22,West Indies,Australia
16,J Charles,PJ Cummins,CH Gayle,0,0,0,11,2,6,4,-,3,0,,,bat,West Indies,1,R Premadasa Stadium,2012-09-22,West Indies,Australia
17,J Charles,PJ Cummins,CH Gayle,0,0,0,11,2,7,5,-,3,0,,,bat,West Indies,1,R Premadasa Stadium,2012-09-22,West Indies,Australia
18,J Charles,PJ Cummins,CH Gayle,0,0,0,11,2,8,6,-,3,0,,,bat,West Indies,1,R Premadasa Stadium,2012-09-22,West Indies,Australia
19,CH Gayle,MA Starc,J Charles,0,0,0,11,2,7,1,-,4,0,,,bat,West Indies,1,R Premadasa Stadium,2012-09-22,West Indies,Australia
20,CH Gayle,MA Starc,J Charles,0,1,1,12,2,8,2,wides,4,0,,,bat,West Indies,1,R Premadasa Stadium,2012-09-22,West Indies,Australia
21,CH Gayle,MA Starc,J Charles,2,0,2,14,4,9,3,-,4,0,,,bat,West Indies,1,R Premadasa Stadium,2012-09-22,West Indies,Australia
22,CH Gayle,MA Starc,J Charles,0,0,0,14,4,10,4,-,4,0,,,bat,West Indies,1,R Premadasa Stadium,2012-09-22,West Indies,Australia
23,CH Gayle,MA Starc,J Charles,1,0,1,15,5,11,5,-,4,0,,,bat,West Indies,1,R Premadasa Stadium,2012-09-22,West Indies,Australia
24,J Charles,MA Starc,CH Gayle,6,0,6,21,8,9,6,-,4,0,,,bat,West Indies,1,R Premadasa Stadium,2012-09-22,West Indies,Australia
25,J Charles,MA Starc,CH Gayle,4,0,4,25,12,10,7,-,4,0,,,bat,West Indies,1,R Premadasa Stadium,2012-09-22,West Indies,Australia
26,CH Gayle,PJ Cummins,J Charles,4,0,4,29,9,12,1,-,5,0,,,bat,West Indies,1,R Premadasa Stadium,2012-09-22,West Indies,Australia
27,CH Gayle,PJ Cummins,J Charles,0,0,0,29,9,13,2,-,5,0,,,bat,West Indies,1,R Premadasa Stadium,2012-09-22,West Indies,Australia
28,CH Gayle,PJ Cummins,J Charles,4,0,4,33,13,14,3,-,5,0,,,bat,West Indies,1,R Premadasa Stadium,2012-09-22,West Indies,Australia
29,CH Gayle,PJ Cummins,J Charles,4,0,4,37,17,15,4,-,5,0,,,bat,West Indies,1,R Premadasa Stadium,2012-09-22,West Indies,Australia
30,CH Gayle,PJ Cummins,J Charles,0,0,0,37,17,16,5,-,5,0,,,bat,West Indies,1,R Premadasa Stadium,2012-09-22,West Indies,Australia
31,CH Gayle,PJ Cummins,J Charles,6,0,6,43,23,17,6,-,5,0,,,bat,West Indies,1,R Premadasa Stadium,2012-09-22,West Indies,Australia
32,J Charles,DT Christian,CH Gayle,4,0,4,47,16,11,1,-,6,0,,,bat,West Indies,1,R Premadasa Stadium,2012-09-22,West Indies,Australia
33,J Charles,DT Christian,CH Gayle,0,0,0,47,16,12,2,-,6,bowled,J Charles,,bat,West Indies,1,R Premadasa Stadium,2012-09-22,West Indies,Australia
34,MN Samuels,DT Christian,CH Gayle,1,0,1,48,1,1,3,-,6,0,,,bat,West Indies,1,R Premadasa Stadium,2012-09-22,West Indies,Australia
35,CH Gayle,DT Christian,MN Samuels,4,0,4,52,27,18,4,-,6,0,,,bat,West Indies,1,R Premadasa Stadium,2012-09-22,West Indies,Australia
36,CH Gayle,DT Christian,MN Samuels,0,0,0,52,27,19,5,-,6,0,,,bat,West Indies,1,R Premadasa Stadium,2012-09-22,West Indies,Australia
37,CH Gayle,DT Christian,MN Samuels,0,1,1,53,27,20,6,legbyes,6,0,,,bat,West Indies,1,R Premadasa Stadium,2012-09-22,West Indies,Australia
