,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,G Gambhir,ST Finn,IK Pathan,1,0,1,1,,1,1,0,-,1.0,0,0,,,field,England,1,R Premadasa Stadium,2012,09,England_India_2012-09-23,India,India,England,True,170
1,IK Pathan,ST Finn,G Gambhir,0,0,0,1,,0,1,0,-,2.0,0,0,,,field,England,1,R Premadasa Stadium,2012,09,England_India_2012-09-23,India,India,England,True,170
2,IK Pathan,ST Finn,G Gambhir,2,0,2,3,,2,2,0,-,3.0,0,0,,,field,England,1,R Premadasa Stadium,2012,09,England_India_2012-09-23,India,India,England,True,170
3,IK Pathan,ST Finn,G Gambhir,0,1,1,4,,2,3,0,legbyes,4.0,0,0,,,field,England,1,R Premadasa Stadium,2012,09,England_India_2012-09-23,India,India,England,True,170
4,G Gambhir,ST Finn,IK Pathan,0,1,1,5,,1,2,0,wides,4.0,0,0,,,field,England,1,R Premadasa Stadium,2012,09,England_India_2012-09-23,India,India,England,True,170
5,G Gambhir,ST Finn,IK Pathan,1,0,1,6,,2,3,0,-,5.0,0,0,,,field,England,1,R Premadasa Stadium,2012,09,England_India_2012-09-23,India,India,England,True,170
6,IK Pathan,ST Finn,G Gambhir,0,0,0,6,,2,4,0,-,6.0,0,0,,,field,England,1,R Premadasa Stadium,2012,09,England_India_2012-09-23,India,India,England,True,170
7,G Gambhir,JW Dernbach,IK Pathan,0,0,0,6,,2,4,0,-,1.0,1,0,,,field,England,1,R Premadasa Stadium,2012,09,England_India_2012-09-23,India,India,England,True,170
8,G Gambhir,JW Dernbach,IK Pathan,0,0,0,6,,2,5,0,-,2.0,1,0,,,field,England,1,R Premadasa Stadium,2012,09,England_India_2012-09-23,India,India,England,True,170
9,G Gambhir,JW Dernbach,IK Pathan,4,0,4,10,,6,6,0,-,3.0,1,0,,,field,England,1,R Premadasa Stadium,2012,09,England_India_2012-09-23,India,India,England,True,170
10,G Gambhir,JW Dernbach,IK Pathan,4,0,4,14,,10,7,0,-,4.0,1,0,,,field,England,1,R Premadasa Stadium,2012,09,England_India_2012-09-23,India,India,England,True,170
11,G Gambhir,JW Dernbach,IK Pathan,0,1,1,15,,10,8,0,legbyes,5.0,1,0,,,field,England,1,R Premadasa Stadium,2012,09,England_India_2012-09-23,India,India,England,True,170
12,IK Pathan,JW Dernbach,G Gambhir,1,0,1,16,,3,5,0,-,6.0,1,0,,,field,England,1,R Premadasa Stadium,2012,09,England_India_2012-09-23,India,India,England,True,170
13,IK Pathan,ST Finn,G Gambhir,0,1,1,17,,3,6,0,wides,0.0,2,0,,,field,England,1,R Premadasa Stadium,2012,09,England_India_2012-09-23,India,India,England,True,170
14,IK Pathan,ST Finn,G Gambhir,1,0,1,18,,4,7,0,-,1.0,2,0,,,field,England,1,R Premadasa Stadium,2012,09,England_India_2012-09-23,India,India,England,True,170
15,G Gambhir,ST Finn,IK Pathan,1,0,1,19,,11,9,0,-,2.0,2,0,,,field,England,1,R Premadasa Stadium,2012,09,England_India_2012-09-23,India,India,England,True,170
16,IK Pathan,ST Finn,G Gambhir,4,0,4,23,,8,8,0,-,3.0,2,0,,,field,England,1,R Premadasa Stadium,2012,09,England_India_2012-09-23,India,India,England,True,170
17,IK Pathan,ST Finn,G Gambhir,0,1,1,24,,8,9,0,wides,3.0,2,0,,,field,England,1,R Premadasa Stadium,2012,09,England_India_2012-09-23,India,India,England,True,170
18,IK Pathan,ST Finn,G Gambhir,0,0,0,24,,8,10,1,-,4.0,2,bowled,IK Pathan,,field,England,1,R Premadasa Stadium,2012,09,England_India_2012-09-23,India,India,England,True,170
19,V Kohli,ST Finn,G Gambhir,0,0,0,24,,0,1,1,-,5.0,2,0,,,field,England,1,R Premadasa Stadium,2012,09,England_India_2012-09-23,India,India,England,True,170
20,V Kohli,ST Finn,G Gambhir,4,0,4,28,,4,2,1,-,6.0,2,0,,,field,England,1,R Premadasa Stadium,2012,09,England_India_2012-09-23,India,India,England,True,170
21,G Gambhir,SCJ Broad,V Kohli,1,0,1,29,,12,10,1,-,1.0,3,0,,,field,England,1,R Premadasa Stadium,2012,09,England_India_2012-09-23,India,India,England,True,170
22,V Kohli,SCJ Broad,G Gambhir,4,0,4,33,,8,3,1,-,2.0,3,0,,,field,England,1,R Premadasa Stadium,2012,09,England_India_2012-09-23,India,India,England,True,170
23,V Kohli,SCJ Broad,G Gambhir,0,0,0,33,,8,4,1,-,3.0,3,0,,,field,England,1,R Premadasa Stadium,2012,09,England_India_2012-09-23,India,India,England,True,170
24,V Kohli,SCJ Broad,G Gambhir,0,0,0,33,,8,5,1,-,4.0,3,0,,,field,England,1,R Premadasa Stadium,2012,09,England_India_2012-09-23,India,India,England,True,170
25,V Kohli,SCJ Broad,G Gambhir,1,0,1,34,,9,6,1,-,5.0,3,0,,,field,England,1,R Premadasa Stadium,2012,09,England_India_2012-09-23,India,India,England,True,170
26,G Gambhir,SCJ Broad,V Kohli,0,0,0,34,,12,11,1,-,6.0,3,0,,,field,England,1,R Premadasa Stadium,2012,09,England_India_2012-09-23,India,India,England,True,170
