,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,WTS Porterfield,FH Edwards,PR Stirling,0,0,0,0,170,0,1,1,1,bowled,WTS Porterfield,,1,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
1,EC Joyce,FH Edwards,PR Stirling,4,0,4,4,166,4,1,1,2,0,,,1,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
2,EC Joyce,FH Edwards,PR Stirling,0,0,0,4,166,4,2,1,3,0,,,1,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
3,EC Joyce,FH Edwards,PR Stirling,0,0,0,4,166,4,3,1,4,0,,,1,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
4,EC Joyce,FH Edwards,PR Stirling,4,0,4,8,162,8,4,1,5,0,,,1,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
5,EC Joyce,FH Edwards,PR Stirling,0,0,0,8,162,8,5,1,6,0,,,1,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
6,PR Stirling,R Rampaul,EC Joyce,1,0,1,9,161,1,1,1,1,0,,,2,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
7,EC Joyce,R Rampaul,PR Stirling,0,0,0,9,161,8,6,1,2,0,,,2,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
8,EC Joyce,R Rampaul,PR Stirling,0,0,0,9,161,8,7,1,3,0,,,2,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
9,EC Joyce,R Rampaul,PR Stirling,1,0,1,10,160,9,8,1,4,0,,,2,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
10,PR Stirling,R Rampaul,EC Joyce,0,0,0,10,160,1,2,1,5,0,,,2,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
11,PR Stirling,R Rampaul,EC Joyce,0,0,0,10,160,1,3,1,6,0,,,2,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
12,EC Joyce,FH Edwards,PR Stirling,1,0,1,11,159,10,9,1,1,0,,,3,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
13,PR Stirling,FH Edwards,EC Joyce,4,0,4,15,155,5,4,1,2,0,,,3,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
14,PR Stirling,FH Edwards,EC Joyce,0,0,0,15,155,5,5,1,3,0,,,3,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
15,PR Stirling,FH Edwards,EC Joyce,2,0,2,17,153,7,6,1,4,0,,,3,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
16,PR Stirling,FH Edwards,EC Joyce,0,0,0,17,153,7,7,1,5,0,,,3,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
17,PR Stirling,FH Edwards,EC Joyce,0,0,0,17,153,7,8,1,6,0,,,3,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
18,EC Joyce,R Rampaul,PR Stirling,4,0,4,21,149,14,10,1,1,0,,,4,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
19,EC Joyce,R Rampaul,PR Stirling,0,0,0,21,149,14,11,1,2,0,,,4,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
20,EC Joyce,R Rampaul,PR Stirling,0,0,0,21,149,14,12,1,3,0,,,4,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
21,EC Joyce,R Rampaul,PR Stirling,2,0,2,23,147,16,13,1,4,0,,,4,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
22,EC Joyce,R Rampaul,PR Stirling,0,0,0,23,147,16,14,1,5,0,,,4,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
23,EC Joyce,R Rampaul,PR Stirling,0,0,0,23,147,16,15,1,6,0,,,4,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
24,PR Stirling,DJG Sammy,EC Joyce,0,0,0,23,147,7,9,1,1,0,,,5,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
25,PR Stirling,DJG Sammy,EC Joyce,4,0,4,27,143,11,10,1,2,0,,,5,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
26,PR Stirling,DJG Sammy,EC Joyce,4,0,4,31,139,15,11,1,3,0,,,5,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
27,PR Stirling,DJG Sammy,EC Joyce,1,0,1,32,138,16,12,1,4,0,,,5,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
28,EC Joyce,DJG Sammy,PR Stirling,1,0,1,33,137,17,16,1,5,0,,,5,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
29,PR Stirling,DJG Sammy,EC Joyce,0,0,0,33,137,16,13,1,6,0,,,5,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
30,EC Joyce,SP Narine,PR Stirling,0,0,0,33,137,17,17,1,1,0,,,6,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
31,EC Joyce,SP Narine,PR Stirling,0,0,0,33,137,17,18,1,2,0,,,6,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
32,EC Joyce,SP Narine,PR Stirling,0,0,0,33,137,17,19,2,3,bowled,EC Joyce,,6,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
33,NJ O'Brien,SP Narine,PR Stirling,0,0,0,33,137,0,1,2,4,0,,,6,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
34,NJ O'Brien,SP Narine,PR Stirling,1,0,1,34,136,1,2,2,5,0,,,6,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
35,PR Stirling,SP Narine,NJ O'Brien,1,0,1,35,135,17,14,2,6,0,,,6,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
36,PR Stirling,DJG Sammy,NJ O'Brien,2,0,2,37,133,19,15,2,1,0,,,7,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
37,PR Stirling,DJG Sammy,NJ O'Brien,0,0,0,37,133,19,16,3,2,caught,PR Stirling,CH Gayle,7,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
38,GC Wilson,DJG Sammy,NJ O'Brien,0,0,0,37,133,0,1,3,3,0,,,7,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
39,GC Wilson,DJG Sammy,NJ O'Brien,4,0,4,41,129,4,2,3,4,0,,,7,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
40,GC Wilson,DJG Sammy,NJ O'Brien,0,0,0,41,129,4,3,3,5,0,,,7,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
41,GC Wilson,DJG Sammy,NJ O'Brien,1,0,1,42,128,5,4,3,6,0,,,7,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
42,GC Wilson,SP Narine,NJ O'Brien,0,0,0,42,128,5,5,3,1,0,,,8,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
43,GC Wilson,SP Narine,NJ O'Brien,0,0,0,42,128,5,6,3,2,0,,,8,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
44,GC Wilson,SP Narine,NJ O'Brien,0,0,0,42,128,5,7,3,3,0,,,8,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
45,GC Wilson,SP Narine,NJ O'Brien,1,0,1,43,127,6,8,3,4,0,,,8,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
46,NJ O'Brien,SP Narine,GC Wilson,1,0,1,44,126,2,3,3,5,0,,,8,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
47,GC Wilson,SP Narine,NJ O'Brien,0,0,0,44,126,6,9,3,6,0,,,8,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
48,NJ O'Brien,DJG Sammy,GC Wilson,1,0,1,45,125,3,4,3,1,0,,,9,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
49,GC Wilson,DJG Sammy,NJ O'Brien,1,0,1,46,124,7,10,3,2,0,,,9,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
50,NJ O'Brien,DJG Sammy,GC Wilson,1,0,1,47,123,4,5,3,3,0,,,9,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
51,GC Wilson,DJG Sammy,NJ O'Brien,1,0,1,48,122,8,11,3,4,0,,,9,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
52,NJ O'Brien,DJG Sammy,GC Wilson,1,0,1,49,121,5,6,3,5,0,,,9,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
53,GC Wilson,DJG Sammy,NJ O'Brien,1,0,1,50,120,9,12,3,6,0,,,9,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
54,GC Wilson,SP Narine,NJ O'Brien,0,0,0,50,120,9,13,3,1,0,,,10,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
55,GC Wilson,SP Narine,NJ O'Brien,1,0,1,51,119,10,14,3,2,0,,,10,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
56,NJ O'Brien,SP Narine,GC Wilson,1,0,1,52,118,6,7,3,3,0,,,10,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
57,GC Wilson,SP Narine,NJ O'Brien,4,0,4,56,114,14,15,3,4,0,,,10,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
58,GC Wilson,SP Narine,NJ O'Brien,0,0,0,56,114,14,16,3,5,0,,,10,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
59,GC Wilson,SP Narine,NJ O'Brien,1,0,1,57,113,15,17,3,6,0,,,10,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
60,GC Wilson,AD Russell,NJ O'Brien,0,0,0,57,113,15,18,3,1,0,,,11,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
61,GC Wilson,AD Russell,NJ O'Brien,1,0,1,58,112,16,19,3,2,0,,,11,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
62,NJ O'Brien,AD Russell,GC Wilson,1,0,1,59,111,7,8,3,3,0,,,11,-,field,West Indies,1,R Premadasa Stadium,2012,09,Ireland_West Indies_2012-09-24,no result,Ireland,,129
