,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,C Kieswetter,R Rampaul,AD Hales,0,0,0,0,179,0,1,0,1,0,,,1,-,bat,West Indies,2,Pallekele International Cricket Stadium,2012,09,England_West Indies_2012-09-27,West Indies,England,West Indies
1,C Kieswetter,R Rampaul,AD Hales,0,0,0,0,179,0,2,1,2,caught,C Kieswetter,KA Pollard,1,-,bat,West Indies,2,Pallekele International Cricket Stadium,2012,09,England_West Indies_2012-09-27,West Indies,England,West Indies
2,LJ Wright,R Rampaul,AD Hales,0,0,0,0,179,0,1,2,3,caught,LJ Wright,CH Gayle,1,-,bat,West Indies,2,Pallekele International Cricket Stadium,2012,09,England_West Indies_2012-09-27,West Indies,England,West Indies
3,JM Bairstow,R Rampaul,AD Hales,0,0,0,0,179,0,1,2,4,0,,,1,-,bat,West Indies,2,Pallekele International Cricket Stadium,2012,09,England_West Indies_2012-09-27,West Indies,England,West Indies
4,JM Bairstow,R Rampaul,AD Hales,0,0,0,0,179,0,2,2,5,0,,,1,-,bat,West Indies,2,Pallekele International Cricket Stadium,2012,09,England_West Indies_2012-09-27,West Indies,England,West Indies
5,JM Bairstow,R Rampaul,AD Hales,0,0,0,0,179,0,3,2,6,0,,,1,-,bat,West Indies,2,Pallekele International Cricket Stadium,2012,09,England_West Indies_2012-09-27,West Indies,England,West Indies
6,AD Hales,S Badree,JM Bairstow,1,0,1,1,178,1,1,2,1,0,,,2,-,bat,West Indies,2,Pallekele International Cricket Stadium,2012,09,England_West Indies_2012-09-27,West Indies,England,West Indies
7,JM Bairstow,S Badree,AD Hales,0,0,0,1,178,0,4,2,2,0,,,2,-,bat,West Indies,2,Pallekele International Cricket Stadium,2012,09,England_West Indies_2012-09-27,West Indies,England,West Indies
8,JM Bairstow,S Badree,AD Hales,0,0,0,1,178,0,5,2,3,0,,,2,-,bat,West Indies,2,Pallekele International Cricket Stadium,2012,09,England_West Indies_2012-09-27,West Indies,England,West Indies
9,JM Bairstow,S Badree,AD Hales,0,0,0,1,178,0,6,2,4,0,,,2,-,bat,West Indies,2,Pallekele International Cricket Stadium,2012,09,England_West Indies_2012-09-27,West Indies,England,West Indies
