,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,G Gambhir,GJ Maxwell,IK Pathan,2,0,2,2,131,2,1,0,1,-,1,0,,,bat,India,1,R Premadasa Stadium,2012,09,Australia_India_2012-09-28,Australia,India,Australia,140
1,G Gambhir,GJ Maxwell,IK Pathan,0,0,0,2,131,2,2,0,2,-,1,0,,,bat,India,1,R Premadasa Stadium,2012,09,Australia_India_2012-09-28,Australia,India,Australia,140
2,G Gambhir,GJ Maxwell,IK Pathan,0,0,0,2,131,2,3,0,3,-,1,0,,,bat,India,1,R Premadasa Stadium,2012,09,Australia_India_2012-09-28,Australia,India,Australia,140
3,G Gambhir,GJ Maxwell,IK Pathan,4,0,4,6,127,6,4,0,4,-,1,0,,,bat,India,1,R Premadasa Stadium,2012,09,Australia_India_2012-09-28,Australia,India,Australia,140
4,G Gambhir,GJ Maxwell,IK Pathan,1,0,1,7,126,7,5,0,5,-,1,0,,,bat,India,1,R Premadasa Stadium,2012,09,Australia_India_2012-09-28,Australia,India,Australia,140
5,IK Pathan,GJ Maxwell,G Gambhir,0,1,1,8,125,0,1,0,6,legbyes,1,0,,,bat,India,1,R Premadasa Stadium,2012,09,Australia_India_2012-09-28,Australia,India,Australia,140
6,IK Pathan,MA Starc,G Gambhir,1,0,1,9,124,1,2,0,1,-,2,0,,,bat,India,1,R Premadasa Stadium,2012,09,Australia_India_2012-09-28,Australia,India,Australia,140
7,G Gambhir,MA Starc,IK Pathan,1,0,1,10,123,8,6,0,2,-,2,0,,,bat,India,1,R Premadasa Stadium,2012,09,Australia_India_2012-09-28,Australia,India,Australia,140
8,IK Pathan,MA Starc,G Gambhir,0,0,0,10,123,1,3,0,3,-,2,0,,,bat,India,1,R Premadasa Stadium,2012,09,Australia_India_2012-09-28,Australia,India,Australia,140
9,IK Pathan,MA Starc,G Gambhir,0,1,1,11,122,1,4,0,4,legbyes,2,0,,,bat,India,1,R Premadasa Stadium,2012,09,Australia_India_2012-09-28,Australia,India,Australia,140
10,G Gambhir,MA Starc,IK Pathan,4,0,4,15,118,12,7,0,5,-,2,0,,,bat,India,1,R Premadasa Stadium,2012,09,Australia_India_2012-09-28,Australia,India,Australia,140
11,G Gambhir,MA Starc,IK Pathan,0,0,0,15,118,12,8,0,6,-,2,0,,,bat,India,1,R Premadasa Stadium,2012,09,Australia_India_2012-09-28,Australia,India,Australia,140
12,IK Pathan,PJ Cummins,G Gambhir,1,0,1,16,117,2,5,0,1,-,3,0,,,bat,India,1,R Premadasa Stadium,2012,09,Australia_India_2012-09-28,Australia,India,Australia,140
13,G Gambhir,PJ Cummins,IK Pathan,4,0,4,20,113,16,9,0,2,-,3,0,,,bat,India,1,R Premadasa Stadium,2012,09,Australia_India_2012-09-28,Australia,India,Australia,140
14,G Gambhir,PJ Cummins,IK Pathan,0,0,0,20,113,16,10,0,3,-,3,0,,,bat,India,1,R Premadasa Stadium,2012,09,Australia_India_2012-09-28,Australia,India,Australia,140
15,G Gambhir,PJ Cummins,IK Pathan,0,0,0,20,113,16,11,0,4,-,3,0,,,bat,India,1,R Premadasa Stadium,2012,09,Australia_India_2012-09-28,Australia,India,Australia,140
16,G Gambhir,PJ Cummins,IK Pathan,1,0,1,21,112,17,12,0,5,-,3,0,,,bat,India,1,R Premadasa Stadium,2012,09,Australia_India_2012-09-28,Australia,India,Australia,140
17,IK Pathan,PJ Cummins,G Gambhir,0,0,0,21,112,2,6,1,6,-,3,run out,G Gambhir,PJ Cummins,bat,India,1,R Premadasa Stadium,2012,09,Australia_India_2012-09-28,Australia,India,Australia,140
18,IK Pathan,MA Starc,V Kohli,1,0,1,22,111,3,7,1,1,-,4,0,,,bat,India,1,R Premadasa Stadium,2012,09,Australia_India_2012-09-28,Australia,India,Australia,140
