,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,DPMD Jayawardene,Sohail Tanvir,TM Dilshan,0,0,0,0,,0,1,0,1,0,-,0,,,bat,Sri Lanka,1,R Premadasa Stadium,2012,10,Sri Lanka_Pakistan_2012-10-04,Sri Lanka,Sri Lanka,Pakistan,True,139
1,DPMD Jayawardene,Sohail Tanvir,TM Dilshan,4,0,4,4,,4,2,0,2,0,-,0,,,bat,Sri Lanka,1,R Premadasa Stadium,2012,10,Sri Lanka_Pakistan_2012-10-04,Sri Lanka,Sri Lanka,Pakistan,True,139
2,DPMD Jayawardene,Sohail Tanvir,TM Dilshan,0,0,0,4,,4,3,0,3,0,-,0,,,bat,Sri Lanka,1,R Premadasa Stadium,2012,10,Sri Lanka_Pakistan_2012-10-04,Sri Lanka,Sri Lanka,Pakistan,True,139
3,DPMD Jayawardene,Sohail Tanvir,TM Dilshan,1,0,1,5,,5,4,0,4,0,-,0,,,bat,Sri Lanka,1,R Premadasa Stadium,2012,10,Sri Lanka_Pakistan_2012-10-04,Sri Lanka,Sri Lanka,Pakistan,True,139
4,TM Dilshan,Sohail Tanvir,DPMD Jayawardene,0,0,0,5,,0,1,0,5,0,-,0,,,bat,Sri Lanka,1,R Premadasa Stadium,2012,10,Sri Lanka_Pakistan_2012-10-04,Sri Lanka,Sri Lanka,Pakistan,True,139
5,TM Dilshan,Sohail Tanvir,DPMD Jayawardene,0,0,0,5,,0,2,0,6,0,-,0,,,bat,Sri Lanka,1,R Premadasa Stadium,2012,10,Sri Lanka_Pakistan_2012-10-04,Sri Lanka,Sri Lanka,Pakistan,True,139
6,DPMD Jayawardene,Raza Hasan,TM Dilshan,3,0,3,8,,8,5,0,1,1,-,0,,,bat,Sri Lanka,1,R Premadasa Stadium,2012,10,Sri Lanka_Pakistan_2012-10-04,Sri Lanka,Sri Lanka,Pakistan,True,139
7,TM Dilshan,Raza Hasan,DPMD Jayawardene,0,0,0,8,,0,3,0,2,1,-,0,,,bat,Sri Lanka,1,R Premadasa Stadium,2012,10,Sri Lanka_Pakistan_2012-10-04,Sri Lanka,Sri Lanka,Pakistan,True,139
8,TM Dilshan,Raza Hasan,DPMD Jayawardene,4,0,4,12,,4,4,0,3,1,-,0,,,bat,Sri Lanka,1,R Premadasa Stadium,2012,10,Sri Lanka_Pakistan_2012-10-04,Sri Lanka,Sri Lanka,Pakistan,True,139
9,TM Dilshan,Raza Hasan,DPMD Jayawardene,0,0,0,12,,4,5,0,4,1,-,0,,,bat,Sri Lanka,1,R Premadasa Stadium,2012,10,Sri Lanka_Pakistan_2012-10-04,Sri Lanka,Sri Lanka,Pakistan,True,139
10,TM Dilshan,Raza Hasan,DPMD Jayawardene,0,0,0,12,,4,6,0,5,1,-,0,,,bat,Sri Lanka,1,R Premadasa Stadium,2012,10,Sri Lanka_Pakistan_2012-10-04,Sri Lanka,Sri Lanka,Pakistan,True,139
11,TM Dilshan,Raza Hasan,DPMD Jayawardene,0,0,0,12,,4,7,0,6,1,-,0,,,bat,Sri Lanka,1,R Premadasa Stadium,2012,10,Sri Lanka_Pakistan_2012-10-04,Sri Lanka,Sri Lanka,Pakistan,True,139
12,DPMD Jayawardene,Sohail Tanvir,TM Dilshan,0,0,0,12,,8,6,0,1,2,-,0,,,bat,Sri Lanka,1,R Premadasa Stadium,2012,10,Sri Lanka_Pakistan_2012-10-04,Sri Lanka,Sri Lanka,Pakistan,True,139
13,DPMD Jayawardene,Sohail Tanvir,TM Dilshan,0,0,0,12,,8,7,0,2,2,-,0,,,bat,Sri Lanka,1,R Premadasa Stadium,2012,10,Sri Lanka_Pakistan_2012-10-04,Sri Lanka,Sri Lanka,Pakistan,True,139
14,DPMD Jayawardene,Sohail Tanvir,TM Dilshan,1,0,1,13,,9,8,0,3,2,-,0,,,bat,Sri Lanka,1,R Premadasa Stadium,2012,10,Sri Lanka_Pakistan_2012-10-04,Sri Lanka,Sri Lanka,Pakistan,True,139
15,TM Dilshan,Sohail Tanvir,DPMD Jayawardene,0,0,0,13,,4,8,0,4,2,-,0,,,bat,Sri Lanka,1,R Premadasa Stadium,2012,10,Sri Lanka_Pakistan_2012-10-04,Sri Lanka,Sri Lanka,Pakistan,True,139
16,TM Dilshan,Sohail Tanvir,DPMD Jayawardene,0,0,0,13,,4,9,0,5,2,-,0,,,bat,Sri Lanka,1,R Premadasa Stadium,2012,10,Sri Lanka_Pakistan_2012-10-04,Sri Lanka,Sri Lanka,Pakistan,True,139
17,TM Dilshan,Sohail Tanvir,DPMD Jayawardene,1,0,1,14,,5,10,0,6,2,-,0,,,bat,Sri Lanka,1,R Premadasa Stadium,2012,10,Sri Lanka_Pakistan_2012-10-04,Sri Lanka,Sri Lanka,Pakistan,True,139
18,TM Dilshan,Raza Hasan,DPMD Jayawardene,0,0,0,14,,5,11,0,1,3,-,0,,,bat,Sri Lanka,1,R Premadasa Stadium,2012,10,Sri Lanka_Pakistan_2012-10-04,Sri Lanka,Sri Lanka,Pakistan,True,139
19,TM Dilshan,Raza Hasan,DPMD Jayawardene,1,0,1,15,,6,12,0,2,3,-,0,,,bat,Sri Lanka,1,R Premadasa Stadium,2012,10,Sri Lanka_Pakistan_2012-10-04,Sri Lanka,Sri Lanka,Pakistan,True,139
20,DPMD Jayawardene,Raza Hasan,TM Dilshan,4,0,4,19,,13,9,0,3,3,-,0,,,bat,Sri Lanka,1,R Premadasa Stadium,2012,10,Sri Lanka_Pakistan_2012-10-04,Sri Lanka,Sri Lanka,Pakistan,True,139
21,DPMD Jayawardene,Raza Hasan,TM Dilshan,0,0,0,19,,13,10,0,4,3,-,0,,,bat,Sri Lanka,1,R Premadasa Stadium,2012,10,Sri Lanka_Pakistan_2012-10-04,Sri Lanka,Sri Lanka,Pakistan,True,139
22,DPMD Jayawardene,Raza Hasan,TM Dilshan,0,0,0,19,,13,11,0,5,3,-,0,,,bat,Sri Lanka,1,R Premadasa Stadium,2012,10,Sri Lanka_Pakistan_2012-10-04,Sri Lanka,Sri Lanka,Pakistan,True,139
23,DPMD Jayawardene,Raza Hasan,TM Dilshan,1,0,1,20,,14,12,0,6,3,-,0,,,bat,Sri Lanka,1,R Premadasa Stadium,2012,10,Sri Lanka_Pakistan_2012-10-04,Sri Lanka,Sri Lanka,Pakistan,True,139
24,DPMD Jayawardene,Sohail Tanvir,TM Dilshan,0,0,0,20,,14,13,0,1,4,-,0,,,bat,Sri Lanka,1,R Premadasa Stadium,2012,10,Sri Lanka_Pakistan_2012-10-04,Sri Lanka,Sri Lanka,Pakistan,True,139
25,DPMD Jayawardene,Sohail Tanvir,TM Dilshan,1,0,1,21,,15,14,0,2,4,-,0,,,bat,Sri Lanka,1,R Premadasa Stadium,2012,10,Sri Lanka_Pakistan_2012-10-04,Sri Lanka,Sri Lanka,Pakistan,True,139
26,TM Dilshan,Sohail Tanvir,DPMD Jayawardene,0,0,0,21,,6,13,0,3,4,-,0,,,bat,Sri Lanka,1,R Premadasa Stadium,2012,10,Sri Lanka_Pakistan_2012-10-04,Sri Lanka,Sri Lanka,Pakistan,True,139
27,TM Dilshan,Sohail Tanvir,DPMD Jayawardene,0,1,1,22,,6,14,0,4,4,wides,0,,,bat,Sri Lanka,1,R Premadasa Stadium,2012,10,Sri Lanka_Pakistan_2012-10-04,Sri Lanka,Sri Lanka,Pakistan,True,139
28,TM Dilshan,Sohail Tanvir,DPMD Jayawardene,0,0,0,22,,6,15,0,5,4,-,0,,,bat,Sri Lanka,1,R Premadasa Stadium,2012,10,Sri Lanka_Pakistan_2012-10-04,Sri Lanka,Sri Lanka,Pakistan,True,139
29,TM Dilshan,Sohail Tanvir,DPMD Jayawardene,0,0,0,22,,6,16,0,6,4,-,0,,,bat,Sri Lanka,1,R Premadasa Stadium,2012,10,Sri Lanka_Pakistan_2012-10-04,Sri Lanka,Sri Lanka,Pakistan,True,139
30,TM Dilshan,Sohail Tanvir,DPMD Jayawardene,2,0,2,24,,8,17,0,7,4,-,0,,,bat,Sri Lanka,1,R Premadasa Stadium,2012,10,Sri Lanka_Pakistan_2012-10-04,Sri Lanka,Sri Lanka,Pakistan,True,139
31,DPMD Jayawardene,Saeed Ajmal,TM Dilshan,4,0,4,28,,19,15,0,1,5,-,0,,,bat,Sri Lanka,1,R Premadasa Stadium,2012,10,Sri Lanka_Pakistan_2012-10-04,Sri Lanka,Sri Lanka,Pakistan,True,139
32,DPMD Jayawardene,Saeed Ajmal,TM Dilshan,0,2,2,30,,19,16,0,2,5,byes,0,,,bat,Sri Lanka,1,R Premadasa Stadium,2012,10,Sri Lanka_Pakistan_2012-10-04,Sri Lanka,Sri Lanka,Pakistan,True,139
33,DPMD Jayawardene,Saeed Ajmal,TM Dilshan,0,0,0,30,,19,17,0,3,5,-,0,,,bat,Sri Lanka,1,R Premadasa Stadium,2012,10,Sri Lanka_Pakistan_2012-10-04,Sri Lanka,Sri Lanka,Pakistan,True,139
34,DPMD Jayawardene,Saeed Ajmal,TM Dilshan,0,0,0,30,,19,18,0,4,5,-,0,,,bat,Sri Lanka,1,R Premadasa Stadium,2012,10,Sri Lanka_Pakistan_2012-10-04,Sri Lanka,Sri Lanka,Pakistan,True,139
35,DPMD Jayawardene,Saeed Ajmal,TM Dilshan,0,0,0,30,,19,19,0,5,5,-,0,,,bat,Sri Lanka,1,R Premadasa Stadium,2012,10,Sri Lanka_Pakistan_2012-10-04,Sri Lanka,Sri Lanka,Pakistan,True,139
36,DPMD Jayawardene,Saeed Ajmal,TM Dilshan,4,0,4,34,,23,20,0,6,5,-,0,,,bat,Sri Lanka,1,R Premadasa Stadium,2012,10,Sri Lanka_Pakistan_2012-10-04,Sri Lanka,Sri Lanka,Pakistan,True,139
37,TM Dilshan,Shahid Afridi,DPMD Jayawardene,1,0,1,35,,9,18,0,1,6,-,0,,,bat,Sri Lanka,1,R Premadasa Stadium,2012,10,Sri Lanka_Pakistan_2012-10-04,Sri Lanka,Sri Lanka,Pakistan,True,139
