,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,C Kieswetter,R Rampaul,AD Hales,0,1,1,1,171,0,1,0,1,wides,0,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
1,C Kieswetter,R Rampaul,AD Hales,0,0,0,1,171,0,2,0,2,-,0,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
2,C Kieswetter,R Rampaul,AD Hales,0,0,0,1,171,0,3,0,3,-,0,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
3,C Kieswetter,R Rampaul,AD Hales,1,0,1,2,170,1,4,0,4,-,0,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
4,AD Hales,R Rampaul,C Kieswetter,1,0,1,3,169,1,1,0,5,-,0,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
5,C Kieswetter,R Rampaul,AD Hales,1,0,1,4,168,2,5,0,6,-,0,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
6,AD Hales,R Rampaul,C Kieswetter,1,0,1,5,167,2,2,0,7,-,0,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
7,AD Hales,FH Edwards,C Kieswetter,0,0,0,5,167,2,3,0,1,-,1,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
8,AD Hales,FH Edwards,C Kieswetter,0,1,1,6,166,2,4,0,2,noballs,1,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
9,AD Hales,FH Edwards,C Kieswetter,0,0,0,6,166,2,5,0,3,-,1,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
10,AD Hales,FH Edwards,C Kieswetter,0,0,0,6,166,2,6,0,4,-,1,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
11,AD Hales,FH Edwards,C Kieswetter,3,0,3,9,163,5,7,0,5,-,1,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
12,C Kieswetter,FH Edwards,AD Hales,0,0,0,9,163,2,6,0,6,-,1,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
13,C Kieswetter,FH Edwards,AD Hales,1,0,1,10,162,3,7,0,7,-,1,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
14,C Kieswetter,R Rampaul,AD Hales,0,0,0,10,162,3,8,1,1,-,2,caught,C Kieswetter,DR Smith,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
15,RS Bopara,R Rampaul,AD Hales,0,1,1,11,161,0,1,1,2,wides,2,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
16,RS Bopara,R Rampaul,AD Hales,0,0,0,11,161,0,2,1,3,-,2,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
17,RS Bopara,R Rampaul,AD Hales,1,0,1,12,160,1,3,1,4,-,2,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
18,AD Hales,R Rampaul,RS Bopara,6,0,6,18,154,11,8,1,5,-,2,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
19,AD Hales,R Rampaul,RS Bopara,0,0,0,18,154,11,9,1,6,-,2,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
20,AD Hales,R Rampaul,RS Bopara,2,0,2,20,152,13,10,1,7,-,2,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
21,RS Bopara,FH Edwards,AD Hales,1,0,1,21,151,2,4,1,1,-,3,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
22,AD Hales,FH Edwards,RS Bopara,1,0,1,22,150,14,11,1,2,-,3,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
23,RS Bopara,FH Edwards,AD Hales,1,0,1,23,149,3,5,1,3,-,3,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
24,AD Hales,FH Edwards,RS Bopara,0,0,0,23,149,14,12,1,4,-,3,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
25,AD Hales,FH Edwards,RS Bopara,2,0,2,25,147,16,13,1,5,-,3,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
26,AD Hales,FH Edwards,RS Bopara,1,0,1,26,146,17,14,1,6,-,3,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
27,AD Hales,R Rampaul,RS Bopara,1,0,1,27,145,18,15,1,1,-,4,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
28,RS Bopara,R Rampaul,AD Hales,1,0,1,28,144,4,6,1,2,-,4,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
29,AD Hales,R Rampaul,RS Bopara,0,0,0,28,144,18,16,1,3,-,4,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
30,AD Hales,R Rampaul,RS Bopara,6,0,6,34,138,24,17,1,4,-,4,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
31,AD Hales,R Rampaul,RS Bopara,0,0,0,34,138,24,18,1,5,-,4,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
32,AD Hales,R Rampaul,RS Bopara,1,0,1,35,137,25,19,1,6,-,4,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
33,AD Hales,SP Narine,RS Bopara,4,0,4,39,133,29,20,1,1,-,5,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
34,AD Hales,SP Narine,RS Bopara,1,0,1,40,132,30,21,1,2,-,5,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
35,RS Bopara,SP Narine,AD Hales,0,0,0,40,132,4,7,1,3,-,5,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
36,RS Bopara,SP Narine,AD Hales,0,0,0,40,132,4,8,1,4,-,5,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
37,RS Bopara,SP Narine,AD Hales,1,0,1,41,131,5,9,1,5,-,5,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
38,AD Hales,SP Narine,RS Bopara,1,0,1,42,130,31,22,1,6,-,5,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
39,AD Hales,DJ Bravo,RS Bopara,4,0,4,46,126,35,23,1,1,-,6,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
40,AD Hales,DJ Bravo,RS Bopara,0,0,0,46,126,35,24,1,2,-,6,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
41,AD Hales,DJ Bravo,RS Bopara,1,0,1,47,125,36,25,1,3,-,6,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
42,RS Bopara,DJ Bravo,AD Hales,2,0,2,49,123,7,10,1,4,-,6,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
43,RS Bopara,DJ Bravo,AD Hales,1,0,1,50,122,8,11,1,5,-,6,0,,,bat,West Indies,2,Trent Bridge,2012,06,England_West Indies_2012-06-24,England,England,West Indies,True,173
