,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,G Gambhir,AD Mathews,AM Rahane,0,0,0,0,0,1,1,1,-,0,,,field,Sri Lanka,1,Pallekele International Cricket Stadium,2012-08-07,India,India,Sri Lanka
1,G Gambhir,AD Mathews,AM Rahane,1,0,1,1,1,2,2,1,-,0,,,field,Sri Lanka,1,Pallekele International Cricket Stadium,2012-08-07,India,India,Sri Lanka
2,AM Rahane,AD Mathews,G Gambhir,0,0,0,1,0,1,3,1,-,0,,,field,Sri Lanka,1,Pallekele International Cricket Stadium,2012-08-07,India,India,Sri Lanka
3,AM Rahane,AD Mathews,G Gambhir,1,0,1,2,1,2,4,1,-,0,,,field,Sri Lanka,1,Pallekele International Cricket Stadium,2012-08-07,India,India,Sri Lanka
4,G Gambhir,AD Mathews,AM Rahane,4,0,4,6,5,3,5,1,-,0,,,field,Sri Lanka,1,Pallekele International Cricket Stadium,2012-08-07,India,India,Sri Lanka
5,G Gambhir,AD Mathews,AM Rahane,1,0,1,7,6,4,6,1,-,0,,,field,Sri Lanka,1,Pallekele International Cricket Stadium,2012-08-07,India,India,Sri Lanka
6,G Gambhir,RMS Eranga,AM Rahane,0,0,0,7,6,5,1,2,-,0,,,field,Sri Lanka,1,Pallekele International Cricket Stadium,2012-08-07,India,India,Sri Lanka
7,G Gambhir,RMS Eranga,AM Rahane,0,0,0,7,6,6,2,2,-,0,,,field,Sri Lanka,1,Pallekele International Cricket Stadium,2012-08-07,India,India,Sri Lanka
8,G Gambhir,RMS Eranga,AM Rahane,0,0,0,7,6,7,3,2,-,0,,,field,Sri Lanka,1,Pallekele International Cricket Stadium,2012-08-07,India,India,Sri Lanka
9,G Gambhir,RMS Eranga,AM Rahane,0,0,0,7,6,8,4,2,-,bowled,G Gambhir,,field,Sri Lanka,1,Pallekele International Cricket Stadium,2012-08-07,India,India,Sri Lanka
10,V Kohli,RMS Eranga,AM Rahane,0,1,1,8,0,1,5,2,wides,0,,,field,Sri Lanka,1,Pallekele International Cricket Stadium,2012-08-07,India,India,Sri Lanka
11,V Kohli,RMS Eranga,AM Rahane,0,0,0,8,0,2,6,2,-,0,,,field,Sri Lanka,1,Pallekele International Cricket Stadium,2012-08-07,India,India,Sri Lanka
12,V Kohli,RMS Eranga,AM Rahane,0,0,0,8,0,3,7,2,-,0,,,field,Sri Lanka,1,Pallekele International Cricket Stadium,2012-08-07,India,India,Sri Lanka
13,AM Rahane,AD Mathews,V Kohli,3,0,3,11,4,3,1,3,-,0,,,field,Sri Lanka,1,Pallekele International Cricket Stadium,2012-08-07,India,India,Sri Lanka
14,V Kohli,AD Mathews,AM Rahane,0,0,0,11,0,4,2,3,-,0,,,field,Sri Lanka,1,Pallekele International Cricket Stadium,2012-08-07,India,India,Sri Lanka
15,V Kohli,AD Mathews,AM Rahane,4,0,4,15,4,5,3,3,-,0,,,field,Sri Lanka,1,Pallekele International Cricket Stadium,2012-08-07,India,India,Sri Lanka
16,V Kohli,AD Mathews,AM Rahane,4,0,4,19,8,6,4,3,-,0,,,field,Sri Lanka,1,Pallekele International Cricket Stadium,2012-08-07,India,India,Sri Lanka
17,V Kohli,AD Mathews,AM Rahane,0,0,0,19,8,7,5,3,-,0,,,field,Sri Lanka,1,Pallekele International Cricket Stadium,2012-08-07,India,India,Sri Lanka
18,V Kohli,AD Mathews,AM Rahane,1,0,1,20,9,8,6,3,-,0,,,field,Sri Lanka,1,Pallekele International Cricket Stadium,2012-08-07,India,India,Sri Lanka
19,V Kohli,RMS Eranga,AM Rahane,4,0,4,24,13,9,1,4,-,0,,,field,Sri Lanka,1,Pallekele International Cricket Stadium,2012-08-07,India,India,Sri Lanka
20,V Kohli,RMS Eranga,AM Rahane,0,0,0,24,13,10,2,4,-,0,,,field,Sri Lanka,1,Pallekele International Cricket Stadium,2012-08-07,India,India,Sri Lanka
21,V Kohli,RMS Eranga,AM Rahane,4,0,4,28,17,11,3,4,-,0,,,field,Sri Lanka,1,Pallekele International Cricket Stadium,2012-08-07,India,India,Sri Lanka
22,V Kohli,RMS Eranga,AM Rahane,4,0,4,32,21,12,4,4,-,0,,,field,Sri Lanka,1,Pallekele International Cricket Stadium,2012-08-07,India,India,Sri Lanka
23,V Kohli,RMS Eranga,AM Rahane,0,0,0,32,21,13,5,4,-,0,,,field,Sri Lanka,1,Pallekele International Cricket Stadium,2012-08-07,India,India,Sri Lanka
24,V Kohli,RMS Eranga,AM Rahane,0,0,0,32,21,14,6,4,-,0,,,field,Sri Lanka,1,Pallekele International Cricket Stadium,2012-08-07,India,India,Sri Lanka
25,AM Rahane,SL Malinga,V Kohli,0,0,0,32,4,4,1,5,-,0,,,field,Sri Lanka,1,Pallekele International Cricket Stadium,2012-08-07,India,India,Sri Lanka
26,AM Rahane,SL Malinga,V Kohli,1,0,1,33,5,5,2,5,-,0,,,field,Sri Lanka,1,Pallekele International Cricket Stadium,2012-08-07,India,India,Sri Lanka
27,V Kohli,SL Malinga,AM Rahane,4,0,4,37,25,15,3,5,-,0,,,field,Sri Lanka,1,Pallekele International Cricket Stadium,2012-08-07,India,India,Sri Lanka
28,V Kohli,SL Malinga,AM Rahane,1,0,1,38,26,16,4,5,-,0,,,field,Sri Lanka,1,Pallekele International Cricket Stadium,2012-08-07,India,India,Sri Lanka
29,AM Rahane,SL Malinga,V Kohli,0,0,0,38,5,6,5,5,-,0,,,field,Sri Lanka,1,Pallekele International Cricket Stadium,2012-08-07,India,India,Sri Lanka
30,AM Rahane,SL Malinga,V Kohli,0,0,0,38,5,7,6,5,-,0,,,field,Sri Lanka,1,Pallekele International Cricket Stadium,2012-08-07,India,India,Sri Lanka
31,V Kohli,NLTC Perera,AM Rahane,0,0,0,38,26,17,1,6,-,0,,,field,Sri Lanka,1,Pallekele International Cricket Stadium,2012-08-07,India,India,Sri Lanka
32,V Kohli,NLTC Perera,AM Rahane,4,0,4,42,30,18,2,6,-,0,,,field,Sri Lanka,1,Pallekele International Cricket Stadium,2012-08-07,India,India,Sri Lanka
33,V Kohli,NLTC Perera,AM Rahane,4,0,4,46,34,19,3,6,-,0,,,field,Sri Lanka,1,Pallekele International Cricket Stadium,2012-08-07,India,India,Sri Lanka
34,V Kohli,NLTC Perera,AM Rahane,4,0,4,50,38,20,4,6,-,0,,,field,Sri Lanka,1,Pallekele International Cricket Stadium,2012-08-07,India,India,Sri Lanka
35,V Kohli,NLTC Perera,AM Rahane,0,0,0,50,38,21,5,6,-,0,,,field,Sri Lanka,1,Pallekele International Cricket Stadium,2012-08-07,India,India,Sri Lanka
36,V Kohli,NLTC Perera,AM Rahane,0,0,0,50,38,22,6,6,-,0,,,field,Sri Lanka,1,Pallekele International Cricket Stadium,2012-08-07,India,India,Sri Lanka
37,AM Rahane,HMRKB Herath,V Kohli,0,0,0,50,5,8,1,7,-,0,,,field,Sri Lanka,1,Pallekele International Cricket Stadium,2012-08-07,India,India,Sri Lanka
