,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,G Gambhir,JW Dernbach,AM Rahane,0,1,1,1,0,1,1,wides,1,0,,,field,India,2,Subrata Roy Sahara Stadium,2012-12-20,India,England
1,G Gambhir,JW Dernbach,AM Rahane,0,1,1,2,0,2,2,wides,1,0,,,field,India,2,Subrata Roy Sahara Stadium,2012-12-20,India,England
2,G Gambhir,JW Dernbach,AM Rahane,1,0,1,3,1,3,3,-,1,0,,,field,India,2,Subrata Roy Sahara Stadium,2012-12-20,India,England
3,AM Rahane,JW Dernbach,G Gambhir,0,0,0,3,0,1,4,-,1,0,,,field,India,2,Subrata Roy Sahara Stadium,2012-12-20,India,England
4,AM Rahane,JW Dernbach,G Gambhir,1,0,1,4,1,2,5,-,1,0,,,field,India,2,Subrata Roy Sahara Stadium,2012-12-20,India,England
5,G Gambhir,JW Dernbach,AM Rahane,0,1,1,5,1,4,6,wides,1,0,,,field,India,2,Subrata Roy Sahara Stadium,2012-12-20,India,England
6,G Gambhir,JW Dernbach,AM Rahane,4,0,4,9,5,5,7,-,1,0,,,field,India,2,Subrata Roy Sahara Stadium,2012-12-20,India,England
7,G Gambhir,JW Dernbach,AM Rahane,0,0,0,9,5,6,8,-,1,0,,,field,India,2,Subrata Roy Sahara Stadium,2012-12-20,India,England
8,G Gambhir,JW Dernbach,AM Rahane,0,0,0,9,5,7,9,-,1,0,,,field,India,2,Subrata Roy Sahara Stadium,2012-12-20,India,England
9,AM Rahane,TT Bresnan,G Gambhir,0,1,1,10,1,3,1,wides,2,0,,,field,India,2,Subrata Roy Sahara Stadium,2012-12-20,India,England
10,AM Rahane,TT Bresnan,G Gambhir,0,0,0,10,1,4,2,-,2,0,,,field,India,2,Subrata Roy Sahara Stadium,2012-12-20,India,England
11,AM Rahane,TT Bresnan,G Gambhir,6,0,6,16,7,5,3,-,2,0,,,field,India,2,Subrata Roy Sahara Stadium,2012-12-20,India,England
12,AM Rahane,TT Bresnan,G Gambhir,1,0,1,17,8,6,4,-,2,0,,,field,India,2,Subrata Roy Sahara Stadium,2012-12-20,India,England
13,G Gambhir,TT Bresnan,AM Rahane,4,0,4,21,9,8,5,-,2,0,,,field,India,2,Subrata Roy Sahara Stadium,2012-12-20,India,England
14,G Gambhir,TT Bresnan,AM Rahane,0,0,0,21,9,9,6,-,2,0,,,field,India,2,Subrata Roy Sahara Stadium,2012-12-20,India,England
15,G Gambhir,TT Bresnan,AM Rahane,0,0,0,21,9,10,7,-,2,0,,,field,India,2,Subrata Roy Sahara Stadium,2012-12-20,India,England
16,AM Rahane,JW Dernbach,G Gambhir,0,4,4,25,8,7,1,legbyes,3,0,,,field,India,2,Subrata Roy Sahara Stadium,2012-12-20,India,England
17,AM Rahane,JW Dernbach,G Gambhir,6,0,6,31,14,8,2,-,3,0,,,field,India,2,Subrata Roy Sahara Stadium,2012-12-20,India,England
18,AM Rahane,JW Dernbach,G Gambhir,1,0,1,32,15,9,3,-,3,0,,,field,India,2,Subrata Roy Sahara Stadium,2012-12-20,India,England
19,G Gambhir,JW Dernbach,AM Rahane,0,0,0,32,9,11,4,-,3,0,,,field,India,2,Subrata Roy Sahara Stadium,2012-12-20,India,England
20,G Gambhir,JW Dernbach,AM Rahane,4,0,4,36,13,12,5,-,3,0,,,field,India,2,Subrata Roy Sahara Stadium,2012-12-20,India,England
21,G Gambhir,JW Dernbach,AM Rahane,1,0,1,37,14,13,6,-,3,0,,,field,India,2,Subrata Roy Sahara Stadium,2012-12-20,India,England
22,G Gambhir,SC Meaker,AM Rahane,0,0,0,37,14,14,1,-,4,0,,,field,India,2,Subrata Roy Sahara Stadium,2012-12-20,India,England
23,G Gambhir,SC Meaker,AM Rahane,1,0,1,38,15,15,2,-,4,0,,,field,India,2,Subrata Roy Sahara Stadium,2012-12-20,India,England
24,AM Rahane,SC Meaker,G Gambhir,1,0,1,39,16,10,3,-,4,0,,,field,India,2,Subrata Roy Sahara Stadium,2012-12-20,India,England
25,G Gambhir,SC Meaker,AM Rahane,0,0,0,39,15,16,4,-,4,0,,,field,India,2,Subrata Roy Sahara Stadium,2012-12-20,India,England
26,G Gambhir,SC Meaker,AM Rahane,1,0,1,40,16,17,5,-,4,0,,,field,India,2,Subrata Roy Sahara Stadium,2012-12-20,India,England
27,AM Rahane,SC Meaker,G Gambhir,1,0,1,41,17,11,6,-,4,0,,,field,India,2,Subrata Roy Sahara Stadium,2012-12-20,India,England
28,AM Rahane,TT Bresnan,G Gambhir,1,0,1,42,18,12,1,-,5,0,,,field,India,2,Subrata Roy Sahara Stadium,2012-12-20,India,England
29,G Gambhir,TT Bresnan,AM Rahane,0,0,0,42,16,18,2,-,5,0,,,field,India,2,Subrata Roy Sahara Stadium,2012-12-20,India,England
30,G Gambhir,TT Bresnan,AM Rahane,0,0,0,42,16,19,3,-,5,caught,G Gambhir,AD Hales,field,India,2,Subrata Roy Sahara Stadium,2012-12-20,India,England
31,AM Rahane,TT Bresnan,V Kohli,1,0,1,43,19,13,4,-,5,0,,,field,India,2,Subrata Roy Sahara Stadium,2012-12-20,India,England
32,V Kohli,TT Bresnan,AM Rahane,1,0,1,44,1,1,5,-,5,0,,,field,India,2,Subrata Roy Sahara Stadium,2012-12-20,India,England
33,AM Rahane,TT Bresnan,V Kohli,0,0,0,44,19,14,6,-,5,caught,AM Rahane,SR Patel,field,India,2,Subrata Roy Sahara Stadium,2012-12-20,India,England
34,Yuvraj Singh,SC Meaker,V Kohli,4,0,4,48,4,1,1,-,6,0,,,field,India,2,Subrata Roy Sahara Stadium,2012-12-20,India,England
35,Yuvraj Singh,SC Meaker,V Kohli,1,0,1,49,5,2,2,-,6,0,,,field,India,2,Subrata Roy Sahara Stadium,2012-12-20,India,England
36,V Kohli,SC Meaker,Yuvraj Singh,1,0,1,50,2,2,3,-,6,0,,,field,India,2,Subrata Roy Sahara Stadium,2012-12-20,India,England
37,Yuvraj Singh,SC Meaker,V Kohli,0,1,1,51,5,3,4,wides,6,0,,,field,India,2,Subrata Roy Sahara Stadium,2012-12-20,India,England
38,Yuvraj Singh,SC Meaker,V Kohli,0,0,0,51,5,4,5,-,6,0,,,field,India,2,Subrata Roy Sahara Stadium,2012-12-20,India,England
39,Yuvraj Singh,SC Meaker,V Kohli,0,0,0,51,5,5,6,-,6,0,,,field,India,2,Subrata Roy Sahara Stadium,2012-12-20,India,England
40,Yuvraj Singh,SC Meaker,V Kohli,1,0,1,52,6,6,7,-,6,0,,,field,India,2,Subrata Roy Sahara Stadium,2012-12-20,India,England
