,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,MJ Lumb,AB Dinda,AD Hales,4,0,4,4,4,1,1,-,1,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
1,MJ Lumb,AB Dinda,AD Hales,0,0,0,4,4,2,2,-,1,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
2,MJ Lumb,AB Dinda,AD Hales,1,0,1,5,5,3,3,-,1,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
3,AD Hales,AB Dinda,MJ Lumb,4,0,4,9,4,1,4,-,1,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
4,AD Hales,AB Dinda,MJ Lumb,2,0,2,11,6,2,5,-,1,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
5,AD Hales,AB Dinda,MJ Lumb,0,1,1,12,6,3,6,wides,1,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
6,AD Hales,AB Dinda,MJ Lumb,0,0,0,12,6,4,7,-,1,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
7,MJ Lumb,P Awana,AD Hales,0,0,0,12,5,4,1,-,2,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
8,MJ Lumb,P Awana,AD Hales,4,0,4,16,9,5,2,-,2,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
9,MJ Lumb,P Awana,AD Hales,6,0,6,22,15,6,3,-,2,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
10,MJ Lumb,P Awana,AD Hales,0,0,0,22,15,7,4,-,2,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
11,MJ Lumb,P Awana,AD Hales,2,0,2,24,17,8,5,-,2,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
12,MJ Lumb,P Awana,AD Hales,1,0,1,25,18,9,6,-,2,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
13,MJ Lumb,AB Dinda,AD Hales,0,1,1,26,18,10,1,legbyes,3,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
14,AD Hales,AB Dinda,MJ Lumb,1,0,1,27,7,5,2,-,3,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
15,MJ Lumb,AB Dinda,AD Hales,0,1,1,28,18,11,3,legbyes,3,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
16,AD Hales,AB Dinda,MJ Lumb,1,0,1,29,8,6,4,-,3,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
17,MJ Lumb,AB Dinda,AD Hales,4,0,4,33,22,12,5,-,3,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
18,MJ Lumb,AB Dinda,AD Hales,0,1,1,34,22,13,6,wides,3,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
19,MJ Lumb,AB Dinda,AD Hales,0,0,0,34,22,14,7,-,3,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
20,AD Hales,R Ashwin,MJ Lumb,1,0,1,35,9,7,1,-,4,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
21,MJ Lumb,R Ashwin,AD Hales,2,0,2,37,24,15,2,-,4,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
22,MJ Lumb,R Ashwin,AD Hales,0,0,0,37,24,16,3,-,4,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
23,MJ Lumb,R Ashwin,AD Hales,2,0,2,39,26,17,4,-,4,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
24,MJ Lumb,R Ashwin,AD Hales,1,0,1,40,27,18,5,-,4,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
25,AD Hales,R Ashwin,MJ Lumb,0,0,0,40,9,8,6,-,4,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
26,MJ Lumb,P Awana,AD Hales,4,0,4,44,31,19,1,-,5,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
27,MJ Lumb,P Awana,AD Hales,0,0,0,44,31,20,2,-,5,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
28,MJ Lumb,P Awana,AD Hales,4,0,4,48,35,21,3,-,5,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
29,MJ Lumb,P Awana,AD Hales,0,0,0,48,35,22,4,-,5,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
30,MJ Lumb,P Awana,AD Hales,0,1,1,49,35,23,5,legbyes,5,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
31,AD Hales,P Awana,MJ Lumb,0,0,0,49,9,9,6,-,5,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
32,MJ Lumb,R Ashwin,AD Hales,6,0,6,55,41,24,1,-,6,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
33,MJ Lumb,R Ashwin,AD Hales,1,0,1,56,42,25,2,-,6,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
34,AD Hales,R Ashwin,MJ Lumb,4,0,4,60,13,10,3,-,6,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
35,AD Hales,R Ashwin,MJ Lumb,1,0,1,61,14,11,4,-,6,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
36,MJ Lumb,R Ashwin,AD Hales,0,0,0,61,42,26,5,-,6,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
37,MJ Lumb,R Ashwin,AD Hales,1,0,1,62,43,27,6,-,6,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
38,MJ Lumb,PP Chawla,AD Hales,0,1,1,63,43,28,1,legbyes,7,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
39,AD Hales,PP Chawla,MJ Lumb,1,0,1,64,15,12,2,-,7,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
40,MJ Lumb,PP Chawla,AD Hales,1,0,1,65,44,29,3,-,7,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
41,AD Hales,PP Chawla,MJ Lumb,0,0,0,65,15,13,4,-,7,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
42,AD Hales,PP Chawla,MJ Lumb,0,1,1,66,15,14,5,legbyes,7,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
43,MJ Lumb,PP Chawla,AD Hales,2,0,2,68,46,30,6,-,7,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
44,AD Hales,R Ashwin,MJ Lumb,6,0,6,74,21,15,1,-,8,0,,,field,England,2,Wankhede Stadium,2012-12-22,England,India
