,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,RJ Nicol,Z Khan,MJ Guptill,0,0,0,0,177,0,1,0,1,-,0,,,1,field,India,1,"MA Chidambaram Stadium, Chepauk",2012,09,India_New Zealand_2012-09-11,New Zealand,New Zealand,India
1,RJ Nicol,Z Khan,MJ Guptill,0,0,0,0,177,0,2,0,2,-,0,,,1,field,India,1,"MA Chidambaram Stadium, Chepauk",2012,09,India_New Zealand_2012-09-11,New Zealand,New Zealand,India
2,RJ Nicol,Z Khan,MJ Guptill,0,1,1,1,176,0,3,0,3,legbyes,0,,,1,field,India,1,"MA Chidambaram Stadium, Chepauk",2012,09,India_New Zealand_2012-09-11,New Zealand,New Zealand,India
3,MJ Guptill,Z Khan,RJ Nicol,0,0,0,1,176,0,1,0,4,-,0,,,1,field,India,1,"MA Chidambaram Stadium, Chepauk",2012,09,India_New Zealand_2012-09-11,New Zealand,New Zealand,India
4,MJ Guptill,Z Khan,RJ Nicol,1,0,1,2,175,1,2,0,5,-,0,,,1,field,India,1,"MA Chidambaram Stadium, Chepauk",2012,09,India_New Zealand_2012-09-11,New Zealand,New Zealand,India
5,RJ Nicol,Z Khan,MJ Guptill,0,0,0,2,175,0,4,1,6,-,bowled,RJ Nicol,,1,field,India,1,"MA Chidambaram Stadium, Chepauk",2012,09,India_New Zealand_2012-09-11,New Zealand,New Zealand,India
6,MJ Guptill,IK Pathan,BB McCullum,0,0,0,2,175,1,3,1,1,-,0,,,2,field,India,1,"MA Chidambaram Stadium, Chepauk",2012,09,India_New Zealand_2012-09-11,New Zealand,New Zealand,India
7,MJ Guptill,IK Pathan,BB McCullum,0,0,0,2,175,1,4,1,2,-,0,,,2,field,India,1,"MA Chidambaram Stadium, Chepauk",2012,09,India_New Zealand_2012-09-11,New Zealand,New Zealand,India
8,MJ Guptill,IK Pathan,BB McCullum,0,0,0,2,175,1,5,2,3,-,bowled,MJ Guptill,,2,field,India,1,"MA Chidambaram Stadium, Chepauk",2012,09,India_New Zealand_2012-09-11,New Zealand,New Zealand,India
9,KS Williamson,IK Pathan,BB McCullum,4,0,4,6,171,4,1,2,4,-,0,,,2,field,India,1,"MA Chidambaram Stadium, Chepauk",2012,09,India_New Zealand_2012-09-11,New Zealand,New Zealand,India
