,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,WTS Porterfield,Mashrafe Mortaza,PR Stirling,0,0,0,0,0,1,1,-,1,0,,,field,Ireland,2,"Civil Service Cricket Club, Stormont",2012-07-18,Ireland,Bangladesh
1,WTS Porterfield,Mashrafe Mortaza,PR Stirling,1,0,1,1,1,2,2,-,1,0,,,field,Ireland,2,"Civil Service Cricket Club, Stormont",2012-07-18,Ireland,Bangladesh
2,PR Stirling,Mashrafe Mortaza,WTS Porterfield,0,1,1,2,0,1,3,legbyes,1,0,,,field,Ireland,2,"Civil Service Cricket Club, Stormont",2012-07-18,Ireland,Bangladesh
3,WTS Porterfield,Mashrafe Mortaza,PR Stirling,6,0,6,8,7,3,4,-,1,0,,,field,Ireland,2,"Civil Service Cricket Club, Stormont",2012-07-18,Ireland,Bangladesh
4,WTS Porterfield,Mashrafe Mortaza,PR Stirling,0,0,0,8,7,4,5,-,1,0,,,field,Ireland,2,"Civil Service Cricket Club, Stormont",2012-07-18,Ireland,Bangladesh
5,WTS Porterfield,Mashrafe Mortaza,PR Stirling,0,1,1,9,7,5,6,wides,1,0,,,field,Ireland,2,"Civil Service Cricket Club, Stormont",2012-07-18,Ireland,Bangladesh
6,WTS Porterfield,Mashrafe Mortaza,PR Stirling,1,0,1,10,8,6,7,-,1,0,,,field,Ireland,2,"Civil Service Cricket Club, Stormont",2012-07-18,Ireland,Bangladesh
7,WTS Porterfield,Abul Hasan,PR Stirling,4,0,4,14,12,7,1,-,2,0,,,field,Ireland,2,"Civil Service Cricket Club, Stormont",2012-07-18,Ireland,Bangladesh
8,WTS Porterfield,Abul Hasan,PR Stirling,6,0,6,20,18,8,2,-,2,0,,,field,Ireland,2,"Civil Service Cricket Club, Stormont",2012-07-18,Ireland,Bangladesh
9,WTS Porterfield,Abul Hasan,PR Stirling,4,0,4,24,22,9,3,-,2,0,,,field,Ireland,2,"Civil Service Cricket Club, Stormont",2012-07-18,Ireland,Bangladesh
