,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,RJ Nicol,R McLaren,PG Fulton,0,0,0,0,190,0,1,0,1,1,-,0,,,,bat,New Zealand,1,Kingsmead,2012,12,South Africa_New Zealand_2012-12-21,South Africa,New Zealand,South Africa,86
1,RJ Nicol,R McLaren,PG Fulton,1,0,1,1,189,1,2,0,2,1,-,0,,,,bat,New Zealand,1,Kingsmead,2012,12,South Africa_New Zealand_2012-12-21,South Africa,New Zealand,South Africa,86
2,PG Fulton,R McLaren,RJ Nicol,0,0,0,1,189,0,1,0,3,1,-,0,,,,bat,New Zealand,1,Kingsmead,2012,12,South Africa_New Zealand_2012-12-21,South Africa,New Zealand,South Africa,86
3,PG Fulton,R McLaren,RJ Nicol,0,0,0,1,189,0,2,0,4,1,-,0,,,,bat,New Zealand,1,Kingsmead,2012,12,South Africa_New Zealand_2012-12-21,South Africa,New Zealand,South Africa,86
4,PG Fulton,R McLaren,RJ Nicol,4,0,4,5,185,4,3,0,5,1,-,0,,,,bat,New Zealand,1,Kingsmead,2012,12,South Africa_New Zealand_2012-12-21,South Africa,New Zealand,South Africa,86
5,PG Fulton,R McLaren,RJ Nicol,0,0,0,5,185,4,4,0,6,1,-,0,,,,bat,New Zealand,1,Kingsmead,2012,12,South Africa_New Zealand_2012-12-21,South Africa,New Zealand,South Africa,86
6,RJ Nicol,DW Steyn,PG Fulton,0,1,1,6,184,1,3,0,1,2,wides,0,,,,bat,New Zealand,1,Kingsmead,2012,12,South Africa_New Zealand_2012-12-21,South Africa,New Zealand,South Africa,86
7,RJ Nicol,DW Steyn,PG Fulton,1,0,1,7,183,2,4,0,2,2,-,0,,,,bat,New Zealand,1,Kingsmead,2012,12,South Africa_New Zealand_2012-12-21,South Africa,New Zealand,South Africa,86
8,PG Fulton,DW Steyn,RJ Nicol,1,0,1,8,182,5,5,0,3,2,-,0,,,,bat,New Zealand,1,Kingsmead,2012,12,South Africa_New Zealand_2012-12-21,South Africa,New Zealand,South Africa,86
9,RJ Nicol,DW Steyn,PG Fulton,1,0,1,9,181,3,5,0,4,2,-,0,,,,bat,New Zealand,1,Kingsmead,2012,12,South Africa_New Zealand_2012-12-21,South Africa,New Zealand,South Africa,86
10,PG Fulton,DW Steyn,RJ Nicol,0,0,0,9,181,5,6,0,5,2,-,0,,,,bat,New Zealand,1,Kingsmead,2012,12,South Africa_New Zealand_2012-12-21,South Africa,New Zealand,South Africa,86
11,PG Fulton,DW Steyn,RJ Nicol,0,0,0,9,181,5,7,0,6,2,-,0,,,,bat,New Zealand,1,Kingsmead,2012,12,South Africa_New Zealand_2012-12-21,South Africa,New Zealand,South Africa,86
12,PG Fulton,DW Steyn,RJ Nicol,0,0,0,9,181,5,8,0,7,2,-,0,,,,bat,New Zealand,1,Kingsmead,2012,12,South Africa_New Zealand_2012-12-21,South Africa,New Zealand,South Africa,86
