,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,TM Dilshan,GJ Maxwell,MDKJ Perera,0,0,0,0,137,0,1,0,1,1,-,0,,,field,Australia,1,Melbourne Cricket Ground,2013,01,Australia_Sri Lanka_2013-01-28,Sri Lanka,Sri Lanka,Australia,161
1,TM Dilshan,GJ Maxwell,MDKJ Perera,3,0,3,3,134,3,2,0,2,1,-,0,,,field,Australia,1,Melbourne Cricket Ground,2013,01,Australia_Sri Lanka_2013-01-28,Sri Lanka,Sri Lanka,Australia,161
2,MDKJ Perera,GJ Maxwell,TM Dilshan,0,0,0,3,134,0,1,0,3,1,-,0,,,field,Australia,1,Melbourne Cricket Ground,2013,01,Australia_Sri Lanka_2013-01-28,Sri Lanka,Sri Lanka,Australia,161
3,MDKJ Perera,GJ Maxwell,TM Dilshan,1,0,1,4,133,1,2,0,4,1,-,0,,,field,Australia,1,Melbourne Cricket Ground,2013,01,Australia_Sri Lanka_2013-01-28,Sri Lanka,Sri Lanka,Australia,161
4,TM Dilshan,GJ Maxwell,MDKJ Perera,1,0,1,5,132,4,3,0,5,1,-,0,,,field,Australia,1,Melbourne Cricket Ground,2013,01,Australia_Sri Lanka_2013-01-28,Sri Lanka,Sri Lanka,Australia,161
5,MDKJ Perera,GJ Maxwell,TM Dilshan,0,0,0,5,132,1,3,0,6,1,-,0,,,field,Australia,1,Melbourne Cricket Ground,2013,01,Australia_Sri Lanka_2013-01-28,Sri Lanka,Sri Lanka,Australia,161
6,TM Dilshan,MA Starc,MDKJ Perera,0,1,1,6,131,4,4,0,1,2,wides,0,,,field,Australia,1,Melbourne Cricket Ground,2013,01,Australia_Sri Lanka_2013-01-28,Sri Lanka,Sri Lanka,Australia,161
7,TM Dilshan,MA Starc,MDKJ Perera,0,0,0,6,131,4,5,0,2,2,-,0,,,field,Australia,1,Melbourne Cricket Ground,2013,01,Australia_Sri Lanka_2013-01-28,Sri Lanka,Sri Lanka,Australia,161
8,TM Dilshan,MA Starc,MDKJ Perera,0,0,0,6,131,4,6,0,3,2,-,0,,,field,Australia,1,Melbourne Cricket Ground,2013,01,Australia_Sri Lanka_2013-01-28,Sri Lanka,Sri Lanka,Australia,161
9,TM Dilshan,MA Starc,MDKJ Perera,1,0,1,7,130,5,7,0,4,2,-,0,,,field,Australia,1,Melbourne Cricket Ground,2013,01,Australia_Sri Lanka_2013-01-28,Sri Lanka,Sri Lanka,Australia,161
10,MDKJ Perera,MA Starc,TM Dilshan,0,0,0,7,130,1,4,0,5,2,-,0,,,field,Australia,1,Melbourne Cricket Ground,2013,01,Australia_Sri Lanka_2013-01-28,Sri Lanka,Sri Lanka,Australia,161
11,MDKJ Perera,MA Starc,TM Dilshan,0,1,1,8,129,1,5,0,6,2,wides,0,,,field,Australia,1,Melbourne Cricket Ground,2013,01,Australia_Sri Lanka_2013-01-28,Sri Lanka,Sri Lanka,Australia,161
12,MDKJ Perera,MA Starc,TM Dilshan,0,1,1,9,128,1,6,0,7,2,wides,0,,,field,Australia,1,Melbourne Cricket Ground,2013,01,Australia_Sri Lanka_2013-01-28,Sri Lanka,Sri Lanka,Australia,161
13,MDKJ Perera,MA Starc,TM Dilshan,0,0,0,9,128,1,7,0,8,2,-,0,,,field,Australia,1,Melbourne Cricket Ground,2013,01,Australia_Sri Lanka_2013-01-28,Sri Lanka,Sri Lanka,Australia,161
14,MDKJ Perera,MA Starc,TM Dilshan,0,0,0,9,128,1,8,0,9,2,-,0,,,field,Australia,1,Melbourne Cricket Ground,2013,01,Australia_Sri Lanka_2013-01-28,Sri Lanka,Sri Lanka,Australia,161
15,TM Dilshan,JP Faulkner,MDKJ Perera,1,0,1,10,127,6,8,0,1,3,-,0,,,field,Australia,1,Melbourne Cricket Ground,2013,01,Australia_Sri Lanka_2013-01-28,Sri Lanka,Sri Lanka,Australia,161
16,MDKJ Perera,JP Faulkner,TM Dilshan,1,0,1,11,126,2,9,0,2,3,-,0,,,field,Australia,1,Melbourne Cricket Ground,2013,01,Australia_Sri Lanka_2013-01-28,Sri Lanka,Sri Lanka,Australia,161
17,TM Dilshan,JP Faulkner,MDKJ Perera,0,0,0,11,126,6,9,0,3,3,-,0,,,field,Australia,1,Melbourne Cricket Ground,2013,01,Australia_Sri Lanka_2013-01-28,Sri Lanka,Sri Lanka,Australia,161
