,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,DR Smith,Sohag Gazi,CH Gayle,1,0,1,1,1,1,1,1,0,,,-,bat,West Indies,1,Shere Bangla National Stadium,2012-12-10,West Indies,Bangladesh
1,CH Gayle,Sohag Gazi,DR Smith,1,0,1,2,1,1,2,1,0,,,-,bat,West Indies,1,Shere Bangla National Stadium,2012-12-10,West Indies,Bangladesh
2,DR Smith,Sohag Gazi,CH Gayle,0,0,0,2,1,2,3,1,0,,,-,bat,West Indies,1,Shere Bangla National Stadium,2012-12-10,West Indies,Bangladesh
3,DR Smith,Sohag Gazi,CH Gayle,0,0,0,2,1,3,4,1,0,,,-,bat,West Indies,1,Shere Bangla National Stadium,2012-12-10,West Indies,Bangladesh
4,DR Smith,Sohag Gazi,CH Gayle,6,0,6,8,7,4,5,1,0,,,-,bat,West Indies,1,Shere Bangla National Stadium,2012-12-10,West Indies,Bangladesh
5,DR Smith,Sohag Gazi,CH Gayle,2,0,2,10,9,5,6,1,0,,,-,bat,West Indies,1,Shere Bangla National Stadium,2012-12-10,West Indies,Bangladesh
6,CH Gayle,Shafiul Islam,DR Smith,1,0,1,11,2,2,1,2,0,,,-,bat,West Indies,1,Shere Bangla National Stadium,2012-12-10,West Indies,Bangladesh
7,DR Smith,Shafiul Islam,CH Gayle,4,0,4,15,13,6,2,2,0,,,-,bat,West Indies,1,Shere Bangla National Stadium,2012-12-10,West Indies,Bangladesh
8,DR Smith,Shafiul Islam,CH Gayle,1,0,1,16,14,7,3,2,0,,,-,bat,West Indies,1,Shere Bangla National Stadium,2012-12-10,West Indies,Bangladesh
9,CH Gayle,Shafiul Islam,DR Smith,0,0,0,16,2,3,4,2,0,,,-,bat,West Indies,1,Shere Bangla National Stadium,2012-12-10,West Indies,Bangladesh
10,CH Gayle,Shafiul Islam,DR Smith,0,0,0,16,2,4,5,2,0,,,-,bat,West Indies,1,Shere Bangla National Stadium,2012-12-10,West Indies,Bangladesh
11,CH Gayle,Shafiul Islam,DR Smith,0,0,0,16,2,5,6,2,0,,,-,bat,West Indies,1,Shere Bangla National Stadium,2012-12-10,West Indies,Bangladesh
12,DR Smith,Rubel Hossain,CH Gayle,0,0,0,16,14,8,1,3,0,,,-,bat,West Indies,1,Shere Bangla National Stadium,2012-12-10,West Indies,Bangladesh
13,DR Smith,Rubel Hossain,CH Gayle,4,0,4,20,18,9,2,3,0,,,-,bat,West Indies,1,Shere Bangla National Stadium,2012-12-10,West Indies,Bangladesh
14,DR Smith,Rubel Hossain,CH Gayle,0,0,0,20,18,10,3,3,0,,,-,bat,West Indies,1,Shere Bangla National Stadium,2012-12-10,West Indies,Bangladesh
15,DR Smith,Rubel Hossain,CH Gayle,1,0,1,21,19,11,4,3,0,,,-,bat,West Indies,1,Shere Bangla National Stadium,2012-12-10,West Indies,Bangladesh
16,CH Gayle,Rubel Hossain,DR Smith,4,0,4,25,6,6,5,3,0,,,-,bat,West Indies,1,Shere Bangla National Stadium,2012-12-10,West Indies,Bangladesh
17,CH Gayle,Rubel Hossain,DR Smith,0,0,0,25,6,7,6,3,bowled,CH Gayle,,-,bat,West Indies,1,Shere Bangla National Stadium,2012-12-10,West Indies,Bangladesh
18,DR Smith,Shafiul Islam,MN Samuels,0,0,0,25,19,12,1,4,0,,,-,bat,West Indies,1,Shere Bangla National Stadium,2012-12-10,West Indies,Bangladesh
19,DR Smith,Shafiul Islam,MN Samuels,0,0,0,25,19,13,2,4,0,,,-,bat,West Indies,1,Shere Bangla National Stadium,2012-12-10,West Indies,Bangladesh
20,DR Smith,Shafiul Islam,MN Samuels,0,0,0,25,19,14,3,4,0,,,-,bat,West Indies,1,Shere Bangla National Stadium,2012-12-10,West Indies,Bangladesh
21,DR Smith,Shafiul Islam,MN Samuels,0,0,0,25,19,15,4,4,0,,,-,bat,West Indies,1,Shere Bangla National Stadium,2012-12-10,West Indies,Bangladesh
22,DR Smith,Shafiul Islam,MN Samuels,1,0,1,26,20,16,5,4,0,,,-,bat,West Indies,1,Shere Bangla National Stadium,2012-12-10,West Indies,Bangladesh
23,MN Samuels,Shafiul Islam,DR Smith,0,0,0,26,0,1,6,4,0,,,-,bat,West Indies,1,Shere Bangla National Stadium,2012-12-10,West Indies,Bangladesh
24,DR Smith,Rubel Hossain,MN Samuels,4,0,4,30,24,17,1,5,0,,,-,bat,West Indies,1,Shere Bangla National Stadium,2012-12-10,West Indies,Bangladesh
25,DR Smith,Rubel Hossain,MN Samuels,0,0,0,30,24,18,2,5,0,,,-,bat,West Indies,1,Shere Bangla National Stadium,2012-12-10,West Indies,Bangladesh
26,DR Smith,Rubel Hossain,MN Samuels,0,0,0,30,24,19,3,5,0,,,-,bat,West Indies,1,Shere Bangla National Stadium,2012-12-10,West Indies,Bangladesh
27,DR Smith,Rubel Hossain,MN Samuels,0,0,0,30,24,20,4,5,0,,,-,bat,West Indies,1,Shere Bangla National Stadium,2012-12-10,West Indies,Bangladesh
28,DR Smith,Rubel Hossain,MN Samuels,0,0,0,30,24,21,5,5,bowled,DR Smith,,-,bat,West Indies,1,Shere Bangla National Stadium,2012-12-10,West Indies,Bangladesh
29,DM Bravo,Rubel Hossain,MN Samuels,4,0,4,34,4,1,6,5,0,,,-,bat,West Indies,1,Shere Bangla National Stadium,2012-12-10,West Indies,Bangladesh
30,MN Samuels,Shafiul Islam,DM Bravo,1,0,1,35,1,2,1,6,0,,,-,bat,West Indies,1,Shere Bangla National Stadium,2012-12-10,West Indies,Bangladesh
31,DM Bravo,Shafiul Islam,MN Samuels,0,0,0,35,4,2,2,6,0,,,-,bat,West Indies,1,Shere Bangla National Stadium,2012-12-10,West Indies,Bangladesh
32,DM Bravo,Shafiul Islam,MN Samuels,4,0,4,39,8,3,3,6,0,,,-,bat,West Indies,1,Shere Bangla National Stadium,2012-12-10,West Indies,Bangladesh
33,DM Bravo,Shafiul Islam,MN Samuels,4,0,4,43,12,4,4,6,0,,,-,bat,West Indies,1,Shere Bangla National Stadium,2012-12-10,West Indies,Bangladesh
34,DM Bravo,Shafiul Islam,MN Samuels,0,0,0,43,12,5,5,6,0,,,-,bat,West Indies,1,Shere Bangla National Stadium,2012-12-10,West Indies,Bangladesh
35,DM Bravo,Shafiul Islam,MN Samuels,0,0,0,43,12,6,6,6,0,,,-,bat,West Indies,1,Shere Bangla National Stadium,2012-12-10,West Indies,Bangladesh
36,MN Samuels,Sohag Gazi,DM Bravo,1,0,1,44,2,3,1,7,0,,,-,bat,West Indies,1,Shere Bangla National Stadium,2012-12-10,West Indies,Bangladesh
37,DM Bravo,Sohag Gazi,MN Samuels,2,0,2,46,14,7,2,7,0,,,-,bat,West Indies,1,Shere Bangla National Stadium,2012-12-10,West Indies,Bangladesh
38,DM Bravo,Sohag Gazi,MN Samuels,1,0,1,47,15,8,3,7,0,,,-,bat,West Indies,1,Shere Bangla National Stadium,2012-12-10,West Indies,Bangladesh
39,MN Samuels,Sohag Gazi,DM Bravo,1,0,1,48,3,4,4,7,0,,,-,bat,West Indies,1,Shere Bangla National Stadium,2012-12-10,West Indies,Bangladesh
40,DM Bravo,Sohag Gazi,MN Samuels,0,1,1,49,15,9,5,7,0,,,legbyes,bat,West Indies,1,Shere Bangla National Stadium,2012-12-10,West Indies,Bangladesh
