,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,Tamim Iqbal,BV Vitori,Shamsur Rahman,2,0,2,2,166,2,1,0,-,1.0,0,,,0,bat,Zimbabwe,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-11,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Right hand Bat,Left arm Fast
1,Tamim Iqbal,BV Vitori,Shamsur Rahman,0,0,0,2,166,2,2,1,-,2.0,bowled,Tamim Iqbal,,0,bat,Zimbabwe,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-11,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Right hand Bat,Left arm Fast
2,Shakib Al Hasan,BV Vitori,Shamsur Rahman,0,0,0,2,166,0,1,1,-,3.0,0,,,0,bat,Zimbabwe,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-11,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Right hand Bat,Left arm Fast
3,Shakib Al Hasan,BV Vitori,Shamsur Rahman,1,0,1,3,165,1,2,1,-,4.0,0,,,0,bat,Zimbabwe,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-11,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Right hand Bat,Left arm Fast
4,Shamsur Rahman,BV Vitori,Shakib Al Hasan,0,0,0,3,165,0,1,1,-,5.0,0,,,0,bat,Zimbabwe,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-11,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Left hand Bat,Left arm Fast
5,Shamsur Rahman,BV Vitori,Shakib Al Hasan,0,0,0,3,165,0,2,1,-,6.0,0,,,0,bat,Zimbabwe,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-11,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Left hand Bat,Left arm Fast
6,Shakib Al Hasan,TL Chatara,Shamsur Rahman,4,0,4,7,161,5,3,1,-,1.0,0,,,1,bat,Zimbabwe,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-11,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Right hand Bat,Right arm Fast
7,Shakib Al Hasan,TL Chatara,Shamsur Rahman,4,0,4,11,157,9,4,1,-,2.0,0,,,1,bat,Zimbabwe,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-11,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Right hand Bat,Right arm Fast
8,Shakib Al Hasan,TL Chatara,Shamsur Rahman,1,0,1,12,156,10,5,1,-,3.0,0,,,1,bat,Zimbabwe,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-11,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Right hand Bat,Right arm Fast
9,Shamsur Rahman,TL Chatara,Shakib Al Hasan,1,0,1,13,155,1,3,1,-,4.0,0,,,1,bat,Zimbabwe,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-11,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Left hand Bat,Right arm Fast
10,Shakib Al Hasan,TL Chatara,Shamsur Rahman,0,0,0,13,155,10,6,1,-,5.0,0,,,1,bat,Zimbabwe,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-11,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Right hand Bat,Right arm Fast
11,Shakib Al Hasan,TL Chatara,Shamsur Rahman,0,0,0,13,155,10,7,1,-,6.0,0,,,1,bat,Zimbabwe,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-11,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Right hand Bat,Right arm Fast
12,Shamsur Rahman,BV Vitori,Shakib Al Hasan,0,0,0,13,155,1,4,1,-,1.0,0,,,2,bat,Zimbabwe,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-11,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Left hand Bat,Left arm Fast
13,Shamsur Rahman,BV Vitori,Shakib Al Hasan,0,0,0,13,155,1,5,1,-,2.0,0,,,2,bat,Zimbabwe,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-11,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Left hand Bat,Left arm Fast
14,Shamsur Rahman,BV Vitori,Shakib Al Hasan,0,0,0,13,155,1,6,1,-,3.0,0,,,2,bat,Zimbabwe,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-11,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Left hand Bat,Left arm Fast
15,Shamsur Rahman,BV Vitori,Shakib Al Hasan,4,0,4,17,151,5,7,1,-,4.0,0,,,2,bat,Zimbabwe,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-11,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Left hand Bat,Left arm Fast
16,Shamsur Rahman,BV Vitori,Shakib Al Hasan,1,0,1,18,150,6,8,1,-,5.0,0,,,2,bat,Zimbabwe,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-11,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Left hand Bat,Left arm Fast
17,Shakib Al Hasan,BV Vitori,Shamsur Rahman,4,0,4,22,146,14,8,1,-,6.0,0,,,2,bat,Zimbabwe,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-11,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Right hand Bat,Left arm Fast
18,Shamsur Rahman,TL Chatara,Shakib Al Hasan,0,0,0,22,146,6,9,1,-,1.0,0,,,3,bat,Zimbabwe,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-11,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Left hand Bat,Right arm Fast
19,Shamsur Rahman,TL Chatara,Shakib Al Hasan,1,0,1,23,145,7,10,1,-,2.0,0,,,3,bat,Zimbabwe,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-11,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Left hand Bat,Right arm Fast
20,Shakib Al Hasan,TL Chatara,Shamsur Rahman,0,0,0,23,145,14,9,1,-,3.0,0,,,3,bat,Zimbabwe,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-11,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Right hand Bat,Right arm Fast
21,Shakib Al Hasan,TL Chatara,Shamsur Rahman,0,0,0,23,145,14,10,1,-,4.0,0,,,3,bat,Zimbabwe,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-11,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Right hand Bat,Right arm Fast
22,Shakib Al Hasan,TL Chatara,Shamsur Rahman,4,0,4,27,141,18,11,1,-,5.0,0,,,3,bat,Zimbabwe,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-11,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Right hand Bat,Right arm Fast
23,Shakib Al Hasan,TL Chatara,Shamsur Rahman,4,0,4,31,137,22,12,1,-,6.0,0,,,3,bat,Zimbabwe,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-11,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Right hand Bat,Right arm Fast
24,Shamsur Rahman,P Utseya,Shakib Al Hasan,0,0,0,31,137,7,11,1,-,1.0,0,,,4,bat,Zimbabwe,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-11,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Left hand Bat,Right arm Offbreak
25,Shamsur Rahman,P Utseya,Shakib Al Hasan,0,0,0,31,137,7,12,1,-,2.0,0,,,4,bat,Zimbabwe,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-11,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Left hand Bat,Right arm Offbreak
26,Shamsur Rahman,P Utseya,Shakib Al Hasan,0,0,0,31,137,7,13,1,-,3.0,0,,,4,bat,Zimbabwe,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-11,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Left hand Bat,Right arm Offbreak
27,Shamsur Rahman,P Utseya,Shakib Al Hasan,0,1,1,32,136,7,14,1,byes,4.0,0,,,4,bat,Zimbabwe,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-11,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Left hand Bat,Right arm Offbreak
28,Shakib Al Hasan,P Utseya,Shamsur Rahman,0,2,2,34,134,22,12,1,wides,4.0,0,,,4,bat,Zimbabwe,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-11,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Right hand Bat,Right arm Offbreak
29,Shamsur Rahman,P Utseya,Shakib Al Hasan,1,0,1,35,133,8,15,1,-,5.0,0,,,4,bat,Zimbabwe,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-11,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Left hand Bat,Right arm Offbreak
30,Shakib Al Hasan,P Utseya,Shamsur Rahman,2,0,2,37,131,24,13,1,-,6.0,0,,,4,bat,Zimbabwe,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-11,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Right hand Bat,Right arm Offbreak
31,Shamsur Rahman,T Panyangara,Shakib Al Hasan,1,1,2,39,129,9,15,1,noballs,0.0,0,,,5,bat,Zimbabwe,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-11,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Left hand Bat,Right arm Fast
32,Shakib Al Hasan,T Panyangara,Shamsur Rahman,0,0,0,39,129,24,14,1,-,1.0,0,,,5,bat,Zimbabwe,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-11,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Right hand Bat,Right arm Fast
33,Shakib Al Hasan,T Panyangara,Shamsur Rahman,4,0,4,43,125,28,15,1,-,2.0,0,,,5,bat,Zimbabwe,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-11,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Right hand Bat,Right arm Fast
34,Shakib Al Hasan,T Panyangara,Shamsur Rahman,4,0,4,47,121,32,16,1,-,3.0,0,,,5,bat,Zimbabwe,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-11,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Right hand Bat,Right arm Fast
35,Shakib Al Hasan,T Panyangara,Shamsur Rahman,0,0,0,47,121,32,17,1,-,4.0,0,,,5,bat,Zimbabwe,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-11,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Right hand Bat,Right arm Fast
36,Shakib Al Hasan,T Panyangara,Shamsur Rahman,0,0,0,47,121,32,18,1,-,5.0,0,,,5,bat,Zimbabwe,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-11,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Right hand Bat,Right arm Fast
37,Shakib Al Hasan,T Panyangara,Shamsur Rahman,2,0,2,49,119,34,19,1,-,6.0,0,,,5,bat,Zimbabwe,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-11,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Right hand Bat,Right arm Fast
38,Shamsur Rahman,P Utseya,Shakib Al Hasan,1,0,1,50,118,10,16,1,-,1.0,0,,,6,bat,Zimbabwe,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-11,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Left hand Bat,Right arm Offbreak
39,Shakib Al Hasan,P Utseya,Shamsur Rahman,0,0,0,50,118,34,20,1,-,2.0,0,,,6,bat,Zimbabwe,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-11,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Right hand Bat,Right arm Offbreak
