,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,H Masakadza,Sohag Gazi,V Sibanda,0,0,0,0,168,0,1,0,1,1,0,,,-,bat,Bangladesh,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-12,Bangladesh,Zimbabwe,Bangladesh
1,H Masakadza,Sohag Gazi,V Sibanda,1,0,1,1,167,1,2,0,2,1,0,,,-,bat,Bangladesh,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-12,Bangladesh,Zimbabwe,Bangladesh
2,V Sibanda,Sohag Gazi,H Masakadza,2,0,2,3,165,2,1,0,3,1,0,,,-,bat,Bangladesh,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-12,Bangladesh,Zimbabwe,Bangladesh
3,V Sibanda,Sohag Gazi,H Masakadza,1,0,1,4,164,3,2,0,4,1,0,,,-,bat,Bangladesh,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-12,Bangladesh,Zimbabwe,Bangladesh
4,H Masakadza,Sohag Gazi,V Sibanda,0,0,0,4,164,1,3,0,5,1,0,,,-,bat,Bangladesh,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-12,Bangladesh,Zimbabwe,Bangladesh
5,H Masakadza,Sohag Gazi,V Sibanda,1,0,1,5,163,2,4,0,6,1,0,,,-,bat,Bangladesh,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-12,Bangladesh,Zimbabwe,Bangladesh
6,H Masakadza,Abdur Razzak,V Sibanda,0,0,0,5,163,2,5,1,1,2,bowled,H Masakadza,,-,bat,Bangladesh,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-12,Bangladesh,Zimbabwe,Bangladesh
7,BRM Taylor,Abdur Razzak,V Sibanda,0,0,0,5,163,0,1,1,2,2,0,,,-,bat,Bangladesh,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-12,Bangladesh,Zimbabwe,Bangladesh
8,BRM Taylor,Abdur Razzak,V Sibanda,1,0,1,6,162,1,2,1,3,2,0,,,-,bat,Bangladesh,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-12,Bangladesh,Zimbabwe,Bangladesh
9,V Sibanda,Abdur Razzak,BRM Taylor,0,0,0,6,162,3,3,1,4,2,0,,,-,bat,Bangladesh,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-12,Bangladesh,Zimbabwe,Bangladesh
10,V Sibanda,Abdur Razzak,BRM Taylor,4,0,4,10,158,7,4,1,5,2,0,,,-,bat,Bangladesh,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-12,Bangladesh,Zimbabwe,Bangladesh
11,V Sibanda,Abdur Razzak,BRM Taylor,1,0,1,11,157,8,5,1,6,2,0,,,-,bat,Bangladesh,2,Queens Sports Club,2013,05,Zimbabwe_Bangladesh_2013-05-12,Bangladesh,Zimbabwe,Bangladesh
