,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,CL White,SCJ Broad,AJ Finch,0,0,0,0,130,0,1,0,1,1,-,0,,,bat,Australia,1,Stadium Australia,2014,02,Australia_England_2014-02-02,Australia,Australia,England,195
1,CL White,SCJ Broad,AJ Finch,0,0,0,0,130,0,2,0,2,1,-,0,,,bat,Australia,1,Stadium Australia,2014,02,Australia_England_2014-02-02,Australia,Australia,England,195
2,CL White,SCJ Broad,AJ Finch,1,0,1,1,129,1,3,0,3,1,-,0,,,bat,Australia,1,Stadium Australia,2014,02,Australia_England_2014-02-02,Australia,Australia,England,195
3,AJ Finch,SCJ Broad,CL White,1,0,1,2,128,1,1,0,4,1,-,0,,,bat,Australia,1,Stadium Australia,2014,02,Australia_England_2014-02-02,Australia,Australia,England,195
4,CL White,SCJ Broad,AJ Finch,1,0,1,3,127,2,4,0,5,1,-,0,,,bat,Australia,1,Stadium Australia,2014,02,Australia_England_2014-02-02,Australia,Australia,England,195
5,AJ Finch,SCJ Broad,CL White,0,0,0,3,127,1,2,0,6,1,-,0,,,bat,Australia,1,Stadium Australia,2014,02,Australia_England_2014-02-02,Australia,Australia,England,195
6,CL White,CJ Jordan,AJ Finch,0,1,1,4,126,2,5,0,1,2,wides,0,,,bat,Australia,1,Stadium Australia,2014,02,Australia_England_2014-02-02,Australia,Australia,England,195
7,CL White,CJ Jordan,AJ Finch,0,0,0,4,126,2,6,0,2,2,-,0,,,bat,Australia,1,Stadium Australia,2014,02,Australia_England_2014-02-02,Australia,Australia,England,195
8,CL White,CJ Jordan,AJ Finch,0,0,0,4,126,2,7,0,3,2,-,0,,,bat,Australia,1,Stadium Australia,2014,02,Australia_England_2014-02-02,Australia,Australia,England,195
9,CL White,CJ Jordan,AJ Finch,2,0,2,6,124,4,8,0,4,2,-,0,,,bat,Australia,1,Stadium Australia,2014,02,Australia_England_2014-02-02,Australia,Australia,England,195
10,CL White,CJ Jordan,AJ Finch,1,0,1,7,123,5,9,0,5,2,-,0,,,bat,Australia,1,Stadium Australia,2014,02,Australia_England_2014-02-02,Australia,Australia,England,195
