,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,Ahmed Shehzad,DJG Sammy,Mohammad Hafeez,0,0,0,0,0,1,1,1,0,,,-,bat,Pakistan,1,"Arnos Vale Ground, Kingstown",2013-07-28,Pakistan,West Indies
1,Ahmed Shehzad,DJG Sammy,Mohammad Hafeez,4,0,4,4,4,2,2,1,0,,,-,bat,Pakistan,1,"Arnos Vale Ground, Kingstown",2013-07-28,Pakistan,West Indies
2,Ahmed Shehzad,DJG Sammy,Mohammad Hafeez,0,0,0,4,4,3,3,1,0,,,-,bat,Pakistan,1,"Arnos Vale Ground, Kingstown",2013-07-28,Pakistan,West Indies
3,Ahmed Shehzad,DJG Sammy,Mohammad Hafeez,1,0,1,5,5,4,4,1,0,,,-,bat,Pakistan,1,"Arnos Vale Ground, Kingstown",2013-07-28,Pakistan,West Indies
4,Mohammad Hafeez,DJG Sammy,Ahmed Shehzad,1,0,1,6,1,1,5,1,0,,,-,bat,Pakistan,1,"Arnos Vale Ground, Kingstown",2013-07-28,Pakistan,West Indies
5,Ahmed Shehzad,DJG Sammy,Mohammad Hafeez,0,0,0,6,5,5,6,1,0,,,-,bat,Pakistan,1,"Arnos Vale Ground, Kingstown",2013-07-28,Pakistan,West Indies
6,Mohammad Hafeez,S Badree,Ahmed Shehzad,0,0,0,6,1,2,1,2,0,,,-,bat,Pakistan,1,"Arnos Vale Ground, Kingstown",2013-07-28,Pakistan,West Indies
7,Mohammad Hafeez,S Badree,Ahmed Shehzad,3,0,3,9,4,3,2,2,0,,,-,bat,Pakistan,1,"Arnos Vale Ground, Kingstown",2013-07-28,Pakistan,West Indies
8,Ahmed Shehzad,S Badree,Mohammad Hafeez,0,0,0,9,5,6,3,2,0,,,-,bat,Pakistan,1,"Arnos Vale Ground, Kingstown",2013-07-28,Pakistan,West Indies
9,Ahmed Shehzad,S Badree,Mohammad Hafeez,0,0,0,9,5,7,4,2,0,,,-,bat,Pakistan,1,"Arnos Vale Ground, Kingstown",2013-07-28,Pakistan,West Indies
10,Ahmed Shehzad,S Badree,Mohammad Hafeez,0,0,0,9,5,8,5,2,0,,,-,bat,Pakistan,1,"Arnos Vale Ground, Kingstown",2013-07-28,Pakistan,West Indies
11,Ahmed Shehzad,S Badree,Mohammad Hafeez,1,0,1,10,6,9,6,2,0,,,-,bat,Pakistan,1,"Arnos Vale Ground, Kingstown",2013-07-28,Pakistan,West Indies
12,Ahmed Shehzad,DJG Sammy,Mohammad Hafeez,1,0,1,11,7,10,1,3,0,,,-,bat,Pakistan,1,"Arnos Vale Ground, Kingstown",2013-07-28,Pakistan,West Indies
13,Mohammad Hafeez,DJG Sammy,Ahmed Shehzad,1,0,1,12,5,4,2,3,0,,,-,bat,Pakistan,1,"Arnos Vale Ground, Kingstown",2013-07-28,Pakistan,West Indies
14,Ahmed Shehzad,DJG Sammy,Mohammad Hafeez,0,0,0,12,7,11,3,3,0,,,-,bat,Pakistan,1,"Arnos Vale Ground, Kingstown",2013-07-28,Pakistan,West Indies
15,Ahmed Shehzad,DJG Sammy,Mohammad Hafeez,0,0,0,12,7,12,4,3,0,,,-,bat,Pakistan,1,"Arnos Vale Ground, Kingstown",2013-07-28,Pakistan,West Indies
16,Ahmed Shehzad,DJG Sammy,Mohammad Hafeez,4,0,4,16,11,13,5,3,0,,,-,bat,Pakistan,1,"Arnos Vale Ground, Kingstown",2013-07-28,Pakistan,West Indies
17,Ahmed Shehzad,DJG Sammy,Mohammad Hafeez,1,0,1,17,12,14,6,3,0,,,-,bat,Pakistan,1,"Arnos Vale Ground, Kingstown",2013-07-28,Pakistan,West Indies
18,Ahmed Shehzad,S Badree,Mohammad Hafeez,1,0,1,18,13,15,1,4,0,,,-,bat,Pakistan,1,"Arnos Vale Ground, Kingstown",2013-07-28,Pakistan,West Indies
19,Mohammad Hafeez,S Badree,Ahmed Shehzad,1,0,1,19,6,5,2,4,0,,,-,bat,Pakistan,1,"Arnos Vale Ground, Kingstown",2013-07-28,Pakistan,West Indies
20,Ahmed Shehzad,S Badree,Mohammad Hafeez,0,0,0,19,13,16,3,4,0,,,-,bat,Pakistan,1,"Arnos Vale Ground, Kingstown",2013-07-28,Pakistan,West Indies
