,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,AJ Finch,JP Duminy,CL White,0,0,0,0,0,1,1,1,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
1,AJ Finch,JP Duminy,CL White,1,0,1,1,1,2,2,1,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
2,CL White,JP Duminy,AJ Finch,1,0,1,2,1,1,3,1,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
3,AJ Finch,JP Duminy,CL White,0,0,0,2,1,3,4,1,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
4,AJ Finch,JP Duminy,CL White,4,0,4,6,5,4,5,1,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
5,AJ Finch,JP Duminy,CL White,4,0,4,10,9,5,6,1,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
6,CL White,LL Tsotsobe,AJ Finch,1,0,1,11,2,2,1,2,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
7,AJ Finch,LL Tsotsobe,CL White,0,0,0,11,9,6,2,2,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
8,AJ Finch,LL Tsotsobe,CL White,2,0,2,13,11,7,3,2,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
9,AJ Finch,LL Tsotsobe,CL White,1,0,1,14,12,8,4,2,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
10,CL White,LL Tsotsobe,AJ Finch,0,0,0,14,2,3,5,2,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
11,CL White,LL Tsotsobe,AJ Finch,4,0,4,18,6,4,6,2,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
12,AJ Finch,BE Hendricks,CL White,0,0,0,18,12,9,1,3,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
13,AJ Finch,BE Hendricks,CL White,4,0,4,22,16,10,2,3,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
14,AJ Finch,BE Hendricks,CL White,1,0,1,23,17,11,3,3,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
15,CL White,BE Hendricks,AJ Finch,4,0,4,27,10,5,4,3,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
16,CL White,BE Hendricks,AJ Finch,0,0,0,27,10,6,5,3,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
17,CL White,BE Hendricks,AJ Finch,0,0,0,27,10,7,6,3,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
18,AJ Finch,LL Tsotsobe,CL White,2,0,2,29,19,12,1,4,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
19,AJ Finch,LL Tsotsobe,CL White,4,0,4,33,23,13,2,4,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
20,AJ Finch,LL Tsotsobe,CL White,1,0,1,34,24,14,3,4,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
21,CL White,LL Tsotsobe,AJ Finch,2,0,2,36,12,8,4,4,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
22,CL White,LL Tsotsobe,AJ Finch,0,0,0,36,12,9,5,4,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
23,CL White,LL Tsotsobe,AJ Finch,2,0,2,38,14,10,6,4,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
24,AJ Finch,WD Parnell,CL White,0,0,0,38,24,15,1,5,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
25,AJ Finch,WD Parnell,CL White,4,0,4,42,28,16,2,5,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
26,AJ Finch,WD Parnell,CL White,0,0,0,42,28,17,3,5,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
27,AJ Finch,WD Parnell,CL White,1,0,1,43,29,18,4,5,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
28,CL White,WD Parnell,AJ Finch,0,0,0,43,14,11,5,5,caught,CL White,Imran Tahir,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
29,AJ Finch,WD Parnell,SR Watson,4,0,4,47,33,19,6,5,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
30,SR Watson,BE Hendricks,AJ Finch,1,0,1,48,1,1,1,6,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
31,AJ Finch,BE Hendricks,SR Watson,1,0,1,49,34,20,2,6,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
32,SR Watson,BE Hendricks,AJ Finch,1,0,1,50,2,2,3,6,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
33,AJ Finch,BE Hendricks,SR Watson,1,0,1,51,35,21,4,6,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
34,SR Watson,BE Hendricks,AJ Finch,4,0,4,55,6,3,5,6,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
35,SR Watson,BE Hendricks,AJ Finch,0,0,0,55,6,4,6,6,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
36,AJ Finch,Imran Tahir,SR Watson,1,0,1,56,36,22,1,7,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
37,SR Watson,Imran Tahir,AJ Finch,0,0,0,56,6,5,2,7,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
38,SR Watson,Imran Tahir,AJ Finch,1,0,1,57,7,6,3,7,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
39,AJ Finch,Imran Tahir,SR Watson,0,0,0,57,36,23,4,7,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
40,AJ Finch,Imran Tahir,SR Watson,1,0,1,58,37,24,5,7,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
41,SR Watson,Imran Tahir,AJ Finch,1,0,1,59,8,7,6,7,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
42,SR Watson,JA Morkel,AJ Finch,0,0,0,59,8,8,1,8,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
43,SR Watson,JA Morkel,AJ Finch,1,0,1,60,9,9,2,8,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
44,AJ Finch,JA Morkel,SR Watson,1,0,1,61,38,25,3,8,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
45,SR Watson,JA Morkel,AJ Finch,4,0,4,65,13,10,4,8,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
46,SR Watson,JA Morkel,AJ Finch,1,0,1,66,14,11,5,8,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
47,AJ Finch,JA Morkel,SR Watson,1,0,1,67,39,26,6,8,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
48,AJ Finch,Imran Tahir,SR Watson,0,0,0,67,39,27,1,9,caught,AJ Finch,DA Miller,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
49,SR Watson,Imran Tahir,GJ Maxwell,0,0,0,67,14,12,2,9,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
50,SR Watson,Imran Tahir,GJ Maxwell,1,0,1,68,15,13,3,9,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
51,GJ Maxwell,Imran Tahir,SR Watson,1,0,1,69,1,1,4,9,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
52,SR Watson,Imran Tahir,GJ Maxwell,0,0,0,69,15,14,5,9,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
53,SR Watson,Imran Tahir,GJ Maxwell,0,0,0,69,15,15,6,9,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
54,GJ Maxwell,WD Parnell,SR Watson,1,0,1,70,2,2,1,10,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
55,SR Watson,WD Parnell,GJ Maxwell,0,0,0,70,15,16,2,10,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
56,SR Watson,WD Parnell,GJ Maxwell,1,0,1,71,16,17,3,10,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
57,GJ Maxwell,WD Parnell,SR Watson,0,0,0,71,2,3,4,10,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
58,GJ Maxwell,WD Parnell,SR Watson,0,1,1,72,2,4,5,10,0,,,wides,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
59,GJ Maxwell,WD Parnell,SR Watson,1,0,1,73,3,5,6,10,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
60,SR Watson,WD Parnell,GJ Maxwell,2,0,2,75,18,18,7,10,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
61,GJ Maxwell,Imran Tahir,SR Watson,1,0,1,76,4,6,1,11,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
62,SR Watson,Imran Tahir,GJ Maxwell,1,0,1,77,19,19,2,11,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
63,GJ Maxwell,Imran Tahir,SR Watson,4,0,4,81,8,7,3,11,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
64,GJ Maxwell,Imran Tahir,SR Watson,1,0,1,82,9,8,4,11,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
65,SR Watson,Imran Tahir,GJ Maxwell,1,0,1,83,20,20,5,11,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
66,GJ Maxwell,Imran Tahir,SR Watson,2,0,2,85,11,9,6,11,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
67,SR Watson,JA Morkel,GJ Maxwell,6,0,6,91,26,21,1,12,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
68,SR Watson,JA Morkel,GJ Maxwell,0,0,0,91,26,22,2,12,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
69,SR Watson,JA Morkel,GJ Maxwell,6,0,6,97,32,23,3,12,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
70,SR Watson,JA Morkel,GJ Maxwell,1,0,1,98,33,24,4,12,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
71,GJ Maxwell,JA Morkel,SR Watson,4,0,4,102,15,10,5,12,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
72,GJ Maxwell,JA Morkel,SR Watson,1,0,1,103,16,11,6,12,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
73,GJ Maxwell,BE Hendricks,SR Watson,1,0,1,104,17,12,1,13,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
74,SR Watson,BE Hendricks,GJ Maxwell,0,0,0,104,33,25,2,13,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
75,SR Watson,BE Hendricks,GJ Maxwell,1,0,1,105,34,26,3,13,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
76,GJ Maxwell,BE Hendricks,SR Watson,0,0,0,105,17,13,4,13,lbw,GJ Maxwell,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
77,GJ Bailey,BE Hendricks,SR Watson,1,0,1,106,1,1,5,13,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
78,SR Watson,BE Hendricks,GJ Bailey,1,0,1,107,35,27,6,13,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
79,SR Watson,Imran Tahir,GJ Bailey,0,0,0,107,35,28,1,14,caught,SR Watson,F du Plessis,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
80,GJ Bailey,Imran Tahir,BJ Hodge,1,0,1,108,2,2,2,14,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
81,BJ Hodge,Imran Tahir,GJ Bailey,1,0,1,109,1,1,3,14,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
82,GJ Bailey,Imran Tahir,BJ Hodge,1,0,1,110,3,3,4,14,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
83,BJ Hodge,Imran Tahir,GJ Bailey,1,0,1,111,2,2,5,14,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
84,GJ Bailey,Imran Tahir,BJ Hodge,1,0,1,112,4,4,6,14,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
85,GJ Bailey,JP Duminy,BJ Hodge,6,0,6,118,10,5,1,15,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
86,GJ Bailey,JP Duminy,BJ Hodge,1,0,1,119,11,6,2,15,0,,,-,field,Australia,2,SuperSport Park,2014-03-14,Australia,Australia,South Africa
