,batter,bowler,extras,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,MA Carberry,KMDN Kulasekara,{'wides': 1},AD Hales,0,1,1,1,0,1,1,wides,1,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
1,MA Carberry,KMDN Kulasekara,,AD Hales,0,0,0,1,0,2,2,-,1,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
2,MA Carberry,KMDN Kulasekara,,AD Hales,2,0,2,3,2,3,3,-,1,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
3,MA Carberry,KMDN Kulasekara,,AD Hales,0,0,0,3,2,4,4,-,1,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
4,MA Carberry,KMDN Kulasekara,{'wides': 1},AD Hales,0,1,1,4,2,5,5,wides,1,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
5,MA Carberry,KMDN Kulasekara,,AD Hales,4,0,4,8,6,6,6,-,1,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
6,MA Carberry,KMDN Kulasekara,,AD Hales,1,0,1,9,7,7,7,-,1,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
7,AD Hales,KMDN Kulasekara,,MA Carberry,0,0,0,9,0,1,8,-,1,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
8,MA Carberry,AD Mathews,,AD Hales,0,0,0,9,7,8,1,-,2,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
9,MA Carberry,AD Mathews,,AD Hales,0,0,0,9,7,9,2,-,2,caught,MA Carberry,KMDN Kulasekara,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
10,AD Hales,AD Mathews,,IR Bell,0,0,0,9,0,2,3,-,2,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
11,AD Hales,AD Mathews,,IR Bell,0,0,0,9,0,3,4,-,2,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
12,AD Hales,AD Mathews,,IR Bell,1,0,1,10,1,4,5,-,2,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
13,IR Bell,AD Mathews,,AD Hales,1,0,1,11,1,1,6,-,2,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
14,IR Bell,KMDN Kulasekara,,AD Hales,0,0,0,11,1,2,1,-,3,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
15,IR Bell,KMDN Kulasekara,,AD Hales,0,0,0,11,1,3,2,-,3,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
16,IR Bell,KMDN Kulasekara,,AD Hales,4,0,4,15,5,4,3,-,3,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
17,IR Bell,KMDN Kulasekara,,AD Hales,0,0,0,15,5,5,4,-,3,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
18,IR Bell,KMDN Kulasekara,{'wides': 1},AD Hales,0,1,1,16,5,6,5,wides,3,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
19,IR Bell,KMDN Kulasekara,,AD Hales,0,0,0,16,5,7,6,-,3,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
20,IR Bell,KMDN Kulasekara,,AD Hales,1,0,1,17,6,8,7,-,3,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
21,IR Bell,RAS Lakmal,,AD Hales,1,0,1,18,7,9,1,-,4,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
22,AD Hales,RAS Lakmal,,IR Bell,0,0,0,18,1,5,2,-,4,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
23,AD Hales,RAS Lakmal,,IR Bell,6,0,6,24,7,6,3,-,4,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
24,AD Hales,RAS Lakmal,,IR Bell,4,0,4,28,11,7,4,-,4,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
25,AD Hales,RAS Lakmal,,IR Bell,1,0,1,29,12,8,5,-,4,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
26,IR Bell,RAS Lakmal,,AD Hales,1,0,1,30,8,10,6,-,4,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
27,IR Bell,SMSM Senanayake,,AD Hales,1,0,1,31,9,11,1,-,5,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
28,AD Hales,SMSM Senanayake,,IR Bell,4,0,4,35,16,9,2,-,5,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
29,AD Hales,SMSM Senanayake,,IR Bell,1,0,1,36,17,10,3,-,5,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
30,IR Bell,SMSM Senanayake,{'legbyes': 4},AD Hales,0,4,4,40,9,12,4,legbyes,5,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
31,IR Bell,SMSM Senanayake,,AD Hales,4,0,4,44,13,13,5,-,5,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
32,IR Bell,SMSM Senanayake,,AD Hales,0,0,0,44,13,14,6,-,5,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
33,AD Hales,SL Malinga,,IR Bell,1,0,1,45,18,11,1,-,6,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
34,IR Bell,SL Malinga,,AD Hales,0,0,0,45,13,15,2,-,6,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
35,IR Bell,SL Malinga,,AD Hales,0,0,0,45,13,16,3,-,6,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
36,IR Bell,SL Malinga,,AD Hales,0,0,0,45,13,17,4,-,6,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
37,IR Bell,SL Malinga,,AD Hales,0,0,0,45,13,18,5,-,6,caught,IR Bell,MDKJ Perera,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
38,AD Hales,SL Malinga,,JE Root,4,0,4,49,22,12,6,-,6,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
39,JE Root,AD Mathews,,AD Hales,0,0,0,49,0,1,1,-,7,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
40,JE Root,AD Mathews,,AD Hales,1,0,1,50,1,2,2,-,7,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
41,AD Hales,AD Mathews,,JE Root,1,0,1,51,23,13,3,-,7,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
42,JE Root,AD Mathews,,AD Hales,0,0,0,51,1,3,4,-,7,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
43,JE Root,AD Mathews,,AD Hales,2,0,2,53,3,4,5,-,7,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
44,JE Root,AD Mathews,,AD Hales,1,0,1,54,4,5,6,-,7,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
45,JE Root,RAS Lakmal,{'wides': 1},AD Hales,0,1,1,55,4,6,1,wides,8,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
46,JE Root,RAS Lakmal,,AD Hales,1,0,1,56,5,7,2,-,8,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
47,AD Hales,RAS Lakmal,,JE Root,0,0,0,56,23,14,3,-,8,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
48,AD Hales,RAS Lakmal,,JE Root,0,0,0,56,23,15,4,-,8,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
49,AD Hales,RAS Lakmal,{'wides': 1},JE Root,0,1,1,57,23,16,5,wides,8,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
50,AD Hales,RAS Lakmal,,JE Root,0,0,0,57,23,17,6,-,8,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
51,AD Hales,RAS Lakmal,,JE Root,1,0,1,58,24,18,7,-,8,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
52,JE Root,RAS Lakmal,,AD Hales,0,0,0,58,5,8,8,-,8,caught,JE Root,LD Chandimal,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
53,AD Hales,NLTC Perera,,EJG Morgan,1,0,1,59,25,19,1,-,9,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
54,EJG Morgan,NLTC Perera,,AD Hales,0,0,0,59,0,1,2,-,9,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
55,EJG Morgan,NLTC Perera,,AD Hales,1,0,1,60,1,2,3,-,9,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
56,AD Hales,NLTC Perera,,EJG Morgan,1,0,1,61,26,20,4,-,9,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
57,EJG Morgan,NLTC Perera,,AD Hales,1,0,1,62,2,3,5,-,9,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
58,AD Hales,NLTC Perera,,EJG Morgan,2,0,2,64,28,21,6,-,9,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
59,EJG Morgan,SL Malinga,,AD Hales,0,0,0,64,2,4,1,-,10,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
60,EJG Morgan,SL Malinga,,AD Hales,0,0,0,64,2,5,2,-,10,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
61,EJG Morgan,SL Malinga,,AD Hales,1,0,1,65,3,6,3,-,10,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
62,AD Hales,SL Malinga,{'wides': 5},EJG Morgan,0,5,5,70,28,22,4,wides,10,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
63,AD Hales,SL Malinga,,EJG Morgan,2,0,2,72,30,23,5,-,10,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
64,AD Hales,SL Malinga,,EJG Morgan,1,0,1,73,31,24,6,-,10,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
65,EJG Morgan,SL Malinga,,AD Hales,1,0,1,74,4,7,7,-,10,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
66,EJG Morgan,SMSM Senanayake,,AD Hales,1,0,1,75,5,8,1,-,11,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
67,AD Hales,SMSM Senanayake,,EJG Morgan,1,0,1,76,32,25,2,-,11,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
68,EJG Morgan,SMSM Senanayake,{'legbyes': 1},AD Hales,0,1,1,77,5,9,3,legbyes,11,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
69,AD Hales,SMSM Senanayake,,EJG Morgan,2,0,2,79,34,26,4,-,11,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
70,AD Hales,SMSM Senanayake,,EJG Morgan,4,0,4,83,38,27,5,-,11,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
71,AD Hales,SMSM Senanayake,,EJG Morgan,1,0,1,84,39,28,6,-,11,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
72,AD Hales,NLTC Perera,,EJG Morgan,1,0,1,85,40,29,1,-,12,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
73,EJG Morgan,NLTC Perera,,AD Hales,0,0,0,85,5,10,2,-,12,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
74,EJG Morgan,NLTC Perera,,AD Hales,0,0,0,85,5,11,3,-,12,caught,EJG Morgan,RAS Lakmal,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
75,AD Hales,NLTC Perera,,JC Buttler,4,0,4,89,44,30,4,-,12,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
76,AD Hales,NLTC Perera,,JC Buttler,1,0,1,90,45,31,5,-,12,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
77,JC Buttler,NLTC Perera,,AD Hales,1,0,1,91,1,1,6,-,12,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
78,JC Buttler,SMSM Senanayake,,AD Hales,1,0,1,92,2,2,1,-,13,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
79,AD Hales,SMSM Senanayake,,JC Buttler,1,0,1,93,46,32,2,-,13,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
80,JC Buttler,SMSM Senanayake,,AD Hales,4,0,4,97,6,3,3,-,13,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
81,JC Buttler,SMSM Senanayake,,AD Hales,0,0,0,97,6,4,4,-,13,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
82,JC Buttler,SMSM Senanayake,,AD Hales,1,0,1,98,7,5,5,-,13,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
83,AD Hales,SMSM Senanayake,,JC Buttler,0,0,0,98,46,33,6,-,13,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
84,JC Buttler,RAS Lakmal,,AD Hales,1,0,1,99,8,6,1,-,14,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
85,AD Hales,RAS Lakmal,,JC Buttler,1,0,1,100,47,34,2,-,14,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
86,JC Buttler,RAS Lakmal,,AD Hales,2,0,2,102,10,7,3,-,14,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
87,JC Buttler,RAS Lakmal,,AD Hales,4,0,4,106,14,8,4,-,14,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
88,JC Buttler,RAS Lakmal,,AD Hales,4,0,4,110,18,9,5,-,14,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
89,JC Buttler,RAS Lakmal,,AD Hales,1,0,1,111,19,10,6,-,14,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
90,JC Buttler,NLTC Perera,,AD Hales,0,0,0,111,19,11,1,-,15,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
91,JC Buttler,NLTC Perera,,AD Hales,4,0,4,115,23,12,2,-,15,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
92,JC Buttler,NLTC Perera,,AD Hales,1,0,1,116,24,13,3,-,15,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
93,AD Hales,NLTC Perera,,JC Buttler,4,0,4,120,51,35,4,-,15,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
94,AD Hales,NLTC Perera,,JC Buttler,1,0,1,121,52,36,5,-,15,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
95,JC Buttler,NLTC Perera,,AD Hales,1,0,1,122,25,14,6,-,15,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
96,JC Buttler,KMDN Kulasekara,,AD Hales,1,0,1,123,26,15,1,-,16,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
97,AD Hales,KMDN Kulasekara,,JC Buttler,1,0,1,124,53,37,2,-,16,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
98,JC Buttler,KMDN Kulasekara,,AD Hales,0,0,0,124,26,16,3,-,16,caught,JC Buttler,TM Dilshan,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
99,AD Hales,KMDN Kulasekara,,RS Bopara,6,0,6,130,59,38,4,-,16,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
100,AD Hales,KMDN Kulasekara,,RS Bopara,2,0,2,132,61,39,5,-,16,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
101,AD Hales,KMDN Kulasekara,,RS Bopara,1,0,1,133,62,40,6,-,16,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
102,AD Hales,SL Malinga,{'byes': 1},RS Bopara,0,1,1,134,62,41,1,byes,17,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
103,RS Bopara,SL Malinga,,AD Hales,1,0,1,135,1,1,2,-,17,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
104,AD Hales,SL Malinga,,RS Bopara,4,0,4,139,66,42,3,-,17,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
105,AD Hales,SL Malinga,,RS Bopara,0,0,0,139,66,43,4,-,17,bowled,AD Hales,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
106,CJ Jordan,SL Malinga,,RS Bopara,4,0,4,143,4,1,5,-,17,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
107,CJ Jordan,SL Malinga,,RS Bopara,0,0,0,143,4,2,6,-,17,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
108,RS Bopara,KMDN Kulasekara,,CJ Jordan,0,0,0,143,1,2,1,-,18,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
109,RS Bopara,KMDN Kulasekara,,CJ Jordan,2,0,2,145,3,3,2,-,18,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
110,RS Bopara,KMDN Kulasekara,{'wides': 1},CJ Jordan,0,1,1,146,3,4,3,wides,18,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
111,RS Bopara,KMDN Kulasekara,,CJ Jordan,4,0,4,150,7,5,4,-,18,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
112,RS Bopara,KMDN Kulasekara,,CJ Jordan,2,0,2,152,9,6,5,-,18,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
113,RS Bopara,KMDN Kulasekara,,CJ Jordan,0,0,0,152,9,7,6,-,18,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
114,RS Bopara,KMDN Kulasekara,,CJ Jordan,4,0,4,156,13,8,7,-,18,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
115,CJ Jordan,SL Malinga,,RS Bopara,1,0,1,157,5,3,1,-,19,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
116,RS Bopara,SL Malinga,,CJ Jordan,1,0,1,158,14,9,2,-,19,0,,,field,England,2,Kennington Oval,2014-05-20,England,Sri Lanka
