,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,RG Sharma,S Badree,S Dhawan,0,0,0,0,129,0,1,0,1,0,,,1,-,field,India,2,Shere Bangla National Stadium,2014,03,India_West Indies_2014-03-23,India,India,West Indies,130
1,RG Sharma,S Badree,S Dhawan,1,0,1,1,128,1,2,0,2,0,,,1,-,field,India,2,Shere Bangla National Stadium,2014,03,India_West Indies_2014-03-23,India,India,West Indies,130
2,S Dhawan,S Badree,RG Sharma,0,0,0,1,128,0,1,0,3,0,,,1,-,field,India,2,Shere Bangla National Stadium,2014,03,India_West Indies_2014-03-23,India,India,West Indies,130
3,S Dhawan,S Badree,RG Sharma,0,0,0,1,128,0,2,0,4,0,,,1,-,field,India,2,Shere Bangla National Stadium,2014,03,India_West Indies_2014-03-23,India,India,West Indies,130
4,S Dhawan,S Badree,RG Sharma,0,0,0,1,128,0,3,1,5,lbw,S Dhawan,,1,-,field,India,2,Shere Bangla National Stadium,2014,03,India_West Indies_2014-03-23,India,India,West Indies,130
5,V Kohli,S Badree,RG Sharma,1,0,1,2,127,1,1,1,6,0,,,1,-,field,India,2,Shere Bangla National Stadium,2014,03,India_West Indies_2014-03-23,India,India,West Indies,130
6,V Kohli,K Santokie,RG Sharma,0,0,0,2,127,1,2,1,1,0,,,2,-,field,India,2,Shere Bangla National Stadium,2014,03,India_West Indies_2014-03-23,India,India,West Indies,130
7,V Kohli,K Santokie,RG Sharma,1,0,1,3,126,2,3,1,2,0,,,2,-,field,India,2,Shere Bangla National Stadium,2014,03,India_West Indies_2014-03-23,India,India,West Indies,130
8,RG Sharma,K Santokie,V Kohli,1,0,1,4,125,2,3,1,3,0,,,2,-,field,India,2,Shere Bangla National Stadium,2014,03,India_West Indies_2014-03-23,India,India,West Indies,130
9,V Kohli,K Santokie,RG Sharma,1,0,1,5,124,3,4,1,4,0,,,2,-,field,India,2,Shere Bangla National Stadium,2014,03,India_West Indies_2014-03-23,India,India,West Indies,130
