,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,DR Smith,Mashrafe Mortaza,CH Gayle,0,5,5,5,,0,1,0,1,wides,0,0,,,field,Bangladesh,1,Shere Bangla National Stadium,2014,03,Bangladesh_West Indies_2014-03-25,West Indies,West Indies,Bangladesh,True,171
1,DR Smith,Mashrafe Mortaza,CH Gayle,0,0,0,5,,0,2,0,2,-,0,0,,,field,Bangladesh,1,Shere Bangla National Stadium,2014,03,Bangladesh_West Indies_2014-03-25,West Indies,West Indies,Bangladesh,True,171
2,DR Smith,Mashrafe Mortaza,CH Gayle,4,0,4,9,,4,3,0,3,-,0,0,,,field,Bangladesh,1,Shere Bangla National Stadium,2014,03,Bangladesh_West Indies_2014-03-25,West Indies,West Indies,Bangladesh,True,171
3,DR Smith,Mashrafe Mortaza,CH Gayle,1,0,1,10,,5,4,0,4,-,0,0,,,field,Bangladesh,1,Shere Bangla National Stadium,2014,03,Bangladesh_West Indies_2014-03-25,West Indies,West Indies,Bangladesh,True,171
4,CH Gayle,Mashrafe Mortaza,DR Smith,0,0,0,10,,0,1,0,5,-,0,0,,,field,Bangladesh,1,Shere Bangla National Stadium,2014,03,Bangladesh_West Indies_2014-03-25,West Indies,West Indies,Bangladesh,True,171
5,CH Gayle,Mashrafe Mortaza,DR Smith,0,0,0,10,,0,2,0,6,-,0,0,,,field,Bangladesh,1,Shere Bangla National Stadium,2014,03,Bangladesh_West Indies_2014-03-25,West Indies,West Indies,Bangladesh,True,171
6,CH Gayle,Mashrafe Mortaza,DR Smith,0,1,1,11,,0,3,0,7,wides,0,0,,,field,Bangladesh,1,Shere Bangla National Stadium,2014,03,Bangladesh_West Indies_2014-03-25,West Indies,West Indies,Bangladesh,True,171
7,CH Gayle,Mashrafe Mortaza,DR Smith,0,0,0,11,,0,4,0,8,-,0,0,,,field,Bangladesh,1,Shere Bangla National Stadium,2014,03,Bangladesh_West Indies_2014-03-25,West Indies,West Indies,Bangladesh,True,171
8,DR Smith,Al-Amin Hossain,CH Gayle,0,0,0,11,,5,5,0,1,-,1,0,,,field,Bangladesh,1,Shere Bangla National Stadium,2014,03,Bangladesh_West Indies_2014-03-25,West Indies,West Indies,Bangladesh,True,171
9,DR Smith,Al-Amin Hossain,CH Gayle,1,0,1,12,,6,6,0,2,-,1,0,,,field,Bangladesh,1,Shere Bangla National Stadium,2014,03,Bangladesh_West Indies_2014-03-25,West Indies,West Indies,Bangladesh,True,171
10,CH Gayle,Al-Amin Hossain,DR Smith,1,0,1,13,,1,5,0,3,-,1,0,,,field,Bangladesh,1,Shere Bangla National Stadium,2014,03,Bangladesh_West Indies_2014-03-25,West Indies,West Indies,Bangladesh,True,171
11,DR Smith,Al-Amin Hossain,CH Gayle,0,0,0,13,,6,7,0,4,-,1,0,,,field,Bangladesh,1,Shere Bangla National Stadium,2014,03,Bangladesh_West Indies_2014-03-25,West Indies,West Indies,Bangladesh,True,171
12,DR Smith,Al-Amin Hossain,CH Gayle,1,0,1,14,,7,8,0,5,-,1,0,,,field,Bangladesh,1,Shere Bangla National Stadium,2014,03,Bangladesh_West Indies_2014-03-25,West Indies,West Indies,Bangladesh,True,171
13,CH Gayle,Al-Amin Hossain,DR Smith,0,0,0,14,,1,6,0,6,-,1,0,,,field,Bangladesh,1,Shere Bangla National Stadium,2014,03,Bangladesh_West Indies_2014-03-25,West Indies,West Indies,Bangladesh,True,171
14,DR Smith,Mashrafe Mortaza,CH Gayle,0,0,0,14,,7,9,0,1,-,2,0,,,field,Bangladesh,1,Shere Bangla National Stadium,2014,03,Bangladesh_West Indies_2014-03-25,West Indies,West Indies,Bangladesh,True,171
15,DR Smith,Mashrafe Mortaza,CH Gayle,4,0,4,18,,11,10,0,2,-,2,0,,,field,Bangladesh,1,Shere Bangla National Stadium,2014,03,Bangladesh_West Indies_2014-03-25,West Indies,West Indies,Bangladesh,True,171
16,DR Smith,Mashrafe Mortaza,CH Gayle,2,0,2,20,,13,11,0,3,-,2,0,,,field,Bangladesh,1,Shere Bangla National Stadium,2014,03,Bangladesh_West Indies_2014-03-25,West Indies,West Indies,Bangladesh,True,171
17,DR Smith,Mashrafe Mortaza,CH Gayle,0,0,0,20,,13,12,0,4,-,2,0,,,field,Bangladesh,1,Shere Bangla National Stadium,2014,03,Bangladesh_West Indies_2014-03-25,West Indies,West Indies,Bangladesh,True,171
18,DR Smith,Mashrafe Mortaza,CH Gayle,1,0,1,21,,14,13,0,5,-,2,0,,,field,Bangladesh,1,Shere Bangla National Stadium,2014,03,Bangladesh_West Indies_2014-03-25,West Indies,West Indies,Bangladesh,True,171
19,CH Gayle,Mashrafe Mortaza,DR Smith,0,0,0,21,,1,7,0,6,-,2,0,,,field,Bangladesh,1,Shere Bangla National Stadium,2014,03,Bangladesh_West Indies_2014-03-25,West Indies,West Indies,Bangladesh,True,171
