,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,AD Hales,JP Duminy,MJ Lumb,0,0,0,0,196,0,1,0,1,1,-,0,,,field,England,2,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,England,South Africa,193
1,AD Hales,JP Duminy,MJ Lumb,0,0,0,0,196,0,2,0,2,1,-,0,,,field,England,2,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,England,South Africa,193
2,AD Hales,JP Duminy,MJ Lumb,0,0,0,0,196,0,3,0,3,1,-,0,,,field,England,2,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,England,South Africa,193
3,AD Hales,JP Duminy,MJ Lumb,4,0,4,4,192,4,4,0,4,1,-,0,,,field,England,2,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,England,South Africa,193
4,AD Hales,JP Duminy,MJ Lumb,4,0,4,8,188,8,5,0,5,1,-,0,,,field,England,2,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,England,South Africa,193
5,AD Hales,JP Duminy,MJ Lumb,1,0,1,9,187,9,6,0,6,1,-,0,,,field,England,2,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,England,South Africa,193
6,AD Hales,JA Morkel,MJ Lumb,0,1,1,10,186,9,7,0,1,2,legbyes,0,,,field,England,2,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,England,South Africa,193
7,MJ Lumb,JA Morkel,AD Hales,0,0,0,10,186,0,1,0,2,2,-,0,,,field,England,2,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,England,South Africa,193
8,MJ Lumb,JA Morkel,AD Hales,0,1,1,11,185,0,2,0,3,2,legbyes,0,,,field,England,2,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,England,South Africa,193
9,AD Hales,JA Morkel,MJ Lumb,0,1,1,12,184,9,8,0,4,2,noballs,0,,,field,England,2,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,England,South Africa,193
10,AD Hales,JA Morkel,MJ Lumb,4,0,4,16,180,13,9,0,5,2,-,0,,,field,England,2,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,England,South Africa,193
11,AD Hales,JA Morkel,MJ Lumb,4,0,4,20,176,17,10,0,6,2,-,0,,,field,England,2,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,England,South Africa,193
12,AD Hales,JA Morkel,MJ Lumb,2,0,2,22,174,19,11,0,7,2,-,0,,,field,England,2,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,England,South Africa,193
13,MJ Lumb,BE Hendricks,AD Hales,0,0,0,22,174,0,3,0,1,3,-,0,,,field,England,2,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,England,South Africa,193
14,MJ Lumb,BE Hendricks,AD Hales,6,0,6,28,168,6,4,0,2,3,-,0,,,field,England,2,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,England,South Africa,193
15,MJ Lumb,BE Hendricks,AD Hales,0,0,0,28,168,6,5,0,3,3,-,0,,,field,England,2,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,England,South Africa,193
16,MJ Lumb,BE Hendricks,AD Hales,0,0,0,28,168,6,6,0,4,3,-,0,,,field,England,2,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,England,South Africa,193
17,MJ Lumb,BE Hendricks,AD Hales,1,0,1,29,167,7,7,0,5,3,-,0,,,field,England,2,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,England,South Africa,193
18,AD Hales,BE Hendricks,MJ Lumb,1,0,1,30,166,20,12,0,6,3,-,0,,,field,England,2,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,England,South Africa,193
19,AD Hales,DW Steyn,MJ Lumb,0,1,1,31,165,20,13,0,1,4,wides,0,,,field,England,2,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,England,South Africa,193
20,AD Hales,DW Steyn,MJ Lumb,1,0,1,32,164,21,14,0,2,4,-,0,,,field,England,2,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,England,South Africa,193
21,MJ Lumb,DW Steyn,AD Hales,1,0,1,33,163,8,8,0,3,4,-,0,,,field,England,2,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,England,South Africa,193
22,AD Hales,DW Steyn,MJ Lumb,1,0,1,34,162,22,15,0,4,4,-,0,,,field,England,2,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,England,South Africa,193
