,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,HM Amla,MM Ali,Q de Kock,0,0,0,0,,0,1,0,-,1.0,0,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Offbreak
1,HM Amla,MM Ali,Q de Kock,0,1,1,1,,0,2,0,wides,1.0,0,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Offbreak
2,HM Amla,MM Ali,Q de Kock,4,0,4,5,,4,3,0,-,2.0,0,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Offbreak
3,HM Amla,MM Ali,Q de Kock,1,0,1,6,,5,4,0,-,3.0,0,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Offbreak
4,Q de Kock,MM Ali,HM Amla,0,0,0,6,,0,1,0,-,4.0,0,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,,Right hand Bat,Right arm Offbreak
5,Q de Kock,MM Ali,HM Amla,0,0,0,6,,0,2,0,-,5.0,0,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,,Right hand Bat,Right arm Offbreak
6,Q de Kock,MM Ali,HM Amla,0,0,0,6,,0,3,0,-,6.0,0,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,,Right hand Bat,Right arm Offbreak
7,HM Amla,JW Dernbach,Q de Kock,0,0,0,6,,5,5,0,-,1.0,1,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Fast
8,HM Amla,JW Dernbach,Q de Kock,6,0,6,12,,11,6,0,-,2.0,1,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Fast
9,HM Amla,JW Dernbach,Q de Kock,0,0,0,12,,11,7,0,-,3.0,1,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Fast
10,HM Amla,JW Dernbach,Q de Kock,4,0,4,16,,15,8,0,-,4.0,1,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Fast
11,HM Amla,JW Dernbach,Q de Kock,0,1,1,17,,15,9,0,wides,4.0,1,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Fast
12,HM Amla,JW Dernbach,Q de Kock,0,0,0,17,,15,10,0,-,5.0,1,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Fast
13,HM Amla,JW Dernbach,Q de Kock,0,0,0,17,,15,11,0,-,6.0,1,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Fast
14,Q de Kock,MM Ali,HM Amla,1,0,1,18,,1,4,0,-,1.0,2,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,,Right hand Bat,Right arm Offbreak
15,HM Amla,MM Ali,Q de Kock,4,0,4,22,,19,12,0,-,2.0,2,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Offbreak
16,HM Amla,MM Ali,Q de Kock,0,0,0,22,,19,13,0,-,3.0,2,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Offbreak
17,HM Amla,MM Ali,Q de Kock,0,0,0,22,,19,14,0,-,4.0,2,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Offbreak
18,HM Amla,MM Ali,Q de Kock,6,0,6,28,,25,15,0,-,5.0,2,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Offbreak
19,HM Amla,MM Ali,Q de Kock,0,0,0,28,,25,16,0,-,6.0,2,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Offbreak
20,Q de Kock,JW Dernbach,HM Amla,0,0,0,28,,1,5,0,-,1.0,3,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,,Right hand Bat,Right arm Fast
21,Q de Kock,JW Dernbach,HM Amla,1,0,1,29,,2,6,0,-,2.0,3,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,,Right hand Bat,Right arm Fast
22,HM Amla,JW Dernbach,Q de Kock,1,0,1,30,,26,17,0,-,3.0,3,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Fast
23,Q de Kock,JW Dernbach,HM Amla,0,0,0,30,,2,7,0,-,4.0,3,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,,Right hand Bat,Right arm Fast
24,Q de Kock,JW Dernbach,HM Amla,4,0,4,34,,6,8,0,-,5.0,3,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,,Right hand Bat,Right arm Fast
25,Q de Kock,JW Dernbach,HM Amla,1,0,1,35,,7,9,0,-,6.0,3,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,,Right hand Bat,Right arm Fast
26,Q de Kock,TT Bresnan,HM Amla,0,0,0,35,,7,10,0,-,1.0,4,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,,Right hand Bat,Right arm Medium
27,Q de Kock,TT Bresnan,HM Amla,1,0,1,36,,8,11,0,-,2.0,4,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,,Right hand Bat,Right arm Medium
28,HM Amla,TT Bresnan,Q de Kock,0,0,0,36,,26,18,0,-,3.0,4,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Medium
29,HM Amla,TT Bresnan,Q de Kock,4,0,4,40,,30,19,0,-,4.0,4,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Medium
30,HM Amla,TT Bresnan,Q de Kock,1,0,1,41,,31,20,0,-,5.0,4,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Medium
31,Q de Kock,TT Bresnan,HM Amla,1,0,1,42,,9,12,0,-,6.0,4,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,,Right hand Bat,Right arm Medium
32,Q de Kock,CJ Jordan,HM Amla,1,0,1,43,,10,13,0,-,1.0,5,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,,Right hand Bat,Right arm Fast
33,HM Amla,CJ Jordan,Q de Kock,0,0,0,43,,31,21,0,-,2.0,5,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Fast
34,HM Amla,CJ Jordan,Q de Kock,4,0,4,47,,35,22,0,-,3.0,5,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Fast
35,HM Amla,CJ Jordan,Q de Kock,1,0,1,48,,36,23,0,-,4.0,5,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Fast
36,Q de Kock,CJ Jordan,HM Amla,0,1,1,49,,10,14,0,wides,4.0,5,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,,Right hand Bat,Right arm Fast
37,Q de Kock,CJ Jordan,HM Amla,1,0,1,50,,11,15,0,-,5.0,5,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,,Right hand Bat,Right arm Fast
38,HM Amla,CJ Jordan,Q de Kock,2,0,2,52,,38,24,0,-,6.0,5,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,Right hand Bat,,Right arm Fast
39,Q de Kock,JC Tredwell,HM Amla,1,0,1,53,,12,16,0,-,1.0,6,0,,,field,England,1,Zahur Ahmed Chowdhury Stadium,2014,03,England_South Africa_2014-03-29,South Africa,South Africa,England,True,196,,Right hand Bat,Right arm Offbreak
