,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,AJ Finch,B Kumar,DA Warner,4,0,4,4,4,1,1,-,1,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
1,AJ Finch,B Kumar,DA Warner,0,1,1,5,4,2,2,legbyes,1,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
2,DA Warner,B Kumar,AJ Finch,0,0,0,5,0,1,3,-,1,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
3,DA Warner,B Kumar,AJ Finch,0,0,0,5,0,2,4,-,1,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
4,DA Warner,B Kumar,AJ Finch,0,1,1,6,0,3,5,legbyes,1,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
5,AJ Finch,B Kumar,DA Warner,0,0,0,6,4,3,6,-,1,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
6,DA Warner,MM Sharma,AJ Finch,2,0,2,8,2,4,1,-,2,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
7,DA Warner,MM Sharma,AJ Finch,2,0,2,10,4,5,2,-,2,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
8,DA Warner,MM Sharma,AJ Finch,0,0,0,10,4,6,3,-,2,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
9,DA Warner,MM Sharma,AJ Finch,1,0,1,11,5,7,4,-,2,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
10,AJ Finch,MM Sharma,DA Warner,1,0,1,12,5,4,5,-,2,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
11,DA Warner,MM Sharma,AJ Finch,0,0,0,12,5,8,6,-,2,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
12,AJ Finch,B Kumar,DA Warner,0,0,0,12,5,5,1,-,3,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
13,AJ Finch,B Kumar,DA Warner,0,0,0,12,5,6,2,-,3,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
14,AJ Finch,B Kumar,DA Warner,0,0,0,12,5,7,3,-,3,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
15,AJ Finch,B Kumar,DA Warner,0,0,0,12,5,8,4,-,3,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
16,AJ Finch,B Kumar,DA Warner,1,0,1,13,6,9,5,-,3,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
17,DA Warner,B Kumar,AJ Finch,0,0,0,13,5,9,6,-,3,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
18,AJ Finch,R Ashwin,DA Warner,0,0,0,13,6,10,1,-,4,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
19,AJ Finch,R Ashwin,DA Warner,0,0,0,13,6,11,2,-,4,caught,AJ Finch,V Kohli,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
20,DA Warner,R Ashwin,CL White,0,0,0,13,5,10,3,-,4,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
21,DA Warner,R Ashwin,CL White,0,0,0,13,5,11,4,-,4,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
22,DA Warner,R Ashwin,CL White,6,0,6,19,11,12,5,-,4,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
23,DA Warner,R Ashwin,CL White,0,0,0,19,11,13,6,-,4,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
24,CL White,B Kumar,DA Warner,0,0,0,19,0,1,1,-,5,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
25,CL White,B Kumar,DA Warner,0,0,0,19,0,2,2,-,5,caught,CL White,RA Jadeja,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
26,DA Warner,B Kumar,SR Watson,1,0,1,20,12,14,3,-,5,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
27,SR Watson,B Kumar,DA Warner,0,0,0,20,0,1,4,-,5,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
28,SR Watson,B Kumar,DA Warner,0,0,0,20,0,2,5,-,5,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
29,SR Watson,B Kumar,DA Warner,1,0,1,21,1,3,6,-,5,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
30,SR Watson,MM Sharma,DA Warner,0,0,0,21,1,4,1,-,6,bowled,SR Watson,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
31,GJ Maxwell,MM Sharma,DA Warner,0,0,0,21,0,1,2,-,6,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
32,GJ Maxwell,MM Sharma,DA Warner,0,1,1,22,0,2,3,legbyes,6,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
33,DA Warner,MM Sharma,GJ Maxwell,4,0,4,26,16,15,4,-,6,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
34,DA Warner,MM Sharma,GJ Maxwell,1,0,1,27,17,16,5,-,6,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
35,GJ Maxwell,MM Sharma,DA Warner,0,0,0,27,0,3,6,-,6,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
36,DA Warner,SK Raina,GJ Maxwell,1,0,1,28,18,17,1,-,7,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
37,GJ Maxwell,SK Raina,DA Warner,1,0,1,29,1,4,2,-,7,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
38,DA Warner,SK Raina,GJ Maxwell,1,0,1,30,19,18,3,-,7,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
39,GJ Maxwell,SK Raina,DA Warner,6,0,6,36,7,5,4,-,7,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
40,GJ Maxwell,SK Raina,DA Warner,6,0,6,42,13,6,5,-,7,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
41,GJ Maxwell,SK Raina,DA Warner,1,0,1,43,14,7,6,-,7,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
42,GJ Maxwell,R Ashwin,DA Warner,1,0,1,44,15,8,1,-,8,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
43,DA Warner,R Ashwin,GJ Maxwell,0,0,0,44,19,19,2,-,8,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
44,DA Warner,R Ashwin,GJ Maxwell,0,0,0,44,19,20,3,-,8,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
45,DA Warner,R Ashwin,GJ Maxwell,0,0,0,44,19,21,4,-,8,caught,DA Warner,RG Sharma,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
46,GJ Maxwell,R Ashwin,GJ Bailey,1,0,1,45,16,9,5,-,8,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
47,GJ Bailey,R Ashwin,GJ Maxwell,1,0,1,46,1,1,6,-,8,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
48,GJ Bailey,RA Jadeja,GJ Maxwell,1,0,1,47,2,2,1,-,9,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
49,GJ Maxwell,RA Jadeja,GJ Bailey,6,0,6,53,22,10,2,-,9,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
50,GJ Maxwell,RA Jadeja,GJ Bailey,1,0,1,54,23,11,3,-,9,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
51,GJ Bailey,RA Jadeja,GJ Maxwell,0,0,0,54,2,3,4,-,9,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
52,GJ Bailey,RA Jadeja,GJ Maxwell,0,0,0,54,2,4,5,-,9,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
53,GJ Bailey,RA Jadeja,GJ Maxwell,0,0,0,54,2,5,6,-,9,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
54,GJ Maxwell,R Ashwin,GJ Bailey,0,1,1,55,23,12,1,wides,10,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
55,GJ Maxwell,R Ashwin,GJ Bailey,0,0,0,55,23,13,2,-,10,bowled,GJ Maxwell,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
56,BJ Hodge,R Ashwin,GJ Bailey,0,0,0,55,0,1,3,-,10,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
57,BJ Hodge,R Ashwin,GJ Bailey,1,0,1,56,1,2,4,-,10,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
58,GJ Bailey,R Ashwin,BJ Hodge,0,0,0,56,2,6,5,-,10,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
59,GJ Bailey,R Ashwin,BJ Hodge,0,0,0,56,2,7,6,-,10,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
60,GJ Bailey,R Ashwin,BJ Hodge,0,0,0,56,2,8,7,-,10,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
61,BJ Hodge,RA Jadeja,GJ Bailey,1,0,1,57,2,3,1,-,11,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
62,GJ Bailey,RA Jadeja,BJ Hodge,6,0,6,63,8,9,2,-,11,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
63,GJ Bailey,RA Jadeja,BJ Hodge,0,0,0,63,8,10,3,-,11,caught,GJ Bailey,V Kohli,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
64,BJ Hodge,RA Jadeja,BJ Haddin,0,0,0,63,2,4,4,-,11,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
65,BJ Hodge,RA Jadeja,BJ Haddin,0,0,0,63,2,5,5,-,11,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
66,BJ Hodge,RA Jadeja,BJ Haddin,1,0,1,64,3,6,6,-,11,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
67,BJ Hodge,A Mishra,BJ Haddin,1,0,1,65,4,7,1,-,12,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
68,BJ Haddin,A Mishra,BJ Hodge,1,0,1,66,1,1,2,-,12,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
69,BJ Hodge,A Mishra,BJ Haddin,0,0,0,66,4,8,3,-,12,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
70,BJ Hodge,A Mishra,BJ Haddin,1,0,1,67,5,9,4,-,12,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
71,BJ Haddin,A Mishra,BJ Hodge,1,0,1,68,2,2,5,-,12,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
72,BJ Hodge,A Mishra,BJ Haddin,1,0,1,69,6,10,6,-,12,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
73,BJ Hodge,RA Jadeja,BJ Haddin,1,0,1,70,7,11,1,-,13,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
74,BJ Haddin,RA Jadeja,BJ Hodge,0,0,0,70,2,3,2,-,13,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
75,BJ Haddin,RA Jadeja,BJ Hodge,4,0,4,74,6,4,3,-,13,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
76,BJ Haddin,RA Jadeja,BJ Hodge,0,0,0,74,6,5,4,-,13,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
77,BJ Haddin,RA Jadeja,BJ Hodge,0,0,0,74,6,6,5,-,13,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
78,BJ Haddin,RA Jadeja,BJ Hodge,0,0,0,74,6,7,6,-,13,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
79,BJ Hodge,A Mishra,BJ Haddin,1,0,1,75,8,12,1,-,14,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
80,BJ Haddin,A Mishra,BJ Hodge,0,0,0,75,6,8,2,-,14,caught,BJ Haddin,AM Rahane,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
81,MA Starc,A Mishra,BJ Hodge,0,0,0,75,0,1,3,-,14,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
82,MA Starc,A Mishra,BJ Hodge,0,0,0,75,0,2,4,-,14,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
83,MA Starc,A Mishra,BJ Hodge,1,0,1,76,1,3,5,-,14,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
84,BJ Hodge,A Mishra,MA Starc,1,0,1,77,9,13,6,-,14,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
85,BJ Hodge,RA Jadeja,MA Starc,1,0,1,78,10,14,1,-,15,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
86,MA Starc,RA Jadeja,BJ Hodge,1,0,1,79,2,4,2,-,15,0,,,field,Australia,2,Shere Bangla National Stadium,2014-03-30,India,Australia,India
