,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,DR Smith,KMDN Kulasekara,CH Gayle,4,0,4,4,4,1,1,-,1,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
1,DR Smith,KMDN Kulasekara,CH Gayle,6,0,6,10,10,2,2,-,1,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
2,DR Smith,KMDN Kulasekara,CH Gayle,1,0,1,11,11,3,3,-,1,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
3,CH Gayle,KMDN Kulasekara,DR Smith,0,1,1,12,0,1,4,wides,1,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
4,CH Gayle,KMDN Kulasekara,DR Smith,0,5,5,17,0,2,5,wides,1,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
5,CH Gayle,KMDN Kulasekara,DR Smith,0,0,0,17,0,3,6,-,1,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
6,CH Gayle,KMDN Kulasekara,DR Smith,0,0,0,17,0,4,7,-,1,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
7,CH Gayle,KMDN Kulasekara,DR Smith,0,0,0,17,0,5,8,-,1,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
8,DR Smith,SMSM Senanayake,CH Gayle,0,0,0,17,11,4,1,-,2,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
9,DR Smith,SMSM Senanayake,CH Gayle,1,0,1,18,12,5,2,-,2,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
10,CH Gayle,SMSM Senanayake,DR Smith,0,0,0,18,0,6,3,-,2,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
11,CH Gayle,SMSM Senanayake,DR Smith,1,0,1,19,1,7,4,-,2,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
12,DR Smith,SMSM Senanayake,CH Gayle,1,0,1,20,13,6,5,-,2,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
13,CH Gayle,SMSM Senanayake,DR Smith,0,0,0,20,1,8,6,-,2,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
14,DR Smith,SL Malinga,CH Gayle,0,0,0,20,13,7,1,-,3,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
15,DR Smith,SL Malinga,CH Gayle,1,0,1,21,14,8,2,-,3,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
16,CH Gayle,SL Malinga,DR Smith,0,0,0,21,1,9,3,-,3,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
17,CH Gayle,SL Malinga,DR Smith,0,0,0,21,1,10,4,-,3,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
18,CH Gayle,SL Malinga,DR Smith,0,0,0,21,1,11,5,-,3,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
19,CH Gayle,SL Malinga,DR Smith,1,0,1,22,2,12,6,-,3,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
20,CH Gayle,SMSM Senanayake,DR Smith,0,0,0,22,2,13,1,-,4,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
21,CH Gayle,SMSM Senanayake,DR Smith,1,0,1,23,3,14,2,-,4,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
22,DR Smith,SMSM Senanayake,CH Gayle,0,0,0,23,14,9,3,-,4,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
23,DR Smith,SMSM Senanayake,CH Gayle,0,0,0,23,14,10,4,-,4,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
24,DR Smith,SMSM Senanayake,CH Gayle,2,0,2,25,16,11,5,-,4,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
25,DR Smith,SMSM Senanayake,CH Gayle,0,0,0,25,16,12,6,-,4,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
26,CH Gayle,SL Malinga,DR Smith,0,0,0,25,3,15,1,-,5,bowled,CH Gayle,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
27,LMP Simmons,SL Malinga,DR Smith,1,0,1,26,1,1,2,-,5,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
28,DR Smith,SL Malinga,LMP Simmons,1,0,1,27,17,13,3,-,5,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
29,LMP Simmons,SL Malinga,DR Smith,1,0,1,28,2,2,4,-,5,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
30,DR Smith,SL Malinga,LMP Simmons,0,0,0,28,17,14,5,-,5,bowled,DR Smith,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
31,MN Samuels,SL Malinga,LMP Simmons,0,0,0,28,0,1,6,-,5,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
32,LMP Simmons,KMDN Kulasekara,MN Samuels,0,0,0,28,2,3,1,-,6,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
33,LMP Simmons,KMDN Kulasekara,MN Samuels,0,0,0,28,2,4,2,-,6,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
34,LMP Simmons,KMDN Kulasekara,MN Samuels,0,0,0,28,2,5,3,-,6,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
35,LMP Simmons,KMDN Kulasekara,MN Samuels,1,0,1,29,3,6,4,-,6,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
36,MN Samuels,KMDN Kulasekara,LMP Simmons,0,0,0,29,0,2,5,-,6,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
37,MN Samuels,KMDN Kulasekara,LMP Simmons,1,0,1,30,1,3,6,-,6,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
38,MN Samuels,HMRKB Herath,LMP Simmons,0,0,0,30,1,4,1,-,7,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
39,MN Samuels,HMRKB Herath,LMP Simmons,1,0,1,31,2,5,2,-,7,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
40,LMP Simmons,HMRKB Herath,MN Samuels,1,0,1,32,4,7,3,-,7,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
41,MN Samuels,HMRKB Herath,LMP Simmons,2,0,2,34,4,6,4,-,7,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
42,MN Samuels,HMRKB Herath,LMP Simmons,0,0,0,34,4,7,5,-,7,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
43,MN Samuels,HMRKB Herath,LMP Simmons,0,0,0,34,4,8,6,-,7,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
44,LMP Simmons,S Prasanna,MN Samuels,0,0,0,34,4,8,1,-,8,lbw,LMP Simmons,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
45,DJ Bravo,S Prasanna,MN Samuels,2,0,2,36,2,1,2,-,8,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
46,DJ Bravo,S Prasanna,MN Samuels,0,0,0,36,2,2,3,-,8,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
47,DJ Bravo,S Prasanna,MN Samuels,0,0,0,36,2,3,4,-,8,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
48,DJ Bravo,S Prasanna,MN Samuels,0,0,0,36,2,4,5,-,8,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
49,DJ Bravo,S Prasanna,MN Samuels,4,0,4,40,6,5,6,-,8,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
50,MN Samuels,HMRKB Herath,DJ Bravo,0,0,0,40,4,9,1,-,9,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
51,MN Samuels,HMRKB Herath,DJ Bravo,2,0,2,42,6,10,2,-,9,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
52,MN Samuels,HMRKB Herath,DJ Bravo,0,0,0,42,6,11,3,-,9,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
53,MN Samuels,HMRKB Herath,DJ Bravo,1,0,1,43,7,12,4,-,9,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
54,DJ Bravo,HMRKB Herath,MN Samuels,0,0,0,43,6,6,5,-,9,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
55,DJ Bravo,HMRKB Herath,MN Samuels,1,0,1,44,7,7,6,-,9,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
56,DJ Bravo,S Prasanna,MN Samuels,4,0,4,48,11,8,1,-,10,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
57,DJ Bravo,S Prasanna,MN Samuels,1,0,1,49,12,9,2,-,10,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
58,MN Samuels,S Prasanna,DJ Bravo,0,0,0,49,7,13,3,-,10,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
59,MN Samuels,S Prasanna,DJ Bravo,1,0,1,50,8,14,4,-,10,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
60,DJ Bravo,S Prasanna,MN Samuels,2,0,2,52,14,10,5,-,10,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
61,DJ Bravo,S Prasanna,MN Samuels,1,0,1,53,15,11,6,-,10,0,,,bat,Sri Lanka,2,Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,Sri Lanka
