,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,MDKJ Perera,B Kumar,TM Dilshan,0,0,0,0,130,0,1,0,-,1.0,0,0,,,field,Sri Lanka,2,Shere Bangla National Stadium,2014,04,India_Sri Lanka_2014-04-06,Sri Lanka,Sri Lanka,India,True,134
1,MDKJ Perera,B Kumar,TM Dilshan,4,0,4,4,126,4,2,0,-,2.0,0,0,,,field,Sri Lanka,2,Shere Bangla National Stadium,2014,04,India_Sri Lanka_2014-04-06,Sri Lanka,Sri Lanka,India,True,134
2,MDKJ Perera,B Kumar,TM Dilshan,0,0,0,4,126,4,3,0,-,3.0,0,0,,,field,Sri Lanka,2,Shere Bangla National Stadium,2014,04,India_Sri Lanka_2014-04-06,Sri Lanka,Sri Lanka,India,True,134
3,MDKJ Perera,B Kumar,TM Dilshan,0,0,0,4,126,4,4,0,-,4.0,0,0,,,field,Sri Lanka,2,Shere Bangla National Stadium,2014,04,India_Sri Lanka_2014-04-06,Sri Lanka,Sri Lanka,India,True,134
4,MDKJ Perera,B Kumar,TM Dilshan,0,0,0,4,126,4,5,0,-,5.0,0,0,,,field,Sri Lanka,2,Shere Bangla National Stadium,2014,04,India_Sri Lanka_2014-04-06,Sri Lanka,Sri Lanka,India,True,134
5,MDKJ Perera,B Kumar,TM Dilshan,1,0,1,5,125,5,6,0,-,6.0,0,0,,,field,Sri Lanka,2,Shere Bangla National Stadium,2014,04,India_Sri Lanka_2014-04-06,Sri Lanka,Sri Lanka,India,True,134
6,MDKJ Perera,MM Sharma,TM Dilshan,0,0,0,5,125,5,7,1,-,1.0,1,caught,MDKJ Perera,RA Jadeja,field,Sri Lanka,2,Shere Bangla National Stadium,2014,04,India_Sri Lanka_2014-04-06,Sri Lanka,Sri Lanka,India,True,134
7,TM Dilshan,MM Sharma,DPMD Jayawardene,1,0,1,6,124,1,1,1,-,2.0,1,0,,,field,Sri Lanka,2,Shere Bangla National Stadium,2014,04,India_Sri Lanka_2014-04-06,Sri Lanka,Sri Lanka,India,True,134
8,DPMD Jayawardene,MM Sharma,TM Dilshan,2,0,2,8,122,2,1,1,-,3.0,1,0,,,field,Sri Lanka,2,Shere Bangla National Stadium,2014,04,India_Sri Lanka_2014-04-06,Sri Lanka,Sri Lanka,India,True,134
9,DPMD Jayawardene,MM Sharma,TM Dilshan,0,0,0,8,122,2,2,1,-,4.0,1,0,,,field,Sri Lanka,2,Shere Bangla National Stadium,2014,04,India_Sri Lanka_2014-04-06,Sri Lanka,Sri Lanka,India,True,134
10,DPMD Jayawardene,MM Sharma,TM Dilshan,0,0,0,8,122,2,3,1,-,5.0,1,0,,,field,Sri Lanka,2,Shere Bangla National Stadium,2014,04,India_Sri Lanka_2014-04-06,Sri Lanka,Sri Lanka,India,True,134
11,DPMD Jayawardene,MM Sharma,TM Dilshan,0,0,0,8,122,2,4,1,-,6.0,1,0,,,field,Sri Lanka,2,Shere Bangla National Stadium,2014,04,India_Sri Lanka_2014-04-06,Sri Lanka,Sri Lanka,India,True,134
12,TM Dilshan,B Kumar,DPMD Jayawardene,0,0,0,8,122,1,2,1,-,1.0,2,0,,,field,Sri Lanka,2,Shere Bangla National Stadium,2014,04,India_Sri Lanka_2014-04-06,Sri Lanka,Sri Lanka,India,True,134
13,TM Dilshan,B Kumar,DPMD Jayawardene,4,0,4,12,118,5,3,1,-,2.0,2,0,,,field,Sri Lanka,2,Shere Bangla National Stadium,2014,04,India_Sri Lanka_2014-04-06,Sri Lanka,Sri Lanka,India,True,134
14,TM Dilshan,B Kumar,DPMD Jayawardene,0,0,0,12,118,5,4,1,-,3.0,2,0,,,field,Sri Lanka,2,Shere Bangla National Stadium,2014,04,India_Sri Lanka_2014-04-06,Sri Lanka,Sri Lanka,India,True,134
15,TM Dilshan,B Kumar,DPMD Jayawardene,0,0,0,12,118,5,5,1,-,4.0,2,0,,,field,Sri Lanka,2,Shere Bangla National Stadium,2014,04,India_Sri Lanka_2014-04-06,Sri Lanka,Sri Lanka,India,True,134
16,TM Dilshan,B Kumar,DPMD Jayawardene,0,0,0,12,118,5,6,1,-,5.0,2,0,,,field,Sri Lanka,2,Shere Bangla National Stadium,2014,04,India_Sri Lanka_2014-04-06,Sri Lanka,Sri Lanka,India,True,134
17,TM Dilshan,B Kumar,DPMD Jayawardene,0,0,0,12,118,5,7,1,-,6.0,2,0,,,field,Sri Lanka,2,Shere Bangla National Stadium,2014,04,India_Sri Lanka_2014-04-06,Sri Lanka,Sri Lanka,India,True,134
18,DPMD Jayawardene,MM Sharma,TM Dilshan,4,0,4,16,114,6,5,1,-,1.0,3,0,,,field,Sri Lanka,2,Shere Bangla National Stadium,2014,04,India_Sri Lanka_2014-04-06,Sri Lanka,Sri Lanka,India,True,134
