,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,RG Sharma,SW Tait,S Dhawan,0,0,0,0,,0,1,0,-,1.0,0,0,,,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Right hand Bat,Left hand Bat,Right arm Fast
1,RG Sharma,SW Tait,S Dhawan,4,0,4,4,,4,2,0,-,2.0,0,0,,,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Right hand Bat,Left hand Bat,Right arm Fast
2,RG Sharma,SW Tait,S Dhawan,0,0,0,4,,4,3,0,-,3.0,0,0,,,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Right hand Bat,Left hand Bat,Right arm Fast
3,RG Sharma,SW Tait,S Dhawan,6,0,6,10,,10,4,0,-,4.0,0,0,,,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Right hand Bat,Left hand Bat,Right arm Fast
4,RG Sharma,SW Tait,S Dhawan,0,0,0,10,,10,5,0,-,5.0,0,0,,,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Right hand Bat,Left hand Bat,Right arm Fast
5,RG Sharma,SW Tait,S Dhawan,0,0,0,10,,10,6,0,-,6.0,0,0,,,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Right hand Bat,Left hand Bat,Right arm Fast
6,S Dhawan,KW Richardson,RG Sharma,1,0,1,11,,1,1,0,-,1.0,1,0,,,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Left hand Bat,Right hand Bat,Right arm Fast
7,RG Sharma,KW Richardson,S Dhawan,1,0,1,12,,11,7,0,-,2.0,1,0,,,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Right hand Bat,Left hand Bat,Right arm Fast
8,S Dhawan,KW Richardson,RG Sharma,3,0,3,15,,4,2,0,-,3.0,1,0,,,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Left hand Bat,Right hand Bat,Right arm Fast
9,RG Sharma,KW Richardson,S Dhawan,0,0,0,15,,11,8,0,-,4.0,1,0,,,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Right hand Bat,Left hand Bat,Right arm Fast
10,RG Sharma,KW Richardson,S Dhawan,3,0,3,18,,14,9,0,-,5.0,1,0,,,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Right hand Bat,Left hand Bat,Right arm Fast
11,S Dhawan,KW Richardson,RG Sharma,0,0,0,18,,4,3,0,-,6.0,1,0,,,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Left hand Bat,Right hand Bat,Right arm Fast
12,RG Sharma,SW Tait,S Dhawan,0,0,0,18,,14,10,0,-,1.0,2,0,,,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Right hand Bat,Left hand Bat,Right arm Fast
13,RG Sharma,SW Tait,S Dhawan,4,0,4,22,,18,11,0,-,2.0,2,0,,,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Right hand Bat,Left hand Bat,Right arm Fast
14,RG Sharma,SW Tait,S Dhawan,0,1,1,23,,18,12,0,wides,2.0,2,0,,,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Right hand Bat,Left hand Bat,Right arm Fast
15,RG Sharma,SW Tait,S Dhawan,0,0,0,23,,18,13,0,-,3.0,2,0,,,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Right hand Bat,Left hand Bat,Right arm Fast
16,RG Sharma,SW Tait,S Dhawan,4,0,4,27,,22,14,0,-,4.0,2,0,,,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Right hand Bat,Left hand Bat,Right arm Fast
17,RG Sharma,SW Tait,S Dhawan,0,1,1,28,,22,15,0,wides,4.0,2,0,,,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Right hand Bat,Left hand Bat,Right arm Fast
18,RG Sharma,SW Tait,S Dhawan,1,0,1,29,,23,16,0,-,5.0,2,0,,,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Right hand Bat,Left hand Bat,Right arm Fast
19,S Dhawan,SW Tait,RG Sharma,0,2,2,31,,4,4,0,legbyes,6.0,2,0,,,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Left hand Bat,Right hand Bat,Right arm Fast
20,RG Sharma,JP Faulkner,S Dhawan,1,0,1,32,,24,17,0,-,1.0,3,0,,,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Right hand Bat,Left hand Bat,Left arm Fast
21,S Dhawan,JP Faulkner,RG Sharma,1,0,1,33,,5,5,0,-,2.0,3,0,,,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Left hand Bat,Right hand Bat,Left arm Fast
22,RG Sharma,JP Faulkner,S Dhawan,0,0,0,33,,24,18,0,-,3.0,3,0,,,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Right hand Bat,Left hand Bat,Left arm Fast
23,RG Sharma,JP Faulkner,S Dhawan,2,0,2,35,,26,19,0,-,4.0,3,0,,,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Right hand Bat,Left hand Bat,Left arm Fast
24,RG Sharma,JP Faulkner,S Dhawan,4,0,4,39,,30,20,0,-,5.0,3,0,,,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Right hand Bat,Left hand Bat,Left arm Fast
25,RG Sharma,JP Faulkner,S Dhawan,1,0,1,40,,31,21,0,-,6.0,3,0,,,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Right hand Bat,Left hand Bat,Left arm Fast
26,RG Sharma,SR Watson,S Dhawan,0,0,0,40,,31,22,1,-,1.0,4,caught,RG Sharma,JP Faulkner,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Right hand Bat,Left hand Bat,Right arm Fast
27,V Kohli,SR Watson,S Dhawan,1,0,1,41,,1,1,1,-,2.0,4,0,,,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Right hand Bat,Left hand Bat,Right arm Fast
28,S Dhawan,SR Watson,V Kohli,0,0,0,41,,5,6,1,-,3.0,4,0,,,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Left hand Bat,Right hand Bat,Right arm Fast
29,S Dhawan,SR Watson,V Kohli,0,0,0,41,,5,7,1,-,4.0,4,0,,,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Left hand Bat,Right hand Bat,Right arm Fast
30,S Dhawan,SR Watson,V Kohli,0,0,0,41,,5,8,2,-,5.0,4,caught,S Dhawan,MS Wade,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Left hand Bat,Right hand Bat,Right arm Fast
31,SK Raina,SR Watson,V Kohli,0,0,0,41,,0,1,2,-,6.0,4,0,,,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Left hand Bat,Right hand Bat,Right arm Fast
32,V Kohli,SW Tait,SK Raina,0,1,1,42,,1,2,2,wides,0.0,5,0,,,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Right hand Bat,Left hand Bat,Right arm Fast
33,V Kohli,SW Tait,SK Raina,0,0,0,42,,1,3,2,-,1.0,5,0,,,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Right hand Bat,Left hand Bat,Right arm Fast
34,V Kohli,SW Tait,SK Raina,4,0,4,46,,5,4,2,-,2.0,5,0,,,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Right hand Bat,Left hand Bat,Right arm Fast
35,V Kohli,SW Tait,SK Raina,0,1,1,47,,5,5,2,wides,2.0,5,0,,,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Right hand Bat,Left hand Bat,Right arm Fast
36,V Kohli,SW Tait,SK Raina,0,0,0,47,,5,6,2,-,3.0,5,0,,,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Right hand Bat,Left hand Bat,Right arm Fast
37,V Kohli,SW Tait,SK Raina,2,0,2,49,,7,7,2,-,4.0,5,0,,,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Right hand Bat,Left hand Bat,Right arm Fast
38,V Kohli,SW Tait,SK Raina,1,0,1,50,,8,8,2,-,5.0,5,0,,,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Right hand Bat,Left hand Bat,Right arm Fast
39,SK Raina,SW Tait,V Kohli,4,0,4,54,,4,2,2,-,6.0,5,0,,,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Left hand Bat,Right hand Bat,Right arm Fast
40,V Kohli,SR Watson,SK Raina,1,0,1,55,,9,9,2,-,1.0,6,0,,,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Right hand Bat,Left hand Bat,Right arm Fast
41,SK Raina,SR Watson,V Kohli,0,0,0,55,,4,3,2,-,2.0,6,0,,,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Left hand Bat,Right hand Bat,Right arm Fast
42,SK Raina,SR Watson,V Kohli,2,0,2,57,,6,4,2,-,3.0,6,0,,,field,Australia,1,Adelaide Oval,2016,01,Australia_India_2016-01-26,India,India,Australia,True,188,Left hand Bat,Right hand Bat,Right arm Fast
