,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,JJ Roy,Imad Wasim,AD Hales,0,0,0,0,140,0,1,0,1,0,-,0,,,bat,England,1,Old Trafford,2016,09,England_Pakistan_2016-09-07,Pakistan,England,Pakistan,135
1,JJ Roy,Imad Wasim,AD Hales,0,0,0,0,140,0,2,0,2,0,-,0,,,bat,England,1,Old Trafford,2016,09,England_Pakistan_2016-09-07,Pakistan,England,Pakistan,135
2,JJ Roy,Imad Wasim,AD Hales,0,0,0,0,140,0,3,0,3,0,-,0,,,bat,England,1,Old Trafford,2016,09,England_Pakistan_2016-09-07,Pakistan,England,Pakistan,135
3,JJ Roy,Imad Wasim,AD Hales,1,0,1,1,139,1,4,0,4,0,-,0,,,bat,England,1,Old Trafford,2016,09,England_Pakistan_2016-09-07,Pakistan,England,Pakistan,135
4,AD Hales,Imad Wasim,JJ Roy,1,0,1,2,138,1,1,0,5,0,-,0,,,bat,England,1,Old Trafford,2016,09,England_Pakistan_2016-09-07,Pakistan,England,Pakistan,135
5,JJ Roy,Imad Wasim,AD Hales,0,0,0,2,138,1,5,0,6,0,-,0,,,bat,England,1,Old Trafford,2016,09,England_Pakistan_2016-09-07,Pakistan,England,Pakistan,135
6,AD Hales,Sohail Tanvir,JJ Roy,2,0,2,4,136,3,2,0,1,1,-,0,,,bat,England,1,Old Trafford,2016,09,England_Pakistan_2016-09-07,Pakistan,England,Pakistan,135
7,AD Hales,Sohail Tanvir,JJ Roy,0,1,1,5,135,3,3,0,2,1,wides,0,,,bat,England,1,Old Trafford,2016,09,England_Pakistan_2016-09-07,Pakistan,England,Pakistan,135
8,AD Hales,Sohail Tanvir,JJ Roy,1,0,1,6,134,4,4,0,3,1,-,0,,,bat,England,1,Old Trafford,2016,09,England_Pakistan_2016-09-07,Pakistan,England,Pakistan,135
9,JJ Roy,Sohail Tanvir,AD Hales,0,0,0,6,134,1,6,0,4,1,-,0,,,bat,England,1,Old Trafford,2016,09,England_Pakistan_2016-09-07,Pakistan,England,Pakistan,135
10,JJ Roy,Sohail Tanvir,AD Hales,0,0,0,6,134,1,7,0,5,1,-,0,,,bat,England,1,Old Trafford,2016,09,England_Pakistan_2016-09-07,Pakistan,England,Pakistan,135
11,JJ Roy,Sohail Tanvir,AD Hales,1,0,1,7,133,2,8,0,6,1,-,0,,,bat,England,1,Old Trafford,2016,09,England_Pakistan_2016-09-07,Pakistan,England,Pakistan,135
12,AD Hales,Sohail Tanvir,JJ Roy,1,0,1,8,132,5,5,0,7,1,-,0,,,bat,England,1,Old Trafford,2016,09,England_Pakistan_2016-09-07,Pakistan,England,Pakistan,135
13,AD Hales,Mohammad Amir,JJ Roy,4,0,4,12,128,9,6,0,1,2,-,0,,,bat,England,1,Old Trafford,2016,09,England_Pakistan_2016-09-07,Pakistan,England,Pakistan,135
14,AD Hales,Mohammad Amir,JJ Roy,1,0,1,13,127,10,7,0,2,2,-,0,,,bat,England,1,Old Trafford,2016,09,England_Pakistan_2016-09-07,Pakistan,England,Pakistan,135
15,JJ Roy,Mohammad Amir,AD Hales,1,0,1,14,126,3,9,0,3,2,-,0,,,bat,England,1,Old Trafford,2016,09,England_Pakistan_2016-09-07,Pakistan,England,Pakistan,135
16,AD Hales,Mohammad Amir,JJ Roy,0,0,0,14,126,10,8,0,4,2,-,0,,,bat,England,1,Old Trafford,2016,09,England_Pakistan_2016-09-07,Pakistan,England,Pakistan,135
17,AD Hales,Mohammad Amir,JJ Roy,0,0,0,14,126,10,9,0,5,2,-,0,,,bat,England,1,Old Trafford,2016,09,England_Pakistan_2016-09-07,Pakistan,England,Pakistan,135
18,AD Hales,Mohammad Amir,JJ Roy,4,0,4,18,122,14,10,0,6,2,-,0,,,bat,England,1,Old Trafford,2016,09,England_Pakistan_2016-09-07,Pakistan,England,Pakistan,135
19,JJ Roy,Sohail Tanvir,AD Hales,0,0,0,18,122,3,10,0,1,3,-,0,,,bat,England,1,Old Trafford,2016,09,England_Pakistan_2016-09-07,Pakistan,England,Pakistan,135
20,JJ Roy,Sohail Tanvir,AD Hales,6,0,6,24,116,9,11,0,2,3,-,0,,,bat,England,1,Old Trafford,2016,09,England_Pakistan_2016-09-07,Pakistan,England,Pakistan,135
21,JJ Roy,Sohail Tanvir,AD Hales,0,0,0,24,116,9,12,0,3,3,-,0,,,bat,England,1,Old Trafford,2016,09,England_Pakistan_2016-09-07,Pakistan,England,Pakistan,135
22,JJ Roy,Sohail Tanvir,AD Hales,1,0,1,25,115,10,13,0,4,3,-,0,,,bat,England,1,Old Trafford,2016,09,England_Pakistan_2016-09-07,Pakistan,England,Pakistan,135
23,AD Hales,Sohail Tanvir,JJ Roy,1,0,1,26,114,15,11,0,5,3,-,0,,,bat,England,1,Old Trafford,2016,09,England_Pakistan_2016-09-07,Pakistan,England,Pakistan,135
24,JJ Roy,Sohail Tanvir,AD Hales,0,0,0,26,114,10,14,0,6,3,-,0,,,bat,England,1,Old Trafford,2016,09,England_Pakistan_2016-09-07,Pakistan,England,Pakistan,135
25,AD Hales,Mohammad Amir,JJ Roy,1,0,1,27,113,16,12,0,1,4,-,0,,,bat,England,1,Old Trafford,2016,09,England_Pakistan_2016-09-07,Pakistan,England,Pakistan,135
26,JJ Roy,Mohammad Amir,AD Hales,4,0,4,31,109,14,15,0,2,4,-,0,,,bat,England,1,Old Trafford,2016,09,England_Pakistan_2016-09-07,Pakistan,England,Pakistan,135
27,JJ Roy,Mohammad Amir,AD Hales,1,0,1,32,108,15,16,0,3,4,-,0,,,bat,England,1,Old Trafford,2016,09,England_Pakistan_2016-09-07,Pakistan,England,Pakistan,135
28,AD Hales,Mohammad Amir,JJ Roy,2,0,2,34,106,18,13,0,4,4,-,0,,,bat,England,1,Old Trafford,2016,09,England_Pakistan_2016-09-07,Pakistan,England,Pakistan,135
29,AD Hales,Mohammad Amir,JJ Roy,4,0,4,38,102,22,14,0,5,4,-,0,,,bat,England,1,Old Trafford,2016,09,England_Pakistan_2016-09-07,Pakistan,England,Pakistan,135
30,AD Hales,Mohammad Amir,JJ Roy,1,0,1,39,101,23,15,0,6,4,-,0,,,bat,England,1,Old Trafford,2016,09,England_Pakistan_2016-09-07,Pakistan,England,Pakistan,135
31,AD Hales,Sohail Tanvir,JJ Roy,0,1,1,40,100,23,16,0,1,5,wides,0,,,bat,England,1,Old Trafford,2016,09,England_Pakistan_2016-09-07,Pakistan,England,Pakistan,135
32,AD Hales,Sohail Tanvir,JJ Roy,4,0,4,44,96,27,17,0,2,5,-,0,,,bat,England,1,Old Trafford,2016,09,England_Pakistan_2016-09-07,Pakistan,England,Pakistan,135
33,AD Hales,Sohail Tanvir,JJ Roy,4,0,4,48,92,31,18,0,3,5,-,0,,,bat,England,1,Old Trafford,2016,09,England_Pakistan_2016-09-07,Pakistan,England,Pakistan,135
34,AD Hales,Sohail Tanvir,JJ Roy,0,0,0,48,92,31,19,0,4,5,-,0,,,bat,England,1,Old Trafford,2016,09,England_Pakistan_2016-09-07,Pakistan,England,Pakistan,135
35,AD Hales,Sohail Tanvir,JJ Roy,1,0,1,49,91,32,20,0,5,5,-,0,,,bat,England,1,Old Trafford,2016,09,England_Pakistan_2016-09-07,Pakistan,England,Pakistan,135
36,JJ Roy,Sohail Tanvir,AD Hales,4,0,4,53,87,19,17,0,6,5,-,0,,,bat,England,1,Old Trafford,2016,09,England_Pakistan_2016-09-07,Pakistan,England,Pakistan,135
37,JJ Roy,Sohail Tanvir,AD Hales,0,0,0,53,87,19,18,0,7,5,-,0,,,bat,England,1,Old Trafford,2016,09,England_Pakistan_2016-09-07,Pakistan,England,Pakistan,135
38,AD Hales,Imad Wasim,JJ Roy,0,0,0,53,87,32,21,0,1,6,-,0,,,bat,England,1,Old Trafford,2016,09,England_Pakistan_2016-09-07,Pakistan,England,Pakistan,135
39,AD Hales,Imad Wasim,JJ Roy,1,0,1,54,86,33,22,0,2,6,-,0,,,bat,England,1,Old Trafford,2016,09,England_Pakistan_2016-09-07,Pakistan,England,Pakistan,135
40,JJ Roy,Imad Wasim,AD Hales,2,0,2,56,84,21,19,0,3,6,-,0,,,bat,England,1,Old Trafford,2016,09,England_Pakistan_2016-09-07,Pakistan,England,Pakistan,135
