,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,MJ Guptill,Mohammad Amir,KS Williamson,0,1,1,1,0,1,1,wides,1,0,,,field,New Zealand,2,Eden Park,2016-01-15,Pakistan,New Zealand,Pakistan
1,MJ Guptill,Mohammad Amir,KS Williamson,1,0,1,2,1,2,2,-,1,0,,,field,New Zealand,2,Eden Park,2016-01-15,Pakistan,New Zealand,Pakistan
2,KS Williamson,Mohammad Amir,MJ Guptill,2,0,2,4,2,1,3,-,1,0,,,field,New Zealand,2,Eden Park,2016-01-15,Pakistan,New Zealand,Pakistan
3,KS Williamson,Mohammad Amir,MJ Guptill,0,0,0,4,2,2,4,-,1,0,,,field,New Zealand,2,Eden Park,2016-01-15,Pakistan,New Zealand,Pakistan
4,KS Williamson,Mohammad Amir,MJ Guptill,0,0,0,4,2,3,5,-,1,0,,,field,New Zealand,2,Eden Park,2016-01-15,Pakistan,New Zealand,Pakistan
5,KS Williamson,Mohammad Amir,MJ Guptill,0,0,0,4,2,4,6,-,1,0,,,field,New Zealand,2,Eden Park,2016-01-15,Pakistan,New Zealand,Pakistan
6,KS Williamson,Mohammad Amir,MJ Guptill,0,4,4,8,2,5,7,legbyes,1,0,,,field,New Zealand,2,Eden Park,2016-01-15,Pakistan,New Zealand,Pakistan
7,MJ Guptill,Imad Wasim,KS Williamson,0,0,0,8,1,3,1,-,2,0,,,field,New Zealand,2,Eden Park,2016-01-15,Pakistan,New Zealand,Pakistan
8,MJ Guptill,Imad Wasim,KS Williamson,1,0,1,9,2,4,2,-,2,0,,,field,New Zealand,2,Eden Park,2016-01-15,Pakistan,New Zealand,Pakistan
9,KS Williamson,Imad Wasim,MJ Guptill,0,0,0,9,2,6,3,-,2,0,,,field,New Zealand,2,Eden Park,2016-01-15,Pakistan,New Zealand,Pakistan
10,KS Williamson,Imad Wasim,MJ Guptill,0,0,0,9,2,7,4,-,2,0,,,field,New Zealand,2,Eden Park,2016-01-15,Pakistan,New Zealand,Pakistan
11,KS Williamson,Imad Wasim,MJ Guptill,0,0,0,9,2,8,5,-,2,run out,MJ Guptill,Shahid Afridi;Imad Wasim,field,New Zealand,2,Eden Park,2016-01-15,Pakistan,New Zealand,Pakistan
12,KS Williamson,Imad Wasim,C Munro,0,0,0,9,2,9,6,-,2,0,,,field,New Zealand,2,Eden Park,2016-01-15,Pakistan,New Zealand,Pakistan
13,C Munro,Umar Gul,KS Williamson,1,0,1,10,1,1,1,-,3,0,,,field,New Zealand,2,Eden Park,2016-01-15,Pakistan,New Zealand,Pakistan
14,KS Williamson,Umar Gul,C Munro,1,0,1,11,3,10,2,-,3,0,,,field,New Zealand,2,Eden Park,2016-01-15,Pakistan,New Zealand,Pakistan
15,C Munro,Umar Gul,KS Williamson,1,0,1,12,2,2,3,-,3,0,,,field,New Zealand,2,Eden Park,2016-01-15,Pakistan,New Zealand,Pakistan
16,KS Williamson,Umar Gul,C Munro,0,0,0,12,3,11,4,-,3,0,,,field,New Zealand,2,Eden Park,2016-01-15,Pakistan,New Zealand,Pakistan
17,KS Williamson,Umar Gul,C Munro,1,0,1,13,4,12,5,-,3,0,,,field,New Zealand,2,Eden Park,2016-01-15,Pakistan,New Zealand,Pakistan
18,C Munro,Umar Gul,KS Williamson,0,0,0,13,2,3,6,-,3,0,,,field,New Zealand,2,Eden Park,2016-01-15,Pakistan,New Zealand,Pakistan
19,KS Williamson,Mohammad Amir,C Munro,0,0,0,13,4,13,1,-,4,0,,,field,New Zealand,2,Eden Park,2016-01-15,Pakistan,New Zealand,Pakistan
20,KS Williamson,Mohammad Amir,C Munro,1,0,1,14,5,14,2,-,4,0,,,field,New Zealand,2,Eden Park,2016-01-15,Pakistan,New Zealand,Pakistan
21,C Munro,Mohammad Amir,KS Williamson,4,0,4,18,6,4,3,-,4,0,,,field,New Zealand,2,Eden Park,2016-01-15,Pakistan,New Zealand,Pakistan
22,C Munro,Mohammad Amir,KS Williamson,0,1,1,19,6,5,4,legbyes,4,0,,,field,New Zealand,2,Eden Park,2016-01-15,Pakistan,New Zealand,Pakistan
23,KS Williamson,Mohammad Amir,C Munro,1,0,1,20,6,15,5,-,4,0,,,field,New Zealand,2,Eden Park,2016-01-15,Pakistan,New Zealand,Pakistan
24,C Munro,Mohammad Amir,KS Williamson,0,0,0,20,6,6,6,-,4,0,,,field,New Zealand,2,Eden Park,2016-01-15,Pakistan,New Zealand,Pakistan
25,KS Williamson,Imad Wasim,C Munro,1,0,1,21,7,16,1,-,5,0,,,field,New Zealand,2,Eden Park,2016-01-15,Pakistan,New Zealand,Pakistan
