,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,MJ Guptill,Umar Gul,KS Williamson,0,0,0,0,168,0,1,0,-,1.0,0,0,bat,Pakistan,2,Seddon Park,2016,01,New Zealand_Pakistan_2016-01-17,New Zealand,New Zealand,Pakistan,True,171,Right hand Bat,Right hand Bat,Right arm Fast
1,MJ Guptill,Umar Gul,KS Williamson,0,0,0,0,168,0,2,0,-,2.0,0,0,bat,Pakistan,2,Seddon Park,2016,01,New Zealand_Pakistan_2016-01-17,New Zealand,New Zealand,Pakistan,True,171,Right hand Bat,Right hand Bat,Right arm Fast
2,MJ Guptill,Umar Gul,KS Williamson,3,0,3,3,165,3,3,0,-,3.0,0,0,bat,Pakistan,2,Seddon Park,2016,01,New Zealand_Pakistan_2016-01-17,New Zealand,New Zealand,Pakistan,True,171,Right hand Bat,Right hand Bat,Right arm Fast
3,KS Williamson,Umar Gul,MJ Guptill,1,0,1,4,164,1,1,0,-,4.0,0,0,bat,Pakistan,2,Seddon Park,2016,01,New Zealand_Pakistan_2016-01-17,New Zealand,New Zealand,Pakistan,True,171,Right hand Bat,Right hand Bat,Right arm Fast
4,MJ Guptill,Umar Gul,KS Williamson,0,0,0,4,164,3,4,0,-,5.0,0,0,bat,Pakistan,2,Seddon Park,2016,01,New Zealand_Pakistan_2016-01-17,New Zealand,New Zealand,Pakistan,True,171,Right hand Bat,Right hand Bat,Right arm Fast
5,MJ Guptill,Umar Gul,KS Williamson,6,0,6,10,158,9,5,0,-,6.0,0,0,bat,Pakistan,2,Seddon Park,2016,01,New Zealand_Pakistan_2016-01-17,New Zealand,New Zealand,Pakistan,True,171,Right hand Bat,Right hand Bat,Right arm Fast
6,KS Williamson,Mohammad Amir,MJ Guptill,0,0,0,10,158,1,2,0,-,1.0,1,0,bat,Pakistan,2,Seddon Park,2016,01,New Zealand_Pakistan_2016-01-17,New Zealand,New Zealand,Pakistan,True,171,Right hand Bat,Right hand Bat,Left arm Fast
7,KS Williamson,Mohammad Amir,MJ Guptill,4,0,4,14,154,5,3,0,-,2.0,1,0,bat,Pakistan,2,Seddon Park,2016,01,New Zealand_Pakistan_2016-01-17,New Zealand,New Zealand,Pakistan,True,171,Right hand Bat,Right hand Bat,Left arm Fast
8,KS Williamson,Mohammad Amir,MJ Guptill,1,0,1,15,153,6,4,0,-,3.0,1,0,bat,Pakistan,2,Seddon Park,2016,01,New Zealand_Pakistan_2016-01-17,New Zealand,New Zealand,Pakistan,True,171,Right hand Bat,Right hand Bat,Left arm Fast
9,MJ Guptill,Mohammad Amir,KS Williamson,0,0,0,15,153,9,6,0,-,4.0,1,0,bat,Pakistan,2,Seddon Park,2016,01,New Zealand_Pakistan_2016-01-17,New Zealand,New Zealand,Pakistan,True,171,Right hand Bat,Right hand Bat,Left arm Fast
10,MJ Guptill,Mohammad Amir,KS Williamson,1,0,1,16,152,10,7,0,-,5.0,1,0,bat,Pakistan,2,Seddon Park,2016,01,New Zealand_Pakistan_2016-01-17,New Zealand,New Zealand,Pakistan,True,171,Right hand Bat,Right hand Bat,Left arm Fast
11,KS Williamson,Mohammad Amir,MJ Guptill,1,0,1,17,151,7,5,0,-,6.0,1,0,bat,Pakistan,2,Seddon Park,2016,01,New Zealand_Pakistan_2016-01-17,New Zealand,New Zealand,Pakistan,True,171,Right hand Bat,Right hand Bat,Left arm Fast
12,KS Williamson,Imad Wasim,MJ Guptill,4,0,4,21,147,11,6,0,-,1.0,2,0,bat,Pakistan,2,Seddon Park,2016,01,New Zealand_Pakistan_2016-01-17,New Zealand,New Zealand,Pakistan,True,171,Right hand Bat,Right hand Bat,Left arm Orthodox
13,KS Williamson,Imad Wasim,MJ Guptill,4,0,4,25,143,15,7,0,-,2.0,2,0,bat,Pakistan,2,Seddon Park,2016,01,New Zealand_Pakistan_2016-01-17,New Zealand,New Zealand,Pakistan,True,171,Right hand Bat,Right hand Bat,Left arm Orthodox
14,KS Williamson,Imad Wasim,MJ Guptill,1,0,1,26,142,16,8,0,-,3.0,2,0,bat,Pakistan,2,Seddon Park,2016,01,New Zealand_Pakistan_2016-01-17,New Zealand,New Zealand,Pakistan,True,171,Right hand Bat,Right hand Bat,Left arm Orthodox
