,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,H Masakadza,Sohail Tanvir,CJ Chibhabha,0,0,0,0,0,1,1,-,1,0,,,bat,Pakistan,2,Harare Sports Club,2015-09-29,Zimbabwe,Pakistan
1,H Masakadza,Sohail Tanvir,CJ Chibhabha,0,0,0,0,0,2,2,-,1,0,,,bat,Pakistan,2,Harare Sports Club,2015-09-29,Zimbabwe,Pakistan
2,H Masakadza,Sohail Tanvir,CJ Chibhabha,0,0,0,0,0,3,3,-,1,0,,,bat,Pakistan,2,Harare Sports Club,2015-09-29,Zimbabwe,Pakistan
3,H Masakadza,Sohail Tanvir,CJ Chibhabha,0,0,0,0,0,4,4,-,1,0,,,bat,Pakistan,2,Harare Sports Club,2015-09-29,Zimbabwe,Pakistan
4,H Masakadza,Sohail Tanvir,CJ Chibhabha,0,1,1,1,0,5,5,legbyes,1,0,,,bat,Pakistan,2,Harare Sports Club,2015-09-29,Zimbabwe,Pakistan
5,CJ Chibhabha,Sohail Tanvir,H Masakadza,2,0,2,3,2,1,6,-,1,0,,,bat,Pakistan,2,Harare Sports Club,2015-09-29,Zimbabwe,Pakistan
6,H Masakadza,Mohammad Irfan,CJ Chibhabha,0,1,1,4,0,6,1,legbyes,2,0,,,bat,Pakistan,2,Harare Sports Club,2015-09-29,Zimbabwe,Pakistan
7,CJ Chibhabha,Mohammad Irfan,H Masakadza,0,0,0,4,2,2,2,-,2,0,,,bat,Pakistan,2,Harare Sports Club,2015-09-29,Zimbabwe,Pakistan
8,CJ Chibhabha,Mohammad Irfan,H Masakadza,1,0,1,5,3,3,3,-,2,0,,,bat,Pakistan,2,Harare Sports Club,2015-09-29,Zimbabwe,Pakistan
9,H Masakadza,Mohammad Irfan,CJ Chibhabha,1,0,1,6,1,7,4,-,2,0,,,bat,Pakistan,2,Harare Sports Club,2015-09-29,Zimbabwe,Pakistan
10,CJ Chibhabha,Mohammad Irfan,H Masakadza,0,0,0,6,3,4,5,-,2,0,,,bat,Pakistan,2,Harare Sports Club,2015-09-29,Zimbabwe,Pakistan
11,CJ Chibhabha,Mohammad Irfan,H Masakadza,0,0,0,6,3,5,6,-,2,0,,,bat,Pakistan,2,Harare Sports Club,2015-09-29,Zimbabwe,Pakistan
12,H Masakadza,Sohail Tanvir,CJ Chibhabha,0,0,0,6,1,8,1,-,3,0,,,bat,Pakistan,2,Harare Sports Club,2015-09-29,Zimbabwe,Pakistan
13,H Masakadza,Sohail Tanvir,CJ Chibhabha,1,0,1,7,2,9,2,-,3,0,,,bat,Pakistan,2,Harare Sports Club,2015-09-29,Zimbabwe,Pakistan
14,CJ Chibhabha,Sohail Tanvir,H Masakadza,0,0,0,7,3,6,3,-,3,0,,,bat,Pakistan,2,Harare Sports Club,2015-09-29,Zimbabwe,Pakistan
15,CJ Chibhabha,Sohail Tanvir,H Masakadza,0,0,0,7,3,7,4,-,3,lbw,CJ Chibhabha,,bat,Pakistan,2,Harare Sports Club,2015-09-29,Zimbabwe,Pakistan
16,CR Ervine,Sohail Tanvir,H Masakadza,0,0,0,7,0,1,5,-,3,0,,,bat,Pakistan,2,Harare Sports Club,2015-09-29,Zimbabwe,Pakistan
17,CR Ervine,Sohail Tanvir,H Masakadza,0,0,0,7,0,2,6,-,3,0,,,bat,Pakistan,2,Harare Sports Club,2015-09-29,Zimbabwe,Pakistan
18,H Masakadza,Mohammad Irfan,CR Ervine,1,0,1,8,3,10,1,-,4,0,,,bat,Pakistan,2,Harare Sports Club,2015-09-29,Zimbabwe,Pakistan
19,CR Ervine,Mohammad Irfan,H Masakadza,1,0,1,9,1,3,2,-,4,0,,,bat,Pakistan,2,Harare Sports Club,2015-09-29,Zimbabwe,Pakistan
20,H Masakadza,Mohammad Irfan,CR Ervine,6,0,6,15,9,11,3,-,4,0,,,bat,Pakistan,2,Harare Sports Club,2015-09-29,Zimbabwe,Pakistan
21,H Masakadza,Mohammad Irfan,CR Ervine,0,0,0,15,9,12,4,-,4,0,,,bat,Pakistan,2,Harare Sports Club,2015-09-29,Zimbabwe,Pakistan
22,H Masakadza,Mohammad Irfan,CR Ervine,0,0,0,15,9,13,5,-,4,0,,,bat,Pakistan,2,Harare Sports Club,2015-09-29,Zimbabwe,Pakistan
23,H Masakadza,Mohammad Irfan,CR Ervine,0,0,0,15,9,14,6,-,4,caught,H Masakadza,Imran Khan (1),bat,Pakistan,2,Harare Sports Club,2015-09-29,Zimbabwe,Pakistan
24,R Mutumbami,Imad Wasim,CR Ervine,0,1,1,16,0,1,1,wides,5,0,,,bat,Pakistan,2,Harare Sports Club,2015-09-29,Zimbabwe,Pakistan
25,R Mutumbami,Imad Wasim,CR Ervine,0,0,0,16,0,2,2,-,5,0,,,bat,Pakistan,2,Harare Sports Club,2015-09-29,Zimbabwe,Pakistan
26,R Mutumbami,Imad Wasim,CR Ervine,0,0,0,16,0,3,3,-,5,0,,,bat,Pakistan,2,Harare Sports Club,2015-09-29,Zimbabwe,Pakistan
27,R Mutumbami,Imad Wasim,CR Ervine,0,0,0,16,0,4,4,-,5,run out,CR Ervine,Sohaib Maqsood;Imad Wasim,bat,Pakistan,2,Harare Sports Club,2015-09-29,Zimbabwe,Pakistan
28,R Mutumbami,Imad Wasim,SC Williams,0,0,0,16,0,5,5,-,5,0,,,bat,Pakistan,2,Harare Sports Club,2015-09-29,Zimbabwe,Pakistan
29,R Mutumbami,Imad Wasim,SC Williams,0,0,0,16,0,6,6,-,5,0,,,bat,Pakistan,2,Harare Sports Club,2015-09-29,Zimbabwe,Pakistan
30,R Mutumbami,Imad Wasim,SC Williams,0,0,0,16,0,7,7,-,5,0,,,bat,Pakistan,2,Harare Sports Club,2015-09-29,Zimbabwe,Pakistan
31,SC Williams,Mohammad Irfan,R Mutumbami,1,0,1,17,1,1,1,-,6,0,,,bat,Pakistan,2,Harare Sports Club,2015-09-29,Zimbabwe,Pakistan
32,R Mutumbami,Mohammad Irfan,SC Williams,0,0,0,17,0,8,2,-,6,0,,,bat,Pakistan,2,Harare Sports Club,2015-09-29,Zimbabwe,Pakistan
