,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,JT Smuts,AD Mathews,HG Kuhn,1,0,1,1,134,1,1,0,1,-,0,0,,,field,Sri Lanka,1,SuperSport Park,2017,01,South Africa_Sri Lanka_2017-01-20,South Africa,South Africa,Sri Lanka,126
1,HG Kuhn,AD Mathews,JT Smuts,4,0,4,5,130,4,1,0,2,-,0,0,,,field,Sri Lanka,1,SuperSport Park,2017,01,South Africa_Sri Lanka_2017-01-20,South Africa,South Africa,Sri Lanka,126
2,HG Kuhn,AD Mathews,JT Smuts,1,0,1,6,129,5,2,0,3,-,0,0,,,field,Sri Lanka,1,SuperSport Park,2017,01,South Africa_Sri Lanka_2017-01-20,South Africa,South Africa,Sri Lanka,126
3,JT Smuts,AD Mathews,HG Kuhn,1,0,1,7,128,2,2,0,4,-,0,0,,,field,Sri Lanka,1,SuperSport Park,2017,01,South Africa_Sri Lanka_2017-01-20,South Africa,South Africa,Sri Lanka,126
4,HG Kuhn,AD Mathews,JT Smuts,1,0,1,8,127,6,3,0,5,-,0,0,,,field,Sri Lanka,1,SuperSport Park,2017,01,South Africa_Sri Lanka_2017-01-20,South Africa,South Africa,Sri Lanka,126
5,JT Smuts,AD Mathews,HG Kuhn,0,1,1,9,126,2,3,0,6,wides,0,0,,,field,Sri Lanka,1,SuperSport Park,2017,01,South Africa_Sri Lanka_2017-01-20,South Africa,South Africa,Sri Lanka,126
6,JT Smuts,AD Mathews,HG Kuhn,1,0,1,10,125,3,4,0,7,-,0,0,,,field,Sri Lanka,1,SuperSport Park,2017,01,South Africa_Sri Lanka_2017-01-20,South Africa,South Africa,Sri Lanka,126
7,JT Smuts,KMDN Kulasekara,HG Kuhn,0,1,1,11,124,3,5,0,1,legbyes,1,0,,,field,Sri Lanka,1,SuperSport Park,2017,01,South Africa_Sri Lanka_2017-01-20,South Africa,South Africa,Sri Lanka,126
8,HG Kuhn,KMDN Kulasekara,JT Smuts,0,0,0,11,124,6,4,0,2,-,1,0,,,field,Sri Lanka,1,SuperSport Park,2017,01,South Africa_Sri Lanka_2017-01-20,South Africa,South Africa,Sri Lanka,126
9,HG Kuhn,KMDN Kulasekara,JT Smuts,4,0,4,15,120,10,5,0,3,-,1,0,,,field,Sri Lanka,1,SuperSport Park,2017,01,South Africa_Sri Lanka_2017-01-20,South Africa,South Africa,Sri Lanka,126
10,HG Kuhn,KMDN Kulasekara,JT Smuts,0,0,0,15,120,10,6,1,4,-,1,lbw,HG Kuhn,,field,Sri Lanka,1,SuperSport Park,2017,01,South Africa_Sri Lanka_2017-01-20,South Africa,South Africa,Sri Lanka,126
11,TB de Bruyn,KMDN Kulasekara,JT Smuts,4,0,4,19,116,4,1,1,5,-,1,0,,,field,Sri Lanka,1,SuperSport Park,2017,01,South Africa_Sri Lanka_2017-01-20,South Africa,South Africa,Sri Lanka,126
12,TB de Bruyn,KMDN Kulasekara,JT Smuts,0,0,0,19,116,4,2,1,6,-,1,0,,,field,Sri Lanka,1,SuperSport Park,2017,01,South Africa_Sri Lanka_2017-01-20,South Africa,South Africa,Sri Lanka,126
13,JT Smuts,RAS Lakmal,TB de Bruyn,4,0,4,23,112,7,6,1,1,-,2,0,,,field,Sri Lanka,1,SuperSport Park,2017,01,South Africa_Sri Lanka_2017-01-20,South Africa,South Africa,Sri Lanka,126
14,JT Smuts,RAS Lakmal,TB de Bruyn,0,1,1,24,111,7,7,1,2,wides,2,0,,,field,Sri Lanka,1,SuperSport Park,2017,01,South Africa_Sri Lanka_2017-01-20,South Africa,South Africa,Sri Lanka,126
15,JT Smuts,RAS Lakmal,TB de Bruyn,0,0,0,24,111,7,8,1,3,-,2,0,,,field,Sri Lanka,1,SuperSport Park,2017,01,South Africa_Sri Lanka_2017-01-20,South Africa,South Africa,Sri Lanka,126
16,JT Smuts,RAS Lakmal,TB de Bruyn,6,0,6,30,105,13,9,1,4,-,2,0,,,field,Sri Lanka,1,SuperSport Park,2017,01,South Africa_Sri Lanka_2017-01-20,South Africa,South Africa,Sri Lanka,126
17,JT Smuts,RAS Lakmal,TB de Bruyn,0,0,0,30,105,13,10,2,5,-,2,caught,JT Smuts,DAS Gunaratne,field,Sri Lanka,1,SuperSport Park,2017,01,South Africa_Sri Lanka_2017-01-20,South Africa,South Africa,Sri Lanka,126
18,TB de Bruyn,RAS Lakmal,DA Miller,6,0,6,36,99,10,3,2,6,-,2,0,,,field,Sri Lanka,1,SuperSport Park,2017,01,South Africa_Sri Lanka_2017-01-20,South Africa,South Africa,Sri Lanka,126
19,TB de Bruyn,RAS Lakmal,DA Miller,1,0,1,37,98,11,4,2,7,-,2,0,,,field,Sri Lanka,1,SuperSport Park,2017,01,South Africa_Sri Lanka_2017-01-20,South Africa,South Africa,Sri Lanka,126
20,TB de Bruyn,DAS Gunaratne,DA Miller,1,0,1,38,97,12,5,2,1,-,3,0,,,field,Sri Lanka,1,SuperSport Park,2017,01,South Africa_Sri Lanka_2017-01-20,South Africa,South Africa,Sri Lanka,126
21,DA Miller,DAS Gunaratne,TB de Bruyn,1,0,1,39,96,1,1,2,2,-,3,0,,,field,Sri Lanka,1,SuperSport Park,2017,01,South Africa_Sri Lanka_2017-01-20,South Africa,South Africa,Sri Lanka,126
22,TB de Bruyn,DAS Gunaratne,DA Miller,1,0,1,40,95,13,6,2,3,-,3,0,,,field,Sri Lanka,1,SuperSport Park,2017,01,South Africa_Sri Lanka_2017-01-20,South Africa,South Africa,Sri Lanka,126
