,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,JT Smuts,AD Mathews,HG Kuhn,0,0,0,0,0,1,1,1,0,,,-,bat,South Africa,1,New Wanderers Stadium,2017-01-22,Sri Lanka,South Africa,Sri Lanka
1,JT Smuts,AD Mathews,HG Kuhn,0,0,0,0,0,2,2,1,0,,,-,bat,South Africa,1,New Wanderers Stadium,2017-01-22,Sri Lanka,South Africa,Sri Lanka
2,JT Smuts,AD Mathews,HG Kuhn,4,0,4,4,4,3,3,1,0,,,-,bat,South Africa,1,New Wanderers Stadium,2017-01-22,Sri Lanka,South Africa,Sri Lanka
3,JT Smuts,AD Mathews,HG Kuhn,0,0,0,4,4,4,4,1,0,,,-,bat,South Africa,1,New Wanderers Stadium,2017-01-22,Sri Lanka,South Africa,Sri Lanka
4,JT Smuts,AD Mathews,HG Kuhn,0,0,0,4,4,5,5,1,0,,,-,bat,South Africa,1,New Wanderers Stadium,2017-01-22,Sri Lanka,South Africa,Sri Lanka
5,JT Smuts,AD Mathews,HG Kuhn,0,0,0,4,4,6,6,1,0,,,-,bat,South Africa,1,New Wanderers Stadium,2017-01-22,Sri Lanka,South Africa,Sri Lanka
6,HG Kuhn,KMDN Kulasekara,JT Smuts,0,0,0,4,0,1,1,2,0,,,-,bat,South Africa,1,New Wanderers Stadium,2017-01-22,Sri Lanka,South Africa,Sri Lanka
7,HG Kuhn,KMDN Kulasekara,JT Smuts,0,0,0,4,0,2,2,2,0,,,-,bat,South Africa,1,New Wanderers Stadium,2017-01-22,Sri Lanka,South Africa,Sri Lanka
8,HG Kuhn,KMDN Kulasekara,JT Smuts,1,0,1,5,1,3,3,2,0,,,-,bat,South Africa,1,New Wanderers Stadium,2017-01-22,Sri Lanka,South Africa,Sri Lanka
9,JT Smuts,KMDN Kulasekara,HG Kuhn,0,0,0,5,4,7,4,2,0,,,-,bat,South Africa,1,New Wanderers Stadium,2017-01-22,Sri Lanka,South Africa,Sri Lanka
10,JT Smuts,KMDN Kulasekara,HG Kuhn,0,0,0,5,4,8,5,2,caught,JT Smuts,PADLR Sandakan,-,bat,South Africa,1,New Wanderers Stadium,2017-01-22,Sri Lanka,South Africa,Sri Lanka
11,TB de Bruyn,KMDN Kulasekara,HG Kuhn,1,0,1,6,1,1,6,2,0,,,-,bat,South Africa,1,New Wanderers Stadium,2017-01-22,Sri Lanka,South Africa,Sri Lanka
12,TB de Bruyn,AD Mathews,HG Kuhn,1,0,1,7,2,2,1,3,0,,,-,bat,South Africa,1,New Wanderers Stadium,2017-01-22,Sri Lanka,South Africa,Sri Lanka
