,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,MJ Guptill,R Ashwin,KS Williamson,6,0,6,6,163,6,1,0,1,0,,,1,-,bat,New Zealand,1,"Vidarbha Cricket Association Stadium, Jamtha",2016,03,India_New Zealand_2016-03-15,New Zealand,New Zealand,India
1,MJ Guptill,R Ashwin,KS Williamson,0,0,0,6,163,6,2,1,2,lbw,MJ Guptill,,1,-,bat,New Zealand,1,"Vidarbha Cricket Association Stadium, Jamtha",2016,03,India_New Zealand_2016-03-15,New Zealand,New Zealand,India
2,C Munro,R Ashwin,KS Williamson,0,0,0,6,163,0,1,1,3,0,,,1,-,bat,New Zealand,1,"Vidarbha Cricket Association Stadium, Jamtha",2016,03,India_New Zealand_2016-03-15,New Zealand,New Zealand,India
3,C Munro,R Ashwin,KS Williamson,6,0,6,12,157,6,2,1,4,0,,,1,-,bat,New Zealand,1,"Vidarbha Cricket Association Stadium, Jamtha",2016,03,India_New Zealand_2016-03-15,New Zealand,New Zealand,India
4,C Munro,R Ashwin,KS Williamson,1,0,1,13,156,7,3,1,5,0,,,1,-,bat,New Zealand,1,"Vidarbha Cricket Association Stadium, Jamtha",2016,03,India_New Zealand_2016-03-15,New Zealand,New Zealand,India
5,KS Williamson,R Ashwin,C Munro,0,0,0,13,156,0,1,1,6,0,,,1,-,bat,New Zealand,1,"Vidarbha Cricket Association Stadium, Jamtha",2016,03,India_New Zealand_2016-03-15,New Zealand,New Zealand,India
6,C Munro,A Nehra,KS Williamson,0,0,0,13,156,7,4,1,1,0,,,2,-,bat,New Zealand,1,"Vidarbha Cricket Association Stadium, Jamtha",2016,03,India_New Zealand_2016-03-15,New Zealand,New Zealand,India
7,C Munro,A Nehra,KS Williamson,0,0,0,13,156,7,5,1,2,0,,,2,-,bat,New Zealand,1,"Vidarbha Cricket Association Stadium, Jamtha",2016,03,India_New Zealand_2016-03-15,New Zealand,New Zealand,India
8,C Munro,A Nehra,KS Williamson,0,0,0,13,156,7,6,2,3,caught,C Munro,HH Pandya,2,-,bat,New Zealand,1,"Vidarbha Cricket Association Stadium, Jamtha",2016,03,India_New Zealand_2016-03-15,New Zealand,New Zealand,India
9,CJ Anderson,A Nehra,KS Williamson,0,0,0,13,156,0,1,2,4,0,,,2,-,bat,New Zealand,1,"Vidarbha Cricket Association Stadium, Jamtha",2016,03,India_New Zealand_2016-03-15,New Zealand,New Zealand,India
10,CJ Anderson,A Nehra,KS Williamson,0,1,1,14,155,0,2,2,5,0,,,2,legbyes,bat,New Zealand,1,"Vidarbha Cricket Association Stadium, Jamtha",2016,03,India_New Zealand_2016-03-15,New Zealand,New Zealand,India
11,KS Williamson,A Nehra,CJ Anderson,0,0,0,14,155,0,2,2,6,0,,,2,-,bat,New Zealand,1,"Vidarbha Cricket Association Stadium, Jamtha",2016,03,India_New Zealand_2016-03-15,New Zealand,New Zealand,India
12,CJ Anderson,R Ashwin,KS Williamson,0,0,0,14,155,0,3,2,1,0,,,3,-,bat,New Zealand,1,"Vidarbha Cricket Association Stadium, Jamtha",2016,03,India_New Zealand_2016-03-15,New Zealand,New Zealand,India
13,CJ Anderson,R Ashwin,KS Williamson,0,0,0,14,155,0,4,2,2,0,,,3,-,bat,New Zealand,1,"Vidarbha Cricket Association Stadium, Jamtha",2016,03,India_New Zealand_2016-03-15,New Zealand,New Zealand,India
14,CJ Anderson,R Ashwin,KS Williamson,1,0,1,15,154,1,5,2,3,0,,,3,-,bat,New Zealand,1,"Vidarbha Cricket Association Stadium, Jamtha",2016,03,India_New Zealand_2016-03-15,New Zealand,New Zealand,India
15,KS Williamson,R Ashwin,CJ Anderson,0,0,0,15,154,0,3,2,4,0,,,3,-,bat,New Zealand,1,"Vidarbha Cricket Association Stadium, Jamtha",2016,03,India_New Zealand_2016-03-15,New Zealand,New Zealand,India
16,KS Williamson,R Ashwin,CJ Anderson,1,0,1,16,153,1,4,2,5,0,,,3,-,bat,New Zealand,1,"Vidarbha Cricket Association Stadium, Jamtha",2016,03,India_New Zealand_2016-03-15,New Zealand,New Zealand,India
17,CJ Anderson,R Ashwin,KS Williamson,1,0,1,17,152,2,6,2,6,0,,,3,-,bat,New Zealand,1,"Vidarbha Cricket Association Stadium, Jamtha",2016,03,India_New Zealand_2016-03-15,New Zealand,New Zealand,India
18,CJ Anderson,A Nehra,KS Williamson,0,0,0,17,152,2,7,2,1,0,,,4,-,bat,New Zealand,1,"Vidarbha Cricket Association Stadium, Jamtha",2016,03,India_New Zealand_2016-03-15,New Zealand,New Zealand,India
19,CJ Anderson,A Nehra,KS Williamson,0,0,0,17,152,2,8,2,2,0,,,4,-,bat,New Zealand,1,"Vidarbha Cricket Association Stadium, Jamtha",2016,03,India_New Zealand_2016-03-15,New Zealand,New Zealand,India
20,CJ Anderson,A Nehra,KS Williamson,0,0,0,17,152,2,9,2,3,0,,,4,-,bat,New Zealand,1,"Vidarbha Cricket Association Stadium, Jamtha",2016,03,India_New Zealand_2016-03-15,New Zealand,New Zealand,India
21,CJ Anderson,A Nehra,KS Williamson,1,0,1,18,151,3,10,2,4,0,,,4,-,bat,New Zealand,1,"Vidarbha Cricket Association Stadium, Jamtha",2016,03,India_New Zealand_2016-03-15,New Zealand,New Zealand,India
22,KS Williamson,A Nehra,CJ Anderson,0,0,0,18,151,1,5,2,5,0,,,4,-,bat,New Zealand,1,"Vidarbha Cricket Association Stadium, Jamtha",2016,03,India_New Zealand_2016-03-15,New Zealand,New Zealand,India
23,KS Williamson,A Nehra,CJ Anderson,4,0,4,22,147,5,6,2,6,0,,,4,-,bat,New Zealand,1,"Vidarbha Cricket Association Stadium, Jamtha",2016,03,India_New Zealand_2016-03-15,New Zealand,New Zealand,India
