,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,UT Khawaja,CJ Anderson,SR Watson,0,0,0,0,142,0,1,0,1,1,0,,,-,bat,New Zealand,2,Himachal Pradesh Cricket Association Stadium,2016,03,Australia_New Zealand_2016-03-18,New Zealand,Australia,New Zealand,134
1,UT Khawaja,CJ Anderson,SR Watson,4,0,4,4,138,4,2,0,2,1,0,,,-,bat,New Zealand,2,Himachal Pradesh Cricket Association Stadium,2016,03,Australia_New Zealand_2016-03-18,New Zealand,Australia,New Zealand,134
2,UT Khawaja,CJ Anderson,SR Watson,1,0,1,5,137,5,3,0,3,1,0,,,-,bat,New Zealand,2,Himachal Pradesh Cricket Association Stadium,2016,03,Australia_New Zealand_2016-03-18,New Zealand,Australia,New Zealand,134
3,SR Watson,CJ Anderson,UT Khawaja,1,0,1,6,136,1,1,0,4,1,0,,,-,bat,New Zealand,2,Himachal Pradesh Cricket Association Stadium,2016,03,Australia_New Zealand_2016-03-18,New Zealand,Australia,New Zealand,134
4,UT Khawaja,CJ Anderson,SR Watson,4,0,4,10,132,9,4,0,5,1,0,,,-,bat,New Zealand,2,Himachal Pradesh Cricket Association Stadium,2016,03,Australia_New Zealand_2016-03-18,New Zealand,Australia,New Zealand,134
5,UT Khawaja,CJ Anderson,SR Watson,1,0,1,11,131,10,5,0,6,1,0,,,-,bat,New Zealand,2,Himachal Pradesh Cricket Association Stadium,2016,03,Australia_New Zealand_2016-03-18,New Zealand,Australia,New Zealand,134
6,UT Khawaja,AF Milne,SR Watson,0,0,0,11,131,10,6,0,1,2,0,,,-,bat,New Zealand,2,Himachal Pradesh Cricket Association Stadium,2016,03,Australia_New Zealand_2016-03-18,New Zealand,Australia,New Zealand,134
7,UT Khawaja,AF Milne,SR Watson,4,0,4,15,127,14,7,0,2,2,0,,,-,bat,New Zealand,2,Himachal Pradesh Cricket Association Stadium,2016,03,Australia_New Zealand_2016-03-18,New Zealand,Australia,New Zealand,134
8,UT Khawaja,AF Milne,SR Watson,0,0,0,15,127,14,8,0,3,2,0,,,-,bat,New Zealand,2,Himachal Pradesh Cricket Association Stadium,2016,03,Australia_New Zealand_2016-03-18,New Zealand,Australia,New Zealand,134
9,UT Khawaja,AF Milne,SR Watson,4,0,4,19,123,18,9,0,4,2,0,,,-,bat,New Zealand,2,Himachal Pradesh Cricket Association Stadium,2016,03,Australia_New Zealand_2016-03-18,New Zealand,Australia,New Zealand,134
10,UT Khawaja,AF Milne,SR Watson,0,0,0,19,123,18,10,0,5,2,0,,,-,bat,New Zealand,2,Himachal Pradesh Cricket Association Stadium,2016,03,Australia_New Zealand_2016-03-18,New Zealand,Australia,New Zealand,134
11,UT Khawaja,AF Milne,SR Watson,1,0,1,20,122,19,11,0,6,2,0,,,-,bat,New Zealand,2,Himachal Pradesh Cricket Association Stadium,2016,03,Australia_New Zealand_2016-03-18,New Zealand,Australia,New Zealand,134
12,UT Khawaja,GD Elliott,SR Watson,0,0,0,20,122,19,12,0,1,3,0,,,-,bat,New Zealand,2,Himachal Pradesh Cricket Association Stadium,2016,03,Australia_New Zealand_2016-03-18,New Zealand,Australia,New Zealand,134
13,UT Khawaja,GD Elliott,SR Watson,4,0,4,24,118,23,13,0,2,3,0,,,-,bat,New Zealand,2,Himachal Pradesh Cricket Association Stadium,2016,03,Australia_New Zealand_2016-03-18,New Zealand,Australia,New Zealand,134
14,UT Khawaja,GD Elliott,SR Watson,1,0,1,25,117,24,14,0,3,3,0,,,-,bat,New Zealand,2,Himachal Pradesh Cricket Association Stadium,2016,03,Australia_New Zealand_2016-03-18,New Zealand,Australia,New Zealand,134
15,SR Watson,GD Elliott,UT Khawaja,4,0,4,29,113,5,2,0,4,3,0,,,-,bat,New Zealand,2,Himachal Pradesh Cricket Association Stadium,2016,03,Australia_New Zealand_2016-03-18,New Zealand,Australia,New Zealand,134
16,SR Watson,GD Elliott,UT Khawaja,0,0,0,29,113,5,3,0,5,3,0,,,-,bat,New Zealand,2,Himachal Pradesh Cricket Association Stadium,2016,03,Australia_New Zealand_2016-03-18,New Zealand,Australia,New Zealand,134
17,SR Watson,GD Elliott,UT Khawaja,1,0,1,30,112,6,4,0,6,3,0,,,-,bat,New Zealand,2,Himachal Pradesh Cricket Association Stadium,2016,03,Australia_New Zealand_2016-03-18,New Zealand,Australia,New Zealand,134
18,SR Watson,MJ McClenaghan,UT Khawaja,1,0,1,31,111,7,5,0,1,4,0,,,-,bat,New Zealand,2,Himachal Pradesh Cricket Association Stadium,2016,03,Australia_New Zealand_2016-03-18,New Zealand,Australia,New Zealand,134
19,UT Khawaja,MJ McClenaghan,SR Watson,0,0,0,31,111,24,15,0,2,4,0,,,-,bat,New Zealand,2,Himachal Pradesh Cricket Association Stadium,2016,03,Australia_New Zealand_2016-03-18,New Zealand,Australia,New Zealand,134
20,UT Khawaja,MJ McClenaghan,SR Watson,4,0,4,35,107,28,16,0,3,4,0,,,-,bat,New Zealand,2,Himachal Pradesh Cricket Association Stadium,2016,03,Australia_New Zealand_2016-03-18,New Zealand,Australia,New Zealand,134
21,UT Khawaja,MJ McClenaghan,SR Watson,1,0,1,36,106,29,17,0,4,4,0,,,-,bat,New Zealand,2,Himachal Pradesh Cricket Association Stadium,2016,03,Australia_New Zealand_2016-03-18,New Zealand,Australia,New Zealand,134
22,SR Watson,MJ McClenaghan,UT Khawaja,1,0,1,37,105,8,6,0,5,4,0,,,-,bat,New Zealand,2,Himachal Pradesh Cricket Association Stadium,2016,03,Australia_New Zealand_2016-03-18,New Zealand,Australia,New Zealand,134
23,UT Khawaja,MJ McClenaghan,SR Watson,0,0,0,37,105,29,18,0,6,4,0,,,-,bat,New Zealand,2,Himachal Pradesh Cricket Association Stadium,2016,03,Australia_New Zealand_2016-03-18,New Zealand,Australia,New Zealand,134
24,SR Watson,CJ Anderson,UT Khawaja,0,0,0,37,105,8,7,0,1,5,0,,,-,bat,New Zealand,2,Himachal Pradesh Cricket Association Stadium,2016,03,Australia_New Zealand_2016-03-18,New Zealand,Australia,New Zealand,134
25,SR Watson,CJ Anderson,UT Khawaja,1,0,1,38,104,9,8,0,2,5,0,,,-,bat,New Zealand,2,Himachal Pradesh Cricket Association Stadium,2016,03,Australia_New Zealand_2016-03-18,New Zealand,Australia,New Zealand,134
26,UT Khawaja,CJ Anderson,SR Watson,1,0,1,39,103,30,19,0,3,5,0,,,-,bat,New Zealand,2,Himachal Pradesh Cricket Association Stadium,2016,03,Australia_New Zealand_2016-03-18,New Zealand,Australia,New Zealand,134
27,SR Watson,CJ Anderson,UT Khawaja,1,0,1,40,102,10,9,0,4,5,0,,,-,bat,New Zealand,2,Himachal Pradesh Cricket Association Stadium,2016,03,Australia_New Zealand_2016-03-18,New Zealand,Australia,New Zealand,134
28,UT Khawaja,CJ Anderson,SR Watson,1,0,1,41,101,31,20,0,5,5,0,,,-,bat,New Zealand,2,Himachal Pradesh Cricket Association Stadium,2016,03,Australia_New Zealand_2016-03-18,New Zealand,Australia,New Zealand,134
29,SR Watson,CJ Anderson,UT Khawaja,1,0,1,42,100,11,10,0,6,5,0,,,-,bat,New Zealand,2,Himachal Pradesh Cricket Association Stadium,2016,03,Australia_New Zealand_2016-03-18,New Zealand,Australia,New Zealand,134
30,SR Watson,MJ McClenaghan,UT Khawaja,2,0,2,44,98,13,11,0,1,6,0,,,-,bat,New Zealand,2,Himachal Pradesh Cricket Association Stadium,2016,03,Australia_New Zealand_2016-03-18,New Zealand,Australia,New Zealand,134
31,SR Watson,MJ McClenaghan,UT Khawaja,0,0,0,44,98,13,12,1,2,6,caught,SR Watson,KS Williamson,-,bat,New Zealand,2,Himachal Pradesh Cricket Association Stadium,2016,03,Australia_New Zealand_2016-03-18,New Zealand,Australia,New Zealand,134
32,SPD Smith,MJ McClenaghan,UT Khawaja,0,0,0,44,98,0,1,1,3,6,0,,,-,bat,New Zealand,2,Himachal Pradesh Cricket Association Stadium,2016,03,Australia_New Zealand_2016-03-18,New Zealand,Australia,New Zealand,134
33,SPD Smith,MJ McClenaghan,UT Khawaja,4,0,4,48,94,4,2,1,4,6,0,,,-,bat,New Zealand,2,Himachal Pradesh Cricket Association Stadium,2016,03,Australia_New Zealand_2016-03-18,New Zealand,Australia,New Zealand,134
34,SPD Smith,MJ McClenaghan,UT Khawaja,0,0,0,48,94,4,3,1,5,6,0,,,-,bat,New Zealand,2,Himachal Pradesh Cricket Association Stadium,2016,03,Australia_New Zealand_2016-03-18,New Zealand,Australia,New Zealand,134
35,SPD Smith,MJ McClenaghan,UT Khawaja,2,0,2,50,92,6,4,1,6,6,0,,,-,bat,New Zealand,2,Himachal Pradesh Cricket Association Stadium,2016,03,Australia_New Zealand_2016-03-18,New Zealand,Australia,New Zealand,134
36,UT Khawaja,MJ Santner,SPD Smith,1,0,1,51,91,32,21,1,1,7,0,,,-,bat,New Zealand,2,Himachal Pradesh Cricket Association Stadium,2016,03,Australia_New Zealand_2016-03-18,New Zealand,Australia,New Zealand,134
