,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,Mohammad Mithun,NM Coulter-Nile,Soumya Sarkar,1,0,1,1,121,1,1,0,1,1,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
1,Soumya Sarkar,NM Coulter-Nile,Mohammad Mithun,0,0,0,1,121,0,1,0,2,1,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
2,Soumya Sarkar,NM Coulter-Nile,Mohammad Mithun,0,0,0,1,121,0,2,0,3,1,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
3,Soumya Sarkar,NM Coulter-Nile,Mohammad Mithun,0,0,0,1,121,0,3,0,4,1,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
4,Soumya Sarkar,NM Coulter-Nile,Mohammad Mithun,1,0,1,2,120,1,4,0,5,1,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
5,Mohammad Mithun,NM Coulter-Nile,Soumya Sarkar,0,0,0,2,120,1,2,0,6,1,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
6,Soumya Sarkar,SR Watson,Mohammad Mithun,0,0,0,2,120,1,5,0,1,2,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
7,Soumya Sarkar,SR Watson,Mohammad Mithun,0,0,0,2,120,1,6,1,2,2,-,caught,Soumya Sarkar,GJ Maxwell,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
8,Sabbir Rahman,SR Watson,Mohammad Mithun,0,1,1,3,119,0,1,1,3,2,wides,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
9,Sabbir Rahman,SR Watson,Mohammad Mithun,0,1,1,4,118,0,2,1,4,2,legbyes,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
10,Mohammad Mithun,SR Watson,Sabbir Rahman,1,0,1,5,117,2,3,1,5,2,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
11,Sabbir Rahman,SR Watson,Mohammad Mithun,0,0,0,5,117,0,3,1,6,2,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
12,Sabbir Rahman,SR Watson,Mohammad Mithun,0,0,0,5,117,0,4,1,7,2,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
13,Mohammad Mithun,NM Coulter-Nile,Sabbir Rahman,0,1,1,6,116,2,4,1,1,3,legbyes,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
14,Sabbir Rahman,NM Coulter-Nile,Mohammad Mithun,0,0,0,6,116,0,5,1,2,3,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
15,Sabbir Rahman,NM Coulter-Nile,Mohammad Mithun,0,0,0,6,116,0,6,1,3,3,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
16,Sabbir Rahman,NM Coulter-Nile,Mohammad Mithun,0,2,2,8,114,0,7,1,4,3,legbyes,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
17,Sabbir Rahman,NM Coulter-Nile,Mohammad Mithun,0,1,1,9,113,0,8,1,5,3,legbyes,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
18,Mohammad Mithun,NM Coulter-Nile,Sabbir Rahman,1,0,1,10,112,3,5,1,6,3,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
19,Mohammad Mithun,JW Hastings,Sabbir Rahman,1,0,1,11,111,4,6,1,1,4,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
20,Sabbir Rahman,JW Hastings,Mohammad Mithun,4,0,4,15,107,4,9,1,2,4,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
21,Sabbir Rahman,JW Hastings,Mohammad Mithun,0,0,0,15,107,4,10,1,3,4,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
22,Sabbir Rahman,JW Hastings,Mohammad Mithun,4,0,4,19,103,8,11,1,4,4,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
23,Sabbir Rahman,JW Hastings,Mohammad Mithun,0,0,0,19,103,8,12,1,5,4,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
24,Sabbir Rahman,JW Hastings,Mohammad Mithun,0,0,0,19,103,8,13,1,6,4,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
25,Mohammad Mithun,NM Coulter-Nile,Sabbir Rahman,1,0,1,20,102,5,7,1,1,5,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
26,Sabbir Rahman,NM Coulter-Nile,Mohammad Mithun,0,0,0,20,102,8,14,1,2,5,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
27,Sabbir Rahman,NM Coulter-Nile,Mohammad Mithun,1,0,1,21,101,9,15,1,3,5,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
28,Mohammad Mithun,NM Coulter-Nile,Sabbir Rahman,1,0,1,22,100,6,8,1,4,5,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
29,Sabbir Rahman,NM Coulter-Nile,Mohammad Mithun,2,0,2,24,98,11,16,1,5,5,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
30,Sabbir Rahman,NM Coulter-Nile,Mohammad Mithun,1,0,1,25,97,12,17,1,6,5,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
31,Sabbir Rahman,SR Watson,Mohammad Mithun,0,0,0,25,97,12,18,2,1,6,-,caught,Sabbir Rahman,JP Faulkner,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
32,Mohammad Mithun,SR Watson,Shakib Al Hasan,0,0,0,25,97,6,9,2,2,6,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
33,Mohammad Mithun,SR Watson,Shakib Al Hasan,0,1,1,26,96,6,10,2,3,6,wides,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
34,Mohammad Mithun,SR Watson,Shakib Al Hasan,1,0,1,27,95,7,11,2,4,6,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
35,Shakib Al Hasan,SR Watson,Mohammad Mithun,4,0,4,31,91,4,1,2,5,6,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
36,Shakib Al Hasan,SR Watson,Mohammad Mithun,1,0,1,32,90,5,2,2,6,6,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
37,Mohammad Mithun,SR Watson,Shakib Al Hasan,1,0,1,33,89,8,12,2,7,6,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
38,Mohammad Mithun,MR Marsh,Shakib Al Hasan,4,0,4,37,85,12,13,2,1,7,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
39,Mohammad Mithun,MR Marsh,Shakib Al Hasan,0,0,0,37,85,12,14,2,2,7,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
40,Mohammad Mithun,MR Marsh,Shakib Al Hasan,0,0,0,37,85,12,15,2,3,7,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
41,Mohammad Mithun,MR Marsh,Shakib Al Hasan,1,0,1,38,84,13,16,2,4,7,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
42,Shakib Al Hasan,MR Marsh,Mohammad Mithun,1,0,1,39,83,6,3,2,5,7,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
43,Mohammad Mithun,MR Marsh,Shakib Al Hasan,6,0,6,45,77,19,17,2,6,7,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
44,Shakib Al Hasan,JW Hastings,Mohammad Mithun,0,0,0,45,77,6,4,2,1,8,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
45,Shakib Al Hasan,JW Hastings,Mohammad Mithun,1,0,1,46,76,7,5,2,2,8,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
46,Mohammad Mithun,JW Hastings,Shakib Al Hasan,0,0,0,46,76,19,18,2,3,8,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
47,Mohammad Mithun,JW Hastings,Shakib Al Hasan,0,0,0,46,76,19,19,2,4,8,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
48,Mohammad Mithun,JW Hastings,Shakib Al Hasan,2,0,2,48,74,21,20,2,5,8,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
49,Mohammad Mithun,JW Hastings,Shakib Al Hasan,1,0,1,49,73,22,21,2,6,8,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
50,Mohammad Mithun,GJ Maxwell,Shakib Al Hasan,1,0,1,50,72,23,22,2,1,9,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
51,Shakib Al Hasan,GJ Maxwell,Mohammad Mithun,0,0,0,50,72,7,6,2,2,9,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
52,Shakib Al Hasan,GJ Maxwell,Mohammad Mithun,0,0,0,50,72,7,7,2,3,9,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
53,Shakib Al Hasan,GJ Maxwell,Mohammad Mithun,4,0,4,54,68,11,8,2,4,9,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
54,Shakib Al Hasan,GJ Maxwell,Mohammad Mithun,6,0,6,60,62,17,9,2,5,9,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
55,Shakib Al Hasan,GJ Maxwell,Mohammad Mithun,1,0,1,61,61,18,10,2,6,9,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
56,Shakib Al Hasan,A Zampa,Mohammad Mithun,1,0,1,62,60,19,11,2,1,10,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
57,Mohammad Mithun,A Zampa,Shakib Al Hasan,0,0,0,62,60,23,23,3,2,10,-,caught,Mohammad Mithun,SR Watson,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
58,Shuvagata Hom,A Zampa,Shakib Al Hasan,0,0,0,62,60,0,1,3,3,10,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
59,Shuvagata Hom,A Zampa,Shakib Al Hasan,1,0,1,63,59,1,2,3,4,10,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
60,Shakib Al Hasan,A Zampa,Shuvagata Hom,1,0,1,64,58,20,12,3,5,10,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
61,Shuvagata Hom,A Zampa,Shakib Al Hasan,0,0,0,64,58,1,3,3,6,10,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
62,Shakib Al Hasan,JP Faulkner,Shuvagata Hom,1,0,1,65,57,21,13,3,1,11,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
63,Shuvagata Hom,JP Faulkner,Shakib Al Hasan,0,0,0,65,57,1,4,3,2,11,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
64,Shuvagata Hom,JP Faulkner,Shakib Al Hasan,0,0,0,65,57,1,5,3,3,11,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
65,Shuvagata Hom,JP Faulkner,Shakib Al Hasan,1,0,1,66,56,2,6,3,4,11,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
66,Shakib Al Hasan,JP Faulkner,Shuvagata Hom,1,0,1,67,55,22,14,3,5,11,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
67,Shuvagata Hom,JP Faulkner,Shakib Al Hasan,1,0,1,68,54,3,7,3,6,11,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
68,Shuvagata Hom,A Zampa,Shakib Al Hasan,6,0,6,74,48,9,8,3,1,12,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
69,Shuvagata Hom,A Zampa,Shakib Al Hasan,4,0,4,78,44,13,9,3,2,12,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
70,Shuvagata Hom,A Zampa,Shakib Al Hasan,0,0,0,78,44,13,10,4,3,12,-,lbw,Shuvagata Hom,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
71,Mahmudullah,A Zampa,Shakib Al Hasan,0,1,1,79,43,0,1,4,4,12,legbyes,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
72,Shakib Al Hasan,A Zampa,Mahmudullah,1,0,1,80,42,23,15,4,5,12,-,0,,,field,Australia,1,M Chinnaswamy Stadium,2016,03,Australia_Bangladesh_2016-03-21,Australia,Bangladesh,Australia
