,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,Tamim Iqbal,TS Chisoro,Soumya Sarkar,1,0,1,1,179,1,1,0,-,1.0,0,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Left hand Bat,Left arm Orthodox
1,Soumya Sarkar,TS Chisoro,Tamim Iqbal,4,0,4,5,175,4,1,0,-,2.0,0,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Left hand Bat,Left arm Orthodox
2,Soumya Sarkar,TS Chisoro,Tamim Iqbal,0,0,0,5,175,4,2,0,-,3.0,0,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Left hand Bat,Left arm Orthodox
3,Soumya Sarkar,TS Chisoro,Tamim Iqbal,0,0,0,5,175,4,3,0,-,4.0,0,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Left hand Bat,Left arm Orthodox
4,Soumya Sarkar,TS Chisoro,Tamim Iqbal,0,0,0,5,175,4,4,0,-,5.0,0,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Left hand Bat,Left arm Orthodox
5,Soumya Sarkar,TS Chisoro,Tamim Iqbal,1,0,1,6,174,5,5,0,-,6.0,0,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Left hand Bat,Left arm Orthodox
6,Soumya Sarkar,N Madziva,Tamim Iqbal,6,0,6,12,168,11,6,0,-,1.0,1,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Left hand Bat,Right arm Medium
7,Soumya Sarkar,N Madziva,Tamim Iqbal,0,0,0,12,168,11,7,1,-,2.0,1,caught,Soumya Sarkar,R Mutumbami,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Left hand Bat,Right arm Medium
8,Sabbir Rahman,N Madziva,Tamim Iqbal,0,0,0,12,168,0,1,1,-,3.0,1,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Left hand Bat,Right arm Medium
9,Sabbir Rahman,N Madziva,Tamim Iqbal,0,0,0,12,168,0,2,1,-,4.0,1,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Left hand Bat,Right arm Medium
10,Sabbir Rahman,N Madziva,Tamim Iqbal,1,0,1,13,167,1,3,1,-,5.0,1,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Left hand Bat,Right arm Medium
11,Tamim Iqbal,N Madziva,Sabbir Rahman,0,0,0,13,167,1,2,2,-,6.0,1,bowled,Tamim Iqbal,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Right hand Bat,Right arm Medium
12,Sabbir Rahman,TS Chisoro,Imrul Kayes,0,0,0,13,167,1,4,3,-,1.0,2,caught,Sabbir Rahman,WP Masakadza,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Left hand Bat,Left arm Orthodox
13,Shakib Al Hasan,TS Chisoro,Imrul Kayes,0,0,0,13,167,0,1,3,-,2.0,2,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Left hand Bat,Left arm Orthodox
14,Shakib Al Hasan,TS Chisoro,Imrul Kayes,4,0,4,17,163,4,2,3,-,3.0,2,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Left hand Bat,Left arm Orthodox
15,Shakib Al Hasan,TS Chisoro,Imrul Kayes,0,0,0,17,163,4,3,4,-,4.0,2,bowled,Shakib Al Hasan,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Left hand Bat,Left arm Orthodox
16,Mahmudullah,TS Chisoro,Imrul Kayes,0,0,0,17,163,0,1,4,-,5.0,2,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Left hand Bat,Left arm Orthodox
17,Mahmudullah,TS Chisoro,Imrul Kayes,0,0,0,17,163,0,2,4,-,6.0,2,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Left hand Bat,Left arm Orthodox
18,Imrul Kayes,N Madziva,Mahmudullah,1,0,1,18,162,1,1,4,-,1.0,3,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Right hand Bat,Right arm Medium
19,Mahmudullah,N Madziva,Imrul Kayes,0,0,0,18,162,0,3,4,-,2.0,3,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Left hand Bat,Right arm Medium
20,Mahmudullah,N Madziva,Imrul Kayes,4,0,4,22,158,4,4,4,-,3.0,3,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Left hand Bat,Right arm Medium
21,Mahmudullah,N Madziva,Imrul Kayes,4,0,4,26,154,8,5,4,-,4.0,3,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Left hand Bat,Right arm Medium
22,Mahmudullah,N Madziva,Imrul Kayes,0,0,0,26,154,8,6,4,-,5.0,3,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Left hand Bat,Right arm Medium
23,Mahmudullah,N Madziva,Imrul Kayes,0,0,0,26,154,8,7,4,-,6.0,3,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Left hand Bat,Right arm Medium
24,Imrul Kayes,TS Chisoro,Mahmudullah,0,0,0,26,154,1,2,4,-,1.0,4,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Right hand Bat,Left arm Orthodox
25,Imrul Kayes,TS Chisoro,Mahmudullah,1,0,1,27,153,2,3,4,-,2.0,4,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Right hand Bat,Left arm Orthodox
26,Mahmudullah,TS Chisoro,Imrul Kayes,1,0,1,28,152,9,8,4,-,3.0,4,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Left hand Bat,Left arm Orthodox
27,Imrul Kayes,TS Chisoro,Mahmudullah,0,0,0,28,152,2,4,4,-,4.0,4,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Right hand Bat,Left arm Orthodox
28,Imrul Kayes,TS Chisoro,Mahmudullah,0,0,0,28,152,2,5,4,-,5.0,4,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Right hand Bat,Left arm Orthodox
29,Imrul Kayes,TS Chisoro,Mahmudullah,1,0,1,29,151,3,6,4,-,6.0,4,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Right hand Bat,Left arm Orthodox
30,Imrul Kayes,LM Jongwe,Mahmudullah,4,0,4,33,147,7,7,4,-,1.0,5,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Right hand Bat,Right arm Fast
31,Imrul Kayes,LM Jongwe,Mahmudullah,0,1,1,34,146,7,7,4,wides,1.0,5,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Right hand Bat,Right arm Fast
32,Imrul Kayes,LM Jongwe,Mahmudullah,0,0,0,34,146,7,8,4,-,2.0,5,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Right hand Bat,Right arm Fast
33,Imrul Kayes,LM Jongwe,Mahmudullah,0,0,0,34,146,7,9,4,-,3.0,5,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Right hand Bat,Right arm Fast
34,Imrul Kayes,LM Jongwe,Mahmudullah,6,0,6,40,140,13,10,4,-,4.0,5,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Right hand Bat,Right arm Fast
35,Imrul Kayes,LM Jongwe,Mahmudullah,0,0,0,40,140,13,11,4,-,5.0,5,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Right hand Bat,Right arm Fast
36,Imrul Kayes,LM Jongwe,Mahmudullah,4,0,4,44,136,17,12,4,-,6.0,5,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Right hand Bat,Right arm Fast
37,Mahmudullah,Sikandar Raza,Imrul Kayes,1,0,1,45,135,10,9,4,-,1.0,6,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Left hand Bat,Right arm Offbreak
38,Imrul Kayes,Sikandar Raza,Mahmudullah,1,0,1,46,134,18,13,4,-,2.0,6,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Right hand Bat,Right arm Offbreak
39,Mahmudullah,Sikandar Raza,Imrul Kayes,6,0,6,52,128,16,10,4,-,3.0,6,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Left hand Bat,Right arm Offbreak
40,Mahmudullah,Sikandar Raza,Imrul Kayes,1,0,1,53,127,17,11,4,-,4.0,6,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Left hand Bat,Right arm Offbreak
41,Imrul Kayes,Sikandar Raza,Mahmudullah,0,0,0,53,127,18,14,5,-,5.0,6,caught,Imrul Kayes,LM Jongwe,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Left hand Bat,Right hand Bat,Right arm Offbreak
42,Nurul Hasan,Sikandar Raza,Mahmudullah,0,0,0,53,127,0,1,5,-,6.0,6,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Right hand Bat,Right arm Offbreak
43,Mahmudullah,LM Jongwe,Nurul Hasan,4,0,4,57,123,21,12,5,-,1.0,7,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Right hand Bat,Right arm Fast
44,Mahmudullah,LM Jongwe,Nurul Hasan,0,0,0,57,123,21,13,5,-,2.0,7,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Right hand Bat,Right arm Fast
45,Mahmudullah,LM Jongwe,Nurul Hasan,1,0,1,58,122,22,14,5,-,3.0,7,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Right hand Bat,Right arm Fast
46,Nurul Hasan,LM Jongwe,Mahmudullah,4,0,4,62,118,4,2,5,-,4.0,7,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Right hand Bat,Right arm Fast
47,Nurul Hasan,LM Jongwe,Mahmudullah,1,0,1,63,117,5,3,5,-,5.0,7,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Right hand Bat,Right arm Fast
48,Mahmudullah,LM Jongwe,Nurul Hasan,1,0,1,64,116,23,15,5,-,6.0,7,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Right hand Bat,Right arm Fast
49,Mahmudullah,AG Cremer,Nurul Hasan,0,1,1,65,115,23,15,5,wides,0.0,8,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Right hand Bat,Right arm Legbreak
50,Mahmudullah,AG Cremer,Nurul Hasan,0,0,0,65,115,23,16,5,-,1.0,8,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Right hand Bat,Right arm Legbreak
51,Mahmudullah,AG Cremer,Nurul Hasan,1,0,1,66,114,24,17,5,-,2.0,8,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Right hand Bat,Right arm Legbreak
