,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,RG Sharma,Mohammad Amir,AM Rahane,0,0,0,0,83,0,1,0,1,-,0,,,1,field,India,2,Shere Bangla National Stadium,2016,02,India_Pakistan_2016-02-27,India,India,Pakistan
1,RG Sharma,Mohammad Amir,AM Rahane,0,0,0,0,83,0,2,1,2,-,lbw,RG Sharma,,1,field,India,2,Shere Bangla National Stadium,2016,02,India_Pakistan_2016-02-27,India,India,Pakistan
2,V Kohli,Mohammad Amir,AM Rahane,1,0,1,1,82,1,1,1,3,-,0,,,1,field,India,2,Shere Bangla National Stadium,2016,02,India_Pakistan_2016-02-27,India,India,Pakistan
3,AM Rahane,Mohammad Amir,V Kohli,0,1,1,2,81,0,1,1,4,wides,0,,,1,field,India,2,Shere Bangla National Stadium,2016,02,India_Pakistan_2016-02-27,India,India,Pakistan
4,AM Rahane,Mohammad Amir,V Kohli,0,0,0,2,81,0,2,2,5,-,lbw,AM Rahane,,1,field,India,2,Shere Bangla National Stadium,2016,02,India_Pakistan_2016-02-27,India,India,Pakistan
5,SK Raina,Mohammad Amir,V Kohli,0,0,0,2,81,0,1,2,6,-,0,,,1,field,India,2,Shere Bangla National Stadium,2016,02,India_Pakistan_2016-02-27,India,India,Pakistan
6,SK Raina,Mohammad Amir,V Kohli,0,0,0,2,81,0,2,2,7,-,0,,,1,field,India,2,Shere Bangla National Stadium,2016,02,India_Pakistan_2016-02-27,India,India,Pakistan
7,V Kohli,Mohammad Sami,SK Raina,0,0,0,2,81,1,2,2,1,-,0,,,2,field,India,2,Shere Bangla National Stadium,2016,02,India_Pakistan_2016-02-27,India,India,Pakistan
8,V Kohli,Mohammad Sami,SK Raina,0,0,0,2,81,1,3,2,2,-,0,,,2,field,India,2,Shere Bangla National Stadium,2016,02,India_Pakistan_2016-02-27,India,India,Pakistan
9,V Kohli,Mohammad Sami,SK Raina,2,0,2,4,79,3,4,2,3,-,0,,,2,field,India,2,Shere Bangla National Stadium,2016,02,India_Pakistan_2016-02-27,India,India,Pakistan
10,V Kohli,Mohammad Sami,SK Raina,0,0,0,4,79,3,5,2,4,-,0,,,2,field,India,2,Shere Bangla National Stadium,2016,02,India_Pakistan_2016-02-27,India,India,Pakistan
11,V Kohli,Mohammad Sami,SK Raina,2,0,2,6,77,5,6,2,5,-,0,,,2,field,India,2,Shere Bangla National Stadium,2016,02,India_Pakistan_2016-02-27,India,India,Pakistan
12,V Kohli,Mohammad Sami,SK Raina,0,0,0,6,77,5,7,2,6,-,0,,,2,field,India,2,Shere Bangla National Stadium,2016,02,India_Pakistan_2016-02-27,India,India,Pakistan
