,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,LD Chandimal,A Nehra,TM Dilshan,0,0,0,0,0,1,1,1,0,,,-,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
1,LD Chandimal,A Nehra,TM Dilshan,4,0,4,4,4,2,2,1,0,,,-,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
2,LD Chandimal,A Nehra,TM Dilshan,0,0,0,4,4,3,3,1,0,,,-,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
3,LD Chandimal,A Nehra,TM Dilshan,0,0,0,4,4,4,4,1,0,,,-,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
4,LD Chandimal,A Nehra,TM Dilshan,0,0,0,4,4,5,5,1,0,,,-,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
5,LD Chandimal,A Nehra,TM Dilshan,0,0,0,4,4,6,6,1,0,,,-,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
6,TM Dilshan,JJ Bumrah,LD Chandimal,0,0,0,4,0,1,1,2,0,,,-,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
7,TM Dilshan,JJ Bumrah,LD Chandimal,1,0,1,5,1,2,2,2,0,,,-,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
8,LD Chandimal,JJ Bumrah,TM Dilshan,0,0,0,5,4,7,3,2,0,,,-,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
9,LD Chandimal,JJ Bumrah,TM Dilshan,0,0,0,5,4,8,4,2,0,,,-,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
10,LD Chandimal,JJ Bumrah,TM Dilshan,0,0,0,5,4,9,5,2,0,,,-,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
11,LD Chandimal,JJ Bumrah,TM Dilshan,0,0,0,5,4,10,6,2,0,,,-,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
12,TM Dilshan,A Nehra,LD Chandimal,1,0,1,6,2,3,1,3,0,,,-,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
13,LD Chandimal,A Nehra,TM Dilshan,0,0,0,6,4,11,2,3,caught,LD Chandimal,MS Dhoni,-,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
14,GSNFG Jayasuriya,A Nehra,TM Dilshan,1,0,1,7,1,1,3,3,0,,,-,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
15,TM Dilshan,A Nehra,GSNFG Jayasuriya,1,0,1,8,3,4,4,3,0,,,-,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
16,GSNFG Jayasuriya,A Nehra,TM Dilshan,0,0,0,8,1,2,5,3,0,,,-,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
17,GSNFG Jayasuriya,A Nehra,TM Dilshan,1,0,1,9,2,3,6,3,0,,,-,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
18,GSNFG Jayasuriya,JJ Bumrah,TM Dilshan,1,0,1,10,3,4,1,4,0,,,-,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
19,TM Dilshan,JJ Bumrah,GSNFG Jayasuriya,4,0,4,14,7,5,2,4,0,,,-,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
20,TM Dilshan,JJ Bumrah,GSNFG Jayasuriya,1,0,1,15,8,6,3,4,0,,,-,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
21,GSNFG Jayasuriya,JJ Bumrah,TM Dilshan,0,0,0,15,3,5,4,4,caught,GSNFG Jayasuriya,MS Dhoni,-,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
22,CK Kapugedera,JJ Bumrah,TM Dilshan,0,0,0,15,0,1,5,4,0,,,-,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
23,CK Kapugedera,JJ Bumrah,TM Dilshan,0,0,0,15,0,2,6,4,0,,,-,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
24,TM Dilshan,A Nehra,CK Kapugedera,0,0,0,15,8,7,1,5,0,,,-,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
25,TM Dilshan,A Nehra,CK Kapugedera,0,1,1,16,8,8,2,5,0,,,wides,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
26,TM Dilshan,A Nehra,CK Kapugedera,0,0,0,16,8,9,3,5,0,,,-,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
27,TM Dilshan,A Nehra,CK Kapugedera,0,1,1,17,8,10,4,5,0,,,wides,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
28,TM Dilshan,A Nehra,CK Kapugedera,0,0,0,17,8,11,5,5,0,,,-,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
29,TM Dilshan,A Nehra,CK Kapugedera,1,0,1,18,9,12,6,5,0,,,-,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
30,CK Kapugedera,A Nehra,TM Dilshan,0,3,3,21,0,3,7,5,0,,,legbyes,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
31,TM Dilshan,A Nehra,CK Kapugedera,1,0,1,22,10,13,8,5,0,,,-,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
32,TM Dilshan,JJ Bumrah,CK Kapugedera,4,0,4,26,14,14,1,6,0,,,-,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
33,TM Dilshan,JJ Bumrah,CK Kapugedera,2,0,2,28,16,15,2,6,0,,,-,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
34,TM Dilshan,JJ Bumrah,CK Kapugedera,1,0,1,29,17,16,3,6,0,,,-,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
35,CK Kapugedera,JJ Bumrah,TM Dilshan,1,0,1,30,1,4,4,6,0,,,-,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
36,TM Dilshan,JJ Bumrah,CK Kapugedera,1,0,1,31,18,17,5,6,0,,,-,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
37,CK Kapugedera,JJ Bumrah,TM Dilshan,0,0,0,31,1,5,6,6,0,,,-,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
38,TM Dilshan,HH Pandya,CK Kapugedera,0,0,0,31,18,18,1,7,caught,TM Dilshan,R Ashwin,-,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
39,AD Mathews,HH Pandya,CK Kapugedera,0,0,0,31,0,1,2,7,0,,,-,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
40,AD Mathews,HH Pandya,CK Kapugedera,0,0,0,31,0,2,3,7,0,,,-,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
41,AD Mathews,HH Pandya,CK Kapugedera,0,0,0,31,0,3,4,7,0,,,-,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
42,AD Mathews,HH Pandya,CK Kapugedera,0,0,0,31,0,4,5,7,0,,,-,field,India,1,Shere Bangla National Stadium,2016-03-01,India,Sri Lanka,India
