,batter,bowler,non_striker,extras,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,ME Trescothick,B Lee,GO Jones,,0,0,0,0,{'ME Trescothick': 0},{'ME Trescothick': 1},1,-,1,0,,,bat,England,1,The Rose Bowl,2005-06-13,England,Australia
1,ME Trescothick,B Lee,GO Jones,,1,0,1,1,{'ME Trescothick': 1},{'ME Trescothick': 2},2,-,1,0,,,bat,England,1,The Rose Bowl,2005-06-13,England,Australia
2,GO Jones,B Lee,ME Trescothick,,0,0,0,1,"{'ME Trescothick': 1, 'GO Jones': 0}","{'ME Trescothick': 2, 'GO Jones': 1}",3,-,1,0,,,bat,England,1,The Rose Bowl,2005-06-13,England,Australia
3,GO Jones,B Lee,ME Trescothick,,0,0,0,1,"{'ME Trescothick': 1, 'GO Jones': 0}","{'ME Trescothick': 2, 'GO Jones': 2}",4,-,1,0,,,bat,England,1,The Rose Bowl,2005-06-13,England,Australia
4,GO Jones,B Lee,ME Trescothick,,0,0,0,1,"{'ME Trescothick': 1, 'GO Jones': 0}","{'ME Trescothick': 2, 'GO Jones': 3}",5,-,1,0,,,bat,England,1,The Rose Bowl,2005-06-13,England,Australia
5,GO Jones,B Lee,ME Trescothick,{'noballs': 1},0,1,1,2,"{'ME Trescothick': 1, 'GO Jones': 0}","{'ME Trescothick': 2, 'GO Jones': 4}",6,noballs,1,0,,,bat,England,1,The Rose Bowl,2005-06-13,England,Australia
6,GO Jones,B Lee,ME Trescothick,,2,0,2,4,"{'ME Trescothick': 1, 'GO Jones': 2}","{'ME Trescothick': 2, 'GO Jones': 5}",7,-,1,0,,,bat,England,1,The Rose Bowl,2005-06-13,England,Australia
7,ME Trescothick,GD McGrath,GO Jones,,0,0,0,4,"{'ME Trescothick': 1, 'GO Jones': 2}","{'ME Trescothick': 3, 'GO Jones': 5}",1,-,2,0,,,bat,England,1,The Rose Bowl,2005-06-13,England,Australia
8,ME Trescothick,GD McGrath,GO Jones,,0,0,0,4,"{'ME Trescothick': 1, 'GO Jones': 2}","{'ME Trescothick': 4, 'GO Jones': 5}",2,-,2,0,,,bat,England,1,The Rose Bowl,2005-06-13,England,Australia
9,ME Trescothick,GD McGrath,GO Jones,{'wides': 1},0,1,1,5,"{'ME Trescothick': 1, 'GO Jones': 2}","{'ME Trescothick': 5, 'GO Jones': 5}",3,wides,2,0,,,bat,England,1,The Rose Bowl,2005-06-13,England,Australia
10,ME Trescothick,GD McGrath,GO Jones,,0,0,0,5,"{'ME Trescothick': 1, 'GO Jones': 2}","{'ME Trescothick': 6, 'GO Jones': 5}",4,-,2,0,,,bat,England,1,The Rose Bowl,2005-06-13,England,Australia
11,ME Trescothick,GD McGrath,GO Jones,,0,0,0,5,"{'ME Trescothick': 1, 'GO Jones': 2}","{'ME Trescothick': 7, 'GO Jones': 5}",5,-,2,0,,,bat,England,1,The Rose Bowl,2005-06-13,England,Australia
12,ME Trescothick,GD McGrath,GO Jones,,0,0,0,5,"{'ME Trescothick': 1, 'GO Jones': 2}","{'ME Trescothick': 8, 'GO Jones': 5}",6,-,2,0,,,bat,England,1,The Rose Bowl,2005-06-13,England,Australia
13,ME Trescothick,GD McGrath,GO Jones,,1,0,1,6,"{'ME Trescothick': 2, 'GO Jones': 2}","{'ME Trescothick': 9, 'GO Jones': 5}",7,-,2,0,,,bat,England,1,The Rose Bowl,2005-06-13,England,Australia
14,ME Trescothick,B Lee,GO Jones,,4,0,4,10,"{'ME Trescothick': 6, 'GO Jones': 2}","{'ME Trescothick': 10, 'GO Jones': 5}",1,-,3,0,,,bat,England,1,The Rose Bowl,2005-06-13,England,Australia
15,ME Trescothick,B Lee,GO Jones,,1,0,1,11,"{'ME Trescothick': 7, 'GO Jones': 2}","{'ME Trescothick': 11, 'GO Jones': 5}",2,-,3,0,,,bat,England,1,The Rose Bowl,2005-06-13,England,Australia
16,GO Jones,B Lee,ME Trescothick,,0,0,0,11,"{'ME Trescothick': 7, 'GO Jones': 2}","{'ME Trescothick': 11, 'GO Jones': 6}",3,-,3,0,,,bat,England,1,The Rose Bowl,2005-06-13,England,Australia
17,GO Jones,B Lee,ME Trescothick,,4,0,4,15,"{'ME Trescothick': 7, 'GO Jones': 6}","{'ME Trescothick': 11, 'GO Jones': 7}",4,-,3,0,,,bat,England,1,The Rose Bowl,2005-06-13,England,Australia
18,GO Jones,B Lee,ME Trescothick,,4,0,4,19,"{'ME Trescothick': 7, 'GO Jones': 10}","{'ME Trescothick': 11, 'GO Jones': 8}",5,-,3,0,,,bat,England,1,The Rose Bowl,2005-06-13,England,Australia
